UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-0.600843,0.020976,-0.600843,0
-0.600701,0.793653,-0.600488,0.009652
-0.600559,1.015217,-0.600134,-0.023408
-0.600417,1.232879,-0.59978,-0.060861
-0.600276,1.418318,-0.599426,-0.098314
-0.600134,1.514801,-0.599071,-0.109203
-0.599992,1.367514,-0.598717,-0.105634
-0.599851,1.011534,-0.598363,-0.10208
-0.599709,0.741372,-0.598009,-0.098623
-0.599567,0.744983,-0.597654,-0.095355
-0.599426,0.748287,-0.5973,-0.091806
-0.599284,0.751446,-0.596946,-0.088114
-0.599142,0.754196,-0.596592,-0.084022
-0.599001,0.754667,-0.596237,-0.060826
-0.598859,0.752563,-0.595883,-0.009157
-0.598717,0.750506,-0.595529,-0.000508
-0.598575,0.748481,-0.595174,-0.005256
-0.598434,0.746536,-0.59482,-0.009831
-0.598292,0.744536,-0.594466,-0.014298
-0.59815,0.74248,-0.594112,-0.018632
-0.598009,0.740831,-0.593758,-0.021278
-0.597867,0.739727,-0.593403,-0.022579
-0.597725,0.740297,-0.593049,-0.018464
-0.597584,0.740868,-0.592695,-0.015314
-0.597442,0.741439,-0.59234,-0.01307
-0.5973,0.741996,-0.591986,-0.015919
-0.597159,0.742558,-0.591632,-0.019359
-0.597017,0.743132,-0.591278,-0.022707
-0.596875,0.45184,-0.590923,-0.025557
-0.596734,0.017761,-0.590569,-0.028051
-0.596592,0.005229,-0.590215,-0.028827
-0.59645,0.008205,-0.589861,-0.028382
-0.596308,0.011242,-0.589507,-0.025441
-0.596167,0.014228,-0.589152,-0.023616
-0.596025,0.017191,-0.588798,-0.022504
-0.595883,0.020163,-0.588444,-0.024394
-0.595742,0.020114,-0.588089,-0.02489
-0.5956,0.015598,-0.587735,-0.023458
-0.595458,-0.00117,-0.587381,-0.01692
-0.595317,-0.021618,-0.587027,-0.008847
-0.595175,-0.041198,-0.586672,0.000384
-0.595033,-0.061238,-0.586318,0.011803
-0.594891,-0.081942,-0.585964,0.025187
-0.59475,-0.10227,-0.58561,0.034525
-0.594608,-0.121151,-0.585255,0.040489
-0.594466,-0.130106,-0.584901,0.038626
-0.594325,-0.123442,-0.584547,0.035794
-0.594183,-0.10143,-0.584193,0.032403
-0.594041,-0.078844,-0.583838,0.025327
-0.5939,-0.05656,-0.583484,0.021319
-0.593758,-0.035497,-0.58313,0.02253
-0.593616,-0.013813,-0.582776,0.038117
-0.593475,0.008444,-0.582421,0.058588
-0.593333,0.019829,-0.582067,0.07936
-0.593191,0.022977,-0.581713,0.098807
-0.59305,0.006409,-0.581359,0.116776
-0.592908,-0.01046,-0.581004,0.12906
-0.592766,-0.027534,-0.58065,0.139129
-0.592624,-0.044249,-0.580296,0.135122
-0.592483,-0.061124,-0.579942,0.133964
-0.592341,-0.078345,-0.579587,0.139694
-0.592199,-0.081408,-0.579233,0.154093
-0.592058,-0.079002,-0.578879,0.174977
-0.591916,-0.056115,-0.578525,0.200428
-0.591774,-0.033403,-0.57817,0.227369
-0.591633,-0.010981,-0.577816,0.258485
-0.591491,0.011932,-0.577462,0.285098
-0.591349,0.034994,-0.577108,0.306237
-0.591208,0.057639,-0.576753,0.317736
-0.591066,0.068852,-0.576399,0.32633
-0.590924,0.06642,-0.576045,0.337917
-0.590782,0.048595,-0.575691,0.35087
-0.590641,0.027336,-0.575336,0.366072
-0.590499,0.005982,-0.574982,0.3752
-0.590357,-0.015141,-0.574628,0.38135
-0.590216,-0.036092,-0.574274,0.377608
-0.590074,-0.057155,-0.573919,0.373554
-0.589932,-0.074785,-0.573565,0.368963
-0.589791,-0.083459,-0.573211,0.363954
-0.589649,-0.086741,-0.572857,0.358581
-0.589507,-0.087068,-0.572502,0.350567
-0.589366,-0.087397,-0.572148,0.341041
-0.589224,-0.087724,-0.571794,0.329443
-0.589082,-0.088047,-0.57144,0.32106
-0.588941,-0.088372,-0.571085,0.319924
-0.588799,-0.088556,-0.570731,0.319104
-0.588657,-0.087894,-0.570377,0.314271
-0.588515,-0.086893,-0.570023,0.307242
-0.588374,-0.085535,-0.569668,0.29852
-0.588232,-0.084197,-0.569314,0.294567
-0.58809,-0.082866,-0.56896,0.292098
-0.587949,-0.081551,-0.568606,0.292615
-0.587807,-0.080211,-0.568251,0.286896
-0.587665,-0.078854,-0.567897,0.277266
-0.587524,-0.071845,-0.567543,0.261004
-0.587382,-0.063437,-0.567189,0.246849
-0.58724,-0.052616,-0.566834,0.237507
-0.587098,-0.041731,-0.56648,0.231733
-0.586957,-0.030813,-0.566126,0.22755
-0.586815,-0.019803,-0.565772,0.22388
-0.586673,-0.008751,-0.565417,0.220453
-0.586532,0.002359,-0.565063,0.217376
-0.58639,0.015716,-0.564709,0.211014
-0.586248,0.030227,-0.564355,0.203393
-0.586107,0.047657,-0.564,0.194645
-0.585965,0.064974,-0.563646,0.185588
-0.585823,0.082204,-0.563292,0.176151
-0.585682,0.099264,-0.562938,0.16688
-0.58554,0.116458,-0.562583,0.158037
-0.585398,0.134053,-0.562229,0.15124
-0.585257,0.135417,-0.561875,0.145057
-0.585115,0.128335,-0.561521,0.139452
-0.584973,0.099068,-0.561166,0.14083
-0.584831,0.06967,-0.560812,0.143813
-0.58469,0.040057,-0.560458,0.148548
-0.584548,0.010624,-0.560104,0.148701
-0.584406,-0.018724,-0.559749,0.145801
-0.584265,-0.047894,-0.559395,0.141154
-0.584123,-0.065084,-0.559041,0.136031
-0.583981,-0.07019,-0.558687,0.130103
-0.58384,-0.055415,-0.558332,0.124239
-0.583698,-0.037952,-0.557978,0.118413
-0.583556,-0.02055,-0.557624,0.113581
-0.583415,-0.00319,-0.55727,0.108847
-0.583273,0.014146,-0.556915,0.104289
-0.583131,0.031746,-0.556561,0.092901
-0.582989,0.058998,-0.556207,0.078864
-0.582848,0.103322,-0.555853,0.063532
-0.582706,0.164229,-0.555498,0.056929
-0.582564,0.231837,-0.555144,0.060926
-0.582423,0.299437,-0.55479,0.066881
-0.582281,0.366492,-0.554436,0.071898
-0.582139,0.432933,-0.554081,0.068046
-0.581998,0.499463,-0.553727,0.063367
-0.581856,0.559311,-0.553373,0.057851
-0.581714,0.587188,-0.553019,0.057496
-0.581573,0.601262,-0.552664,0.058261
-0.581431,0.599576,-0.55231,0.059733
-0.581289,0.597894,-0.551956,0.05994
-0.581147,0.596215,-0.551602,0.059193
-0.581006,0.594508,-0.551247,0.058203
-0.580864,0.592809,-0.550893,0.056771
-0.580722,0.59113,-0.550539,0.054172
-0.580581,0.583723,-0.550185,0.05153
-0.580439,0.571541,-0.54983,0.048863
-0.580297,0.555769,-0.549476,0.041984
-0.580156,0.539149,-0.549122,0.034845
-0.580014,0.522485,-0.548768,0.027433
-0.579872,0.505923,-0.548413,0.023499
-0.579731,0.489529,-0.548059,0.021106
-0.579589,0.473,-0.547705,0.019193
-0.579447,0.456396,-0.547351,0.018465
-0.579305,0.473825,-0.546996,0.019408
-0.579164,0.496119,-0.546642,0.020416
-0.579022,0.526379,-0.546288,0.021106
-0.57888,0.556672,-0.545934,0.01948
-0.578739,0.587001,-0.545579,0.017792
-0.578597,0.617065,-0.545225,0.016034
-0.578455,0.647076,-0.544871,0.012973
-0.578314,0.677282,-0.544517,0.00962
-0.578172,0.710384,-0.544162,0.00606
-0.57803,0.748391,-0.543808,0.000726
-0.577889,0.789142,-0.543454,-0.006177
-0.577747,0.831278,-0.5431,-0.012439
-0.577605,0.873358,-0.542745,-0.016372
-0.577464,0.915391,-0.542391,-0.013688
-0.577322,0.957302,-0.542037,-0.01073
-0.57718,0.999417,-0.541683,-0.007605
-0.577038,1.041687,-0.541328,-0.00233
-0.576897,1.073092,-0.540974,0.002459
-0.576755,1.101427,-0.54062,0.006073
-0.576613,1.123733,-0.540266,0.003577
-0.576472,1.145951,-0.539911,-0.001816
-0.57633,1.16809,-0.539557,-0.006174
-0.576188,1.190252,-0.539203,-0.008709
-0.576047,1.212422,-0.538849,-0.008229
-0.575905,1.234621,-0.538494,-0.009021
-0.575763,1.244691,-0.53814,-0.010873
-0.575622,1.238892,-0.537786,-0.018919
-0.57548,1.231334,-0.537431,-0.025995
-0.575338,1.223278,-0.537077,-0.031968
-0.575196,1.215255,-0.536723,-0.031749
-0.575055,1.207184,-0.536369,-0.030195
-0.574913,1.199048,-0.536014,-0.029045
-0.574771,1.190935,-0.53566,-0.028685
-0.57463,1.183226,-0.535306,-0.029084
-0.574488,1.179261,-0.534952,-0.030515
-0.574346,1.175616,-0.534598,-0.03274
-0.574205,1.172442,-0.534243,-0.037008
-0.574063,1.169363,-0.533889,-0.039103
-0.573921,1.166304,-0.533535,-0.039704
-0.57378,1.163111,-0.53318,-0.033427
-0.573638,1.159952,-0.532826,-0.027811
-0.573496,1.156836,-0.532472,-0.024488
-0.573354,1.13431,-0.532118,-0.025005
-0.573213,1.10593,-0.531763,-0.027515
-0.573071,1.077671,-0.531409,-0.028357
-0.572929,1.049795,-0.531055,-0.028066
-0.572788,1.022319,-0.530701,-0.025799
-0.572646,0.994054,-0.530347,-0.025001
-0.572504,0.965458,-0.529992,-0.025084
-0.572363,0.936234,-0.529638,-0.028591
-0.572221,0.916903,-0.529284,-0.028029
-0.572079,0.905981,-0.528929,-0.022195
-0.571938,0.894864,-0.528575,-0.004103
-0.571796,0.877331,-0.528221,0.014569
-0.571654,0.854641,-0.527867,0.01774
-0.571512,0.841837,-0.527512,0.008344
-0.571371,0.831025,-0.527158,-0.013449
-0.571229,0.822719,-0.526804,-0.031646
-0.571087,0.814551,-0.52645,-0.048493
-0.570946,0.806534,-0.526095,-0.058933
-0.570804,0.798403,-0.525741,-0.066143
-0.570662,0.790265,-0.525387,-0.068015
-0.570521,0.78224,-0.525033,-0.063864
-0.570379,0.772772,-0.524678,-0.057986
-0.570237,0.761855,-0.524324,-0.057314
-0.570096,0.747475,-0.52397,-0.058816
-0.569954,0.732682,-0.523616,-0.062999
-0.569812,0.717843,-0.523261,-0.064372
-0.56967,0.703127,-0.522907,-0.064583
-0.569529,0.688496,-0.522553,-0.062356
-0.569387,0.673526,-0.522199,-0.061231
-0.569245,0.660628,-0.521844,-0.061144
-0.569104,0.653075,-0.52149,-0.062385
-0.568962,0.659271,-0.521136,-0.062788
-0.56882,0.67359,-0.520782,-0.059664
-0.568679,0.68774,-0.520427,-0.055012
-0.568537,0.702025,-0.520073,-0.049243
-0.568395,0.716593,-0.519719,-0.050032
-0.568254,0.731049,-0.519365,-0.052266
-0.568112,0.744772,-0.51901,-0.056962
-0.56797,0.750625,-0.518656,-0.055716
-0.567829,0.748756,-0.518302,-0.051109
-0.567687,0.73514,-0.517948,-0.043027
-0.567545,0.721402,-0.517593,-0.039436
-0.567403,0.707692,-0.517239,-0.043539
