UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-4.830892,-0.005126,-4.830892,-0.806758
-4.830716,-0.020797,-4.830452,-10.084479
-4.83054,-0.095672,-4.830012,-6.434445
-4.830364,-0.165457,-4.829573,3.6325
-4.830188,-0.210759,-4.829133,3.627125
-4.830012,-0.274154,-4.828693,3.623071
-4.829836,-0.350864,-4.828254,3.619387
-4.82966,-0.347227,-4.827814,3.617853
-4.829485,-0.327589,-4.827374,3.61978
-4.829309,-0.308929,-4.826934,3.622342
-4.829133,-0.290314,-4.826495,1.618632
-4.828957,-0.271762,-4.826055,-0.005675
-4.828781,-0.257494,-4.825615,-0.011277
-4.828605,-0.249867,-4.825176,-0.012365
-4.82843,-0.24877,-4.824736,-0.013205
-4.828254,-0.247677,-4.824296,-0.014422
-4.828078,-0.246565,-4.823857,-0.016196
-4.827902,-0.245447,-4.823417,-0.01802
-4.827726,-0.2446,-4.822978,-0.019031
-4.82755,-0.246361,-4.822538,-0.019768
-4.827374,-0.249816,-4.822098,-0.018482
-4.827199,-0.253719,-4.821658,-0.007174
-4.827023,-0.228113,-4.821218,0.004158
-4.826847,-0.037236,-4.820779,0.008132
-4.826671,-0.005682,-4.820339,0.005436
-4.826495,-0.012976,-4.8199,0.002655
-4.826319,-0.025013,-4.81946,0.003294
-4.826143,-0.041701,-4.81902,0.004478
-4.825967,-0.058745,-4.818581,0.006248
-4.825792,-0.075842,-4.818141,0.009403
-4.825616,-0.092914,-4.817701,0.011736
-4.82544,-0.109961,-4.817262,0.009758
-4.825264,-0.107384,-4.816822,0.005295
-4.825088,-0.094434,-4.816382,0.001704
-4.824912,-0.075008,-4.815943,0.007145
-4.824737,-0.056387,-4.815503,0.013332
-4.824561,-0.036827,-4.815063,0.020249
-4.824385,-0.017532,-4.814623,0.028069
-4.824209,-0.002027,-4.814184,0.036143
-4.824033,0.005043,-4.813744,0.043307
-4.823857,0.00581,-4.813304,0.049887
-4.823681,0.006394,-4.812865,0.056012
-4.823505,0.006972,-4.812425,0.060452
-4.823329,0.00753,-4.811985,0.06528
-4.823153,0.008117,-4.811546,0.071196
-4.822978,0.009394,-4.811106,0.079835
-4.822802,0.011165,-4.810667,0.100712
-4.822626,0.013259,-4.810227,0.154812
-4.82245,0.015295,-4.809787,0.216133
-4.822274,0.017371,-4.809347,0.275554
-4.822098,0.019439,-4.808908,0.32764
-4.821923,0.021429,-4.808468,0.378249
-4.821747,0.022817,-4.808028,0.424547
-4.821571,0.02392,-4.807589,0.46396
-4.821395,0.024921,-4.807149,0.491312
-4.821219,0.02591,-4.806709,0.484085
-4.821043,0.026924,-4.80627,0.475137
-4.820868,0.027937,-4.80583,0.470013
-4.820692,0.027887,-4.80539,0.471155
-4.820516,0.026711,-4.804951,0.467057
-4.82034,0.025091,-4.804511,0.452739
-4.820164,0.023472,-4.804071,0.435162
-4.819988,0.021854,-4.803631,0.422824
-4.819812,0.020256,-4.803192,0.430314
-4.819636,0.018724,-4.802752,0.426118
-4.81946,0.008173,-4.802312,0.402988
-4.819285,-0.00374,-4.801873,0.357567
-4.819109,-0.015544,-4.801433,0.32636
-4.818933,-0.027351,-4.800993,0.319024
-4.818757,-0.039161,-4.800554,0.318736
-4.818581,-0.050377,-4.800114,0.317011
-4.818405,-0.051717,-4.799675,0.311764
-4.81823,-0.033338,-4.799235,0.303157
-4.818054,-0.01495,-4.798795,0.289572
-4.817878,0.003783,-4.798356,0.27307
-4.817702,0.022535,-4.797915,0.261332
-4.817526,0.040947,-4.797476,0.259702
-4.81735,0.059481,-4.797036,0.256357
-4.817174,0.071675,-4.796597,0.248137
-4.816998,0.081574,-4.796157,0.229797
-4.816823,0.091496,-4.795717,0.21272
-4.816647,0.101693,-4.795278,0.197002
-4.816471,0.111683,-4.794838,0.183143
-4.816295,0.121721,-4.794398,0.175507
-4.816119,0.13054,-4.793959,0.173216
-4.815943,0.130347,-4.793519,0.175035
-4.815767,0.130155,-4.793079,0.176216
-4.815592,0.129962,-4.79264,0.176677
-4.815416,0.129768,-4.7922,0.174465
-4.81524,0.129569,-4.79176,0.168595
-4.815064,0.12658,-4.79132,0.157517
-4.814888,0.119375,-4.790881,0.143703
-4.814712,0.108282,-4.790441,0.127916
-4.814537,0.096632,-4.790001,0.111525
-4.814361,0.084964,-4.789562,0.110967
-4.814185,0.073469,-4.789122,0.120058
-4.814009,0.070278,-4.788682,0.124945
-4.813833,0.089969,-4.788243,0.116753
-4.813657,0.165571,-4.787803,0.096034
-4.813481,0.246444,-4.787364,0.089837
-4.813305,0.326779,-4.786924,0.093748
-4.813129,0.405707,-4.786484,0.101892
-4.812953,0.486925,-4.786045,0.088229
-4.812778,0.55727,-4.785604,0.064699
-4.812602,0.613494,-4.785165,0.048128
-4.812426,0.652291,-4.784725,0.044275
-4.81225,0.690169,-4.784286,0.048853
-4.812074,0.72812,-4.783846,0.053486
-4.811898,0.766549,-4.783406,0.058059
-4.811723,0.80502,-4.782967,0.060442
-4.811547,0.837611,-4.782527,0.053226
-4.811371,0.867434,-4.782087,0.042601
-4.811195,0.896383,-4.781648,0.037451
-4.811019,0.925291,-4.781208,0.038329
-4.810843,0.953615,-4.780768,0.041886
-4.810668,0.983268,-4.780329,0.035225
-4.810492,1.020731,-4.779889,0.026019
-4.810316,1.067779,-4.779449,0.018146
-4.81014,1.126686,-4.779009,0.017067
-4.809964,1.188463,-4.77857,0.017599
-4.809788,1.249991,-4.77813,0.020509
-4.809612,1.310946,-4.77769,0.025052
-4.809436,1.372079,-4.777251,0.029963
-4.80926,1.424747,-4.776811,0.042121
-4.809085,1.467891,-4.776371,0.055218
-4.808909,1.504663,-4.775932,0.06156
-4.808733,1.54087,-4.775492,0.053161
-4.808557,1.577229,-4.775053,0.042031
-4.808381,1.613115,-4.774613,0.048503
-4.808205,1.647609,-4.774173,0.064233
-4.80803,1.67925,-4.773733,0.080802
-4.807854,1.702671,-4.773293,0.072805
-4.807678,1.726576,-4.772854,0.062741
-4.807502,1.750758,-4.772414,0.052964
-4.807326,1.774924,-4.771975,0.044894
-4.80715,1.798117,-4.771535,0.037216
-4.806974,1.808374,-4.771095,0.030992
-4.806798,1.806943,-4.770656,0.025241
-4.806623,1.793059,-4.770216,0.021238
-4.806447,1.780013,-4.769776,0.029936
-4.806271,1.766649,-4.769337,0.039355
-4.806095,1.753482,-4.768897,0.046286
-4.805919,1.74053,-4.768457,0.050165
-4.805743,1.727209,-4.768018,0.053712
-4.805567,1.711251,-4.767578,0.058538
-4.805392,1.695194,-4.767138,0.063709
-4.805216,1.679335,-4.766698,0.067325
-4.80504,1.66309,-4.766259,0.064051
-4.804864,1.646744,-4.765819,0.060476
-4.804688,1.630313,-4.765379,0.046934
-4.804512,1.613669,-4.76494,0.024225
-4.804337,1.596577,-4.7645,0.000884
-4.804161,1.579364,-4.76406,-0.009609
-4.803985,1.56206,-4.763621,-0.017056
-4.803809,1.544798,-4.763181,-0.022367
-4.803633,1.52721,-4.762742,-0.021671
-4.803457,1.494912,-4.762302,-0.020857
-4.803281,1.455669,-4.761862,-0.020584
