UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-0.600859,0.113433,-0.600859,0
-0.600718,1.417914,-0.600505,-4.038674
-0.600576,1.417914,-0.600151,-4.967211
-0.600434,1.417914,-0.599796,-2.990455
-0.600292,1.417914,-0.599442,-1.0137
-0.600151,1.417914,-0.599088,-0.362646
-0.600009,1.525132,-0.598734,-0.365572
-0.599867,1.716781,-0.598379,-0.364998
-0.599726,1.846093,-0.598025,-0.363758
-0.599584,1.850145,-0.597671,-0.361559
-0.599442,1.853925,-0.597316,-0.357308
-0.599301,1.857664,-0.596962,-0.352657
-0.599159,1.861496,-0.596608,-0.349564
-0.599017,1.86527,-0.596254,-0.241959
-0.598875,1.869001,-0.595899,-0.030995
-0.598734,1.871953,-0.595545,0.000048
-0.598592,1.873866,-0.595191,-0.000211
-0.59845,1.873402,-0.594837,-0.000761
-0.598309,1.87292,-0.594482,-0.000391
-0.598167,1.872429,-0.594128,0.000577
-0.598025,1.871963,-0.593774,0.003731
-0.597884,1.871487,-0.593419,0.006133
-0.597742,1.870993,-0.593065,0.006631
-0.5976,1.868046,-0.592711,0.004597
-0.597459,1.863073,-0.592357,0.001746
-0.597317,1.846436,-0.592002,0.004483
-0.597175,1.829581,-0.591648,0.010332
-0.597033,1.812441,-0.591294,0.020474
-0.596892,0.907432,-0.59094,0.024644
-0.59675,-0.016653,-0.590585,0.025902
-0.596608,-0.033879,-0.590231,0.019912
-0.596467,-0.046065,-0.589877,0.017803
-0.596325,-0.054224,-0.589522,0.019348
-0.596183,-0.038484,-0.589168,0.027029
-0.596042,-0.020612,-0.588814,0.036236
-0.5959,-0.003365,-0.58846,0.047795
-0.595758,0.014207,-0.588105,0.061453
-0.595616,0.031973,-0.587751,0.076412
-0.595475,0.050283,-0.587397,0.08644
-0.595333,0.066234,-0.587042,0.094625
-0.595191,0.078767,-0.586688,0.099581
-0.59505,0.083346,-0.586334,0.108921
-0.594908,0.085148,-0.58598,0.120218
-0.594766,0.086955,-0.585625,0.134638
-0.594625,0.088741,-0.585271,0.132848
-0.594483,0.090506,-0.584917,0.114165
-0.594341,0.092318,-0.584563,0.080279
-0.5942,0.094156,-0.584208,0.047622
-0.594058,0.096044,-0.583854,0.030502
-0.593916,0.097697,-0.5835,0.019618
-0.593774,0.099175,-0.583145,0.013249
-0.593633,0.100659,-0.582791,0.052208
-0.593491,0.102133,-0.582437,0.098236
-0.593349,0.103585,-0.582083,0.153791
-0.593208,0.105066,-0.581728,0.180439
-0.593066,0.106584,-0.581374,0.191605
-0.592924,0.108628,-0.58102,0.189173
-0.592783,0.111341,-0.580666,0.186794
-0.592641,0.115094,-0.580311,0.190184
-0.592499,0.118711,-0.579957,0.194566
-0.592357,0.122316,-0.579603,0.200129
-0.592216,0.126103,-0.579248,0.215038
-0.592074,0.129799,-0.578894,0.233441
-0.591932,0.133414,-0.57854,0.25616
-0.591791,0.128681,-0.578186,0.27973
-0.591649,0.119405,-0.577831,0.305074
-0.591507,0.10072,-0.577477,0.330558
-0.591366,0.081975,-0.577123,0.356123
-0.591224,0.063193,-0.576769,0.366319
-0.591082,0.044312,-0.576414,0.374258
-0.590941,0.025392,-0.57606,0.378224
-0.590799,0.006405,-0.575706,0.382914
-0.590657,-0.003969,-0.575351,0.388141
-0.590515,-0.010149,-0.574997,0.393449
-0.590374,-0.004752,-0.574643,0.397652
-0.590232,0.000601,-0.574289,0.398281
-0.59009,0.005901,-0.573934,0.398403
-0.589949,0.011329,-0.57358,0.39815
-0.589807,0.016776,-0.573226,0.397892
-0.589665,0.022144,-0.572871,0.397637
-0.589524,0.018814,-0.572517,0.397391
-0.589382,0.007225,-0.572163,0.393436
-0.58924,-0.012739,-0.571809,0.387311
-0.589098,-0.033154,-0.571454,0.380582
-0.588957,-0.053671,-0.5711,0.372516
-0.588815,-0.074593,-0.570746,0.36193
-0.588673,-0.095724,-0.570392,0.350786
-0.588532,-0.116067,-0.570037,0.339031
-0.58839,-0.12546,-0.569683,0.320904
-0.588248,-0.115654,-0.569329,0.304542
-0.588107,-0.093782,-0.568974,0.290665
-0.587965,-0.067776,-0.56862,0.304423
-0.587823,-0.041581,-0.568266,0.325884
-0.587682,-0.015283,-0.567912,0.340542
-0.58754,0.011129,-0.567557,0.330454
-0.587398,0.037226,-0.567203,0.293815
-0.587256,0.063612,-0.566849,0.260254
-0.587115,0.0912,-0.566495,0.231711
-0.586973,0.115825,-0.56614,0.222739
-0.586831,0.138729,-0.565786,0.213856
-0.58669,0.162321,-0.565432,0.205047
-0.586548,0.186022,-0.565077,0.195967
-0.586406,0.209878,-0.564723,0.186932
-0.586265,0.23354,-0.564369,0.17812
-0.586123,0.25539,-0.564015,0.170505
-0.585981,0.256215,-0.56366,0.16368
-0.585839,0.254096,-0.563306,0.157643
-0.585698,0.248014,-0.562952,0.152747
-0.585556,0.241983,-0.562597,0.150253
-0.585414,0.235999,-0.562243,0.14776
-0.585273,0.230152,-0.561889,0.145266
-0.585131,0.224265,-0.561535,0.142753
-0.584989,0.218347,-0.56118,0.139942
-0.584848,0.189855,-0.560826,0.136639
-0.584706,0.159222,-0.560472,0.131525
-0.584564,0.128959,-0.560118,0.125873
-0.584422,0.099603,-0.559763,0.120954
-0.584281,0.070655,-0.559409,0.117485
-0.584139,0.040165,-0.559055,0.11578
-0.583997,0.01223,-0.5587,0.112876
-0.583856,-0.012146,-0.558346,0.109214
-0.583714,0.057827,-0.557992,0.10325
-0.583572,0.157563,-0.557638,0.100313
-0.583431,0.255501,-0.557283,0.100151
-0.583289,0.35336,-0.556929,0.109629
-0.583147,0.451145,-0.556575,0.118381
-0.583006,0.550396,-0.556221,0.120194
-0.582864,0.653614,-0.555866,0.112635
-0.582722,0.767622,-0.555512,0.098432
-0.58258,0.877433,-0.555158,0.089297
-0.582439,0.984628,-0.554803,0.083372
-0.582297,1.086478,-0.554449,0.08425
-0.582155,1.188748,-0.554095,0.083585
-0.582014,1.292058,-0.553741,0.082027
-0.581872,1.392458,-0.553386,0.077075
-0.58173,1.491029,-0.553032,0.072052
-0.581589,1.570708,-0.552678,0.066906
-0.581447,1.628089,-0.552323,0.061788
-0.581305,1.590934,-0.551969,0.056495
-0.581163,1.55338,-0.551615,0.049058
-0.581022,1.515246,-0.551261,0.040801
-0.58088,1.477496,-0.550906,0.031477
-0.580738,1.439917,-0.550552,0.025298
-0.580597,1.401752,-0.550198,0.020404
-0.580455,1.365022,-0.549844,0.019273
-0.580313,1.33299,-0.549489,0.017686
-0.580172,1.315916,-0.549135,0.015564
-0.58003,1.313995,-0.548781,0.012715
-0.579888,1.312117,-0.548426,0.0098
-0.579747,1.310251,-0.548072,0.007534
