UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-0.600846,0.141814,-0.600846,0
-0.600775,1.772673,-0.600489,-0.557019
-0.600703,1.772673,-0.600132,-0.550056
-0.600632,1.772673,-0.599774,-0.239723
-0.600561,1.772673,-0.599417,0.07061
-0.600489,1.768526,-0.59906,0.175226
-0.600418,1.749733,-0.598702,0.189531
-0.600346,1.723653,-0.598345,0.191797
-0.600275,1.701628,-0.597987,0.189815
-0.600203,1.684094,-0.59763,0.182799
-0.600132,1.667411,-0.597273,0.174243
-0.60006,1.651081,-0.596915,0.165137
-0.599989,1.635423,-0.596558,0.155122
-0.599917,1.577624,-0.5962,0.096167
-0.599846,1.482712,-0.595843,0.006004
-0.599774,1.387799,-0.595486,0.017384
-0.599703,1.362914,-0.595128,0.024507
-0.599631,1.363124,-0.594771,0.024009
-0.59956,1.36331,-0.594414,0.019206
-0.599488,1.363505,-0.594056,0.013665
-0.599417,1.364534,-0.593699,0.011927
-0.599346,1.368773,-0.593341,0.011031
-0.599274,1.37545,-0.592984,0.010985
-0.599203,1.384695,-0.592627,0.012822
-0.599131,1.393459,-0.592269,0.015089
-0.59906,1.4022,-0.591912,0.017786
-0.598988,1.410947,-0.591555,0.02067
-0.598917,1.419699,-0.591197,0.023658
-0.598845,1.428455,-0.59084,0.026705
-0.598774,1.437218,-0.590482,0.03114
-0.598702,1.445984,-0.590125,0.037565
-0.598631,1.454755,-0.589768,0.044308
-0.598559,1.463533,-0.58941,0.049691
-0.598488,1.472214,-0.589053,0.048319
-0.598416,1.48054,-0.588696,0.046146
-0.598345,1.489107,-0.588338,0.043363
-0.598274,1.497906,-0.587981,0.056788
-0.598202,1.498624,-0.587623,0.071682
-0.598131,1.495198,-0.587266,0.087703
-0.598059,1.483663,-0.586909,0.097067
-0.597988,1.471663,-0.586551,0.103699
-0.597916,1.459631,-0.586194,0.109675
-0.597845,1.448679,-0.585836,0.121961
-0.597773,1.437445,-0.585479,0.141465
-0.597702,1.425872,-0.585122,0.161935
-0.59763,1.414287,-0.584764,0.175009
-0.597559,1.402846,-0.584407,0.164057
-0.597487,1.391856,-0.58405,0.151286
-0.597416,1.380142,-0.583692,0.137578
-0.597344,1.367899,-0.583335,0.134414
-0.597273,1.356882,-0.582977,0.132366
-0.597201,1.345643,-0.58262,0.132018
-0.59713,1.334,-0.582263,0.206881
-0.597059,1.32769,-0.581905,0.304692
-0.596987,1.324366,-0.581548,0.401602
-0.596916,1.327596,-0.581191,0.465639
-0.596844,0.927014,-0.580833,0.467169
-0.596773,0.094526,-0.580476,0.468592
-0.596701,0.008483,-0.580118,0.469952
-0.59663,0.011849,-0.579761,0.463234
-0.596558,0.015092,-0.579404,0.456948
-0.596487,0.018453,-0.579046,0.454401
-0.596415,0.021882,-0.578689,0.4951
-0.596344,0.025315,-0.578331,0.573837
-0.596272,0.028667,-0.577974,0.655123
-0.596201,0.031924,-0.577617,0.735289
-0.596129,0.03533,-0.577259,0.807684
-0.596058,0.038734,-0.576902,0.877603
-0.595986,0.042001,-0.576545,0.94493
-0.595915,0.049092,-0.576187,0.967071
-0.595844,0.059191,-0.57583,0.979419
-0.595772,0.067809,-0.575472,0.990931
-0.595701,0.076412,-0.575115,0.998019
-0.595629,0.085025,-0.574758,1.000972
-0.595558,0.093647,-0.5744,0.997196
-0.595486,0.102286,-0.574043,0.981635
-0.595415,0.111407,-0.573686,0.928837
-0.595343,0.120313,-0.573328,0.877638
-0.595272,0.128967,-0.572971,0.827606
-0.5952,0.137634,-0.572613,0.804336
-0.595129,0.146389,-0.572256,0.781534
-0.595057,0.155556,-0.571899,0.757148
-0.594986,0.164165,-0.571541,0.725069
-0.594914,0.172429,-0.571184,0.689613
-0.594843,0.180128,-0.570827,0.654748
-0.594772,0.18242,-0.570469,0.623428
-0.5947,0.174574,-0.570112,0.596756
-0.594629,0.167344,-0.569754,0.570025
-0.594557,0.160269,-0.569397,0.54392
-0.594486,0.153181,-0.56904,0.52091
-0.594414,0.145794,-0.568682,0.499095
-0.594343,0.137903,-0.568325,0.478283
-0.594271,0.130348,-0.567967,0.464001
-0.5942,0.122767,-0.56761,0.449843
-0.594128,0.114847,-0.567253,0.434421
-0.594057,0.107458,-0.566895,0.417001
-0.593985,0.100317,-0.566538,0.39863
-0.593914,0.09279,-0.566181,0.383267
-0.593842,0.085252,-0.565823,0.371121
-0.593771,0.077704,-0.565466,0.363879
-0.5937,0.074326,-0.565108,0.356062
-0.593628,0.074082,-0.564751,0.348071
-0.593557,0.083482,-0.564394,0.340105
-0.593485,0.093128,-0.564036,0.329525
-0.593414,0.103044,-0.563679,0.316301
-0.593342,0.112978,-0.563322,0.296179
-0.593271,0.122921,-0.562964,0.276598
-0.593199,0.132879,-0.562607,0.261937
-0.593128,0.142506,-0.562249,0.252759
-0.593056,0.151988,-0.561892,0.247164
-0.592985,0.161491,-0.561535,0.240257
-0.592913,0.171378,-0.561177,0.232712
-0.592842,0.18196,-0.56082,0.224034
-0.59277,0.191651,-0.560462,0.216256
-0.592699,0.201301,-0.560105,0.209079
-0.592627,0.211372,-0.559748,0.2043
-0.592556,0.218993,-0.55939,0.198891
-0.592485,0.225159,-0.559033,0.192727
-0.592413,0.226654,-0.558676,0.186054
-0.592342,0.228057,-0.558318,0.179643
-0.59227,0.229511,-0.557961,0.174624
-0.592199,0.230912,-0.557603,0.170561
-0.592127,0.232289,-0.557246,0.167231
-0.592056,0.233612,-0.556889,0.162975
-0.591984,0.234993,-0.556531,0.15846
-0.591913,0.236458,-0.556174,0.153514
-0.591841,0.237863,-0.555817,0.147429
-0.59177,0.23926,-0.555459,0.140741
-0.591698,0.240659,-0.555102,0.133109
-0.591627,0.242105,-0.554744,0.129345
-0.591555,0.243572,-0.554387,0.130833
-0.591484,0.244912,-0.55403,0.137095
-0.591412,0.244652,-0.553672,0.143111
-0.591341,0.241737,-0.553315,0.140663
-0.59127,0.23594,-0.552958,0.135252
-0.591198,0.228925,-0.5526,0.127184
-0.591127,0.222466,-0.552243,0.120947
-0.591055,0.21567,-0.551885,0.115196
-0.590984,0.20851,-0.551528,0.110208
-0.590912,0.201989,-0.551171,0.106146
-0.590841,0.195392,-0.550813,0.102605
-0.590769,0.188551,-0.550456,0.099754
-0.590698,0.181925,-0.550098,0.095498
-0.590626,0.175376,-0.549741,0.088468
-0.590555,0.168493,-0.549384,0.080519
-0.590483,0.161753,-0.549026,0.072429
-0.590412,0.155179,-0.548669,0.069735
-0.59034,0.14832,-0.548312,0.067993
-0.590269,0.143843,-0.547954,0.067589
-0.590198,0.14697,-0.547597,0.06932
-0.590126,0.152572,-0.547239,0.071693
-0.590055,0.159811,-0.546882,0.074677
-0.589983,0.166755,-0.546525,0.075305
-0.589912,0.173874,-0.546167,0.073427
-0.58984,0.181526,-0.54581,0.070792
-0.589769,0.188937,-0.545453,0.067405
-0.589697,0.19625,-0.545095,0.061521
-0.589626,0.203587,-0.544738,0.055373
-0.589554,0.210935,-0.54438,0.049025
-0.589483,0.218296,-0.544023,0.050519
-0.589411,0.225389,-0.543666,0.053
-0.58934,0.232507,-0.543308,0.056557
-0.589268,0.239921,-0.542951,0.052668
-0.589197,0.24735,-0.542594,0.044567
-0.589125,0.25479,-0.542236,0.034631
-0.589054,0.255141,-0.541879,0.028006
-0.588983,0.25484,-0.541521,0.026802
-0.588911,0.253652,-0.541164,0.026649
-0.58884,0.252506,-0.540807,0.026812
-0.588768,0.251367,-0.540449,0.026624
-0.588697,0.250225,-0.540092,0.026416
-0.588625,0.24908,-0.539734,0.026187
-0.588554,0.247934,-0.539377,0.028757
-0.588482,0.246783,-0.53902,0.031848
-0.588411,0.245616,-0.538662,0.03508
-0.588339,0.244405,-0.538305,0.032126
-0.588268,0.243266,-0.537948,0.024941
-0.588196,0.242155,-0.53759,0.017243
-0.588125,0.24099,-0.537233,0.013423
-0.588053,0.240195,-0.536875,0.017304
-0.587982,0.239929,-0.536518,0.021231
-0.587911,0.247206,-0.536161,0.024333
-0.587839,0.256297,-0.535803,0.017722
-0.587768,0.265419,-0.535446,0.01137
-0.587696,0.274565,-0.535089,0.005348
-0.587625,0.283713,-0.534731,0.009446
-0.587553,0.292514,-0.534374,0.015737
-0.587482,0.30133,-0.534016,0.021489
-0.58741,0.310171,-0.533659,0.020534
-0.587339,0.319043,-0.533302,0.014293
-0.587267,0.327973,-0.532944,0.008288
-0.587196,0.337302,-0.532587,0.004317
-0.587124,0.346222,-0.532229,0.005012
-0.587053,0.354814,-0.531872,0.005842
-0.586981,0.364118,-0.531515,0.006825
-0.58691,0.373017,-0.531157,0.01007
-0.586838,0.380823,-0.5308,0.013286
-0.586767,0.392305,-0.530443,0.016462
-0.586696,0.405858,-0.530085,0.018419
-0.586624,0.420898,-0.529728,0.019722
-0.586553,0.43568,-0.52937,0.019168
-0.586481,0.450167,-0.529013,0.013281
-0.58641,0.464242,-0.528656,0.002287
-0.586338,0.478444,-0.528298,-0.005543
-0.586267,0.494416,-0.527941,-0.010135
-0.586195,0.509256,-0.527584,-0.004758
-0.586124,0.523386,-0.527226,0.001146
-0.586052,0.538137,-0.526869,0.007605
-0.585981,0.552964,-0.526511,0.015927
-0.585909,0.567848,-0.526154,0.023912
-0.585838,0.582791,-0.525797,0.028085
-0.585766,0.597627,-0.525439,0.025379
-0.585695,0.61143,-0.525082,0.016916
-0.585624,0.612387,-0.524725,0.010541
-0.585552,0.601777,-0.524367,0.006076
-0.585481,0.589372,-0.52401,0.005839
-0.585409,0.577015,-0.523652,0.007691
-0.585338,0.565275,-0.523295,0.010813
-0.585266,0.553191,-0.522938,0.021284
-0.585195,0.540896,-0.52258,0.028775
-0.585123,0.528017,-0.522223,0.031593
-0.585052,0.515575,-0.521865,0.022717
-0.58498,0.503611,-0.521508,0.010666
-0.584909,0.491582,-0.521151,0.001894
-0.584837,0.479441,-0.520793,-0.003496
-0.584766,0.466832,-0.520436,-0.005475
-0.584694,0.454738,-0.520079,-0.009018
-0.584623,0.442983,-0.519721,-0.013683
-0.584551,0.424843,-0.519364,-0.021286
-0.58448,0.404755,-0.519006,-0.02546
-0.584409,0.382304,-0.518649,-0.027457
-0.584337,0.359127,-0.518292,-0.019626
-0.584266,0.335723,-0.517934,-0.013137
-0.584194,0.312942,-0.517577,-0.00915
-0.584123,0.289661,-0.51722,-0.00979
-0.584051,0.265826,-0.516862,-0.012521
-0.58398,0.243384,-0.516505,-0.018785
-0.583908,0.221039,-0.516147,-0.027843
-0.583837,0.198555,-0.51579,-0.039847
-0.583765,0.174967,-0.515433,-0.045508
-0.583694,0.150633,-0.515075,-0.04721
-0.583622,0.127789,-0.514718,-0.040371
-0.583551,0.104865,-0.514361,-0.035896
-0.583479,0.081828,-0.514003,-0.032957
-0.583408,0.083031,-0.513646,-0.035194
-0.583336,0.098121,-0.513288,-0.035769
-0.583265,0.146293,-0.512931,-0.033209
-0.583194,0.193729,-0.512574,-0.027148
-0.583122,0.240657,-0.512216,-0.020413
-0.583051,0.288001,-0.511859,-0.019106
-0.582979,0.334977,-0.511501,-0.020381
-0.582908,0.381185,-0.511144,-0.024487
-0.582836,0.429667,-0.510787,-0.026664
-0.582765,0.478803,-0.510429,-0.028054
-0.582693,0.525004,-0.510072,-0.027954
-0.582622,0.57117,-0.509715,-0.030125
-0.58255,0.617299,-0.509357,-0.03387
-0.582479,0.662233,-0.509,-0.040325
-0.582407,0.707003,-0.508642,-0.044448
-0.582336,0.75311,-0.508285,-0.044275
-0.582264,0.800426,-0.507928,-0.040795
-0.582193,0.849398,-0.50757,-0.036704
-0.582121,0.901424,-0.507213,-0.037424
-0.58205,0.95475,-0.506856,-0.039619
-0.581979,1.006711,-0.506498,-0.04338
-0.581907,1.059273,-0.506141,-0.049278
-0.581836,1.114177,-0.505783,-0.055948
-0.581764,1.1682,-0.505426,-0.064014
-0.581693,1.221471,-0.505069,-0.066804
-0.581621,1.274725,-0.504711,-0.066077
-0.58155,1.327974,-0.504354,-0.060075
-0.581478,1.381207,-0.503996,-0.05539
-0.581407,1.435093,-0.503639,-0.053273
-0.581335,1.490106,-0.503282,-0.052884
-0.581264,1.543861,-0.502924,-0.0537
-0.581192,1.597072,-0.502567,-0.059899
-0.581121,1.648922,-0.50221,-0.06726
-0.581049,1.693234,-0.501852,-0.075927
-0.580978,1.70741,-0.501495,-0.08193
-0.580907,1.700462,-0.501137,-0.08712
-0.580835,1.673989,-0.50078,-0.091109
-0.580764,1.648248,-0.500423,-0.091381
-0.580692,1.622636,-0.500065,-0.089154
-0.580621,1.597025,-0.499708,-0.084922
-0.580549,1.571411,-0.499351,-0.079786
-0.580478,1.545794,-0.498993,-0.073071
-0.580406,1.519737,-0.498636,-0.066017
-0.580335,1.493464,-0.498278,-0.059506
-0.580263,1.466978,-0.497921,-0.058377
-0.580192,1.440768,-0.497564,-0.057931
-0.58012,1.415142,-0.497206,-0.058282
-0.580049,1.389511,-0.496849,-0.068694
-0.579977,1.363876,-0.496492,-0.081503
-0.579906,1.337694,-0.496134,-0.096482
-0.579835,1.316258,-0.495777,-0.097312
-0.579763,1.315535,-0.495419,-0.088944
-0.579692,1.323201,-0.495062,-0.076023
-0.57962,1.340498,-0.494705,-0.069089
-0.579549,1.358405,-0.494347,-0.073487
-0.579477,1.37646,-0.49399,-0.07984
-0.579406,1.393957,-0.493632,-0.086147
-0.579334,1.411538,-0.493275,-0.084554
-0.579263,1.429245,-0.492918,-0.082435
-0.579191,1.446952,-0.49256,-0.07971
-0.57912,1.46466,-0.492203,-0.075585
-0.579048,1.482369,-0.491846,-0.071226
-0.578977,1.499952,-0.491488,-0.066971
-0.578905,1.517298,-0.491131,-0.069345
-0.578834,1.53488,-0.490773,-0.076238
-0.578762,1.552601,-0.490416,-0.083872
-0.578691,1.570325,-0.490059,-0.086241
-0.57862,1.594751,-0.489701,-0.079412
-0.578548,1.637425,-0.489344,-0.072328
-0.578477,1.680463,-0.488987,-0.066181
-0.578405,1.723791,-0.488629,-0.068733
-0.578334,1.765624,-0.488272,-0.071622
-0.578262,1.80747,-0.487914,-0.074878
-0.578191,1.849985,-0.487557,-0.081508
-0.578119,1.892513,-0.4872,-0.08854
-0.578048,1.93505,-0.486842,-0.094834
-0.577976,1.977607,-0.486485,-0.097319
-0.577905,2.020171,-0.486128,-0.097172
-0.577833,2.062758,-0.48577,-0.09722
-0.577762,2.105359,-0.485413,-0.097914
-0.57769,2.147972,-0.485055,-0.09977
-0.577619,2.190611,-0.484698,-0.101054
-0.577547,2.233544,-0.484341,-0.101532
-0.577476,2.27819,-0.483983,-0.095538
-0.577405,2.313077,-0.483626,-0.090143
-0.577333,2.337073,-0.483268,-0.085436
-0.577262,2.357135,-0.482911,-0.088192
-0.57719,2.376281,-0.482554,-0.092205
-0.577119,2.396041,-0.482196,-0.09564
-0.577047,2.415934,-0.481839,-0.096926
-0.576976,2.436017,-0.481482,-0.096734
-0.576904,2.455876,-0.481124,-0.095574
-0.576833,2.47567,-0.480767,-0.093131
-0.576761,2.495483,-0.480409,-0.088501
-0.57669,2.515431,-0.480052,-0.085618
-0.576618,2.535547,-0.479695,-0.084158
-0.576547,2.554926,-0.479337,-0.090517
-0.576475,2.574186,-0.47898,-0.096183
-0.576404,2.594063,-0.478623,-0.101098
-0.576333,2.615065,-0.478265,-0.101937
-0.576261,2.63755,-0.477908,-0.10168
-0.57619,2.653125,-0.47755,-0.100186
-0.576118,2.666991,-0.477193,-0.09431
-0.576047,2.681305,-0.476836,-0.085377
-0.575975,2.695628,-0.476478,-0.081109
-0.575904,2.709963,-0.476121,-0.08332
-0.575832,2.724186,-0.475763,-0.097556
-0.575761,2.7384,-0.475406,-0.10868
-0.575689,2.752768,-0.475049,-0.117588
-0.575618,2.76722,-0.474691,-0.113953
-0.575546,2.781764,-0.474334,-0.109846
-0.575475,2.795906,-0.473977,-0.104908
-0.575403,2.810064,-0.473619,-0.098287
-0.575332,2.824636,-0.473262,-0.090084
-0.57526,2.838877,-0.472904,-0.084412
-0.575189,2.852849,-0.472547,-0.079916
-0.575118,2.861839,-0.47219,-0.084862
-0.575046,2.863795,-0.471832,-0.090938
-0.574975,2.844434,-0.471475,-0.098538
-0.574903,2.824874,-0.471118,-0.108112
-0.574832,2.805161,-0.47076,-0.117808
-0.57476,2.785889,-0.470403,-0.11918
-0.574689,2.766638,-0.470045,-0.114159
-0.574617,2.747369,-0.469688,-0.101423
-0.574546,2.727679,-0.469331,-0.095603
-0.574474,2.707719,-0.468973,-0.093495
-0.574403,2.688397,-0.468616,-0.100705
-0.574331,2.669065,-0.468259,-0.104731
-0.57426,2.649715,-0.467901,-0.106425
-0.574188,2.629889,-0.467544,-0.101655
-0.574117,2.609894,-0.467186,-0.10016
-0.574045,2.590485,-0.466829,-0.105896
-0.573974,2.568116,-0.466472,-0.12057
-0.573903,2.541784,-0.466114,-0.138018
-0.573831,2.512988,-0.465757,-0.142808
-0.57376,2.483463,-0.4654,-0.14055
-0.573688,2.453789,-0.465042,-0.129727
-0.573617,2.424098,-0.464685,-0.120081
-0.573545,2.394393,-0.464327,-0.110964
-0.573474,2.36405,-0.46397,-0.102909
-0.573402,2.333764,-0.463613,-0.100885
-0.573331,2.30396,-0.463255,-0.103291
-0.573259,2.274182,-0.462898,-0.116313
-0.573188,2.244417,-0.46254,-0.126843
-0.573116,2.214592,-0.462183,-0.131305
-0.573045,2.184709,-0.461826,-0.129541
-0.572973,2.154722,-0.461468,-0.124985
-0.572902,2.124807,-0.461111,-0.119141
-0.57283,2.095517,-0.460754,-0.113024
-0.572759,2.070788,-0.460396,-0.106575
-0.572688,2.050317,-0.460039,-0.103897
-0.572616,2.035192,-0.459681,-0.102657
-0.572545,2.02005,-0.459324,-0.104058
-0.572473,2.004914,-0.458967,-0.106007
-0.572402,1.989819,-0.458609,-0.108352
-0.57233,1.974814,-0.458252,-0.111173
-0.572259,1.95987,-0.457895,-0.113367
-0.572187,1.945067,-0.457537,-0.114186
-0.572116,1.930159,-0.45718,-0.11415
-0.572044,1.914998,-0.456822,-0.113742
-0.571973,1.899933,-0.456465,-0.113263
-0.571901,1.884921,-0.456108,-0.112781
-0.57183,1.870035,-0.45575,-0.112295
-0.571759,1.854983,-0.455393,-0.110588
-0.571687,1.839703,-0.455036,-0.10854
-0.571616,1.82274,-0.454678,-0.10615
-0.571544,1.805837,-0.454321,-0.107045
-0.571473,1.791286,-0.453963,-0.110393
-0.571401,1.776516,-0.453606,-0.115335
-0.57133,1.761549,-0.453249,-0.117645
-0.571258,1.747194,-0.452891,-0.114176
-0.571187,1.732758,-0.452534,-0.109164
-0.571115,1.718029,-0.452176,-0.104288
-0.571044,1.703376,-0.451819,-0.111258
-0.570972,1.688766,-0.451462,-0.119875
-0.570901,1.67426,-0.451104,-0.13049
-0.570829,1.6598,-0.450747,-0.134291
-0.570758,1.645403,-0.45039,-0.136178
-0.570686,1.631088,-0.450032,-0.135995
-0.570615,1.616743,-0.449675,-0.133641
-0.570544,1.602008,-0.449317,-0.129666
-0.570472,1.585764,-0.44896,-0.124658
-0.570401,1.568099,-0.448603,-0.121793
-0.570329,1.553107,-0.448245,-0.123639
-0.570258,1.538451,-0.447888,-0.126723
-0.570186,1.523867,-0.447531,-0.129899
-0.570115,1.509345,-0.447173,-0.127549
-0.570043,1.494858,-0.446816,-0.124651
-0.569972,1.479902,-0.446458,-0.121053
-0.5699,1.465183,-0.446101,-0.116465
-0.569829,1.450882,-0.445744,-0.111664
-0.569757,1.436245,-0.445386,-0.106909
-0.569686,1.421473,-0.445029,-0.109956
-0.569614,1.406783,-0.444671,-0.118704
-0.569543,1.392134,-0.444314,-0.128245
-0.569471,1.377532,-0.443957,-0.135904
-0.5694,1.363001,-0.443599,-0.138589
-0.569329,1.347103,-0.443242,-0.140983
-0.569257,1.324207,-0.442885,-0.143045
-0.569186,1.301858,-0.442527,-0.140073
-0.569114,1.279918,-0.44217,-0.136972
-0.569043,1.257267,-0.441812,-0.133683
-0.568971,1.234578,-0.441455,-0.128907
-0.5689,1.211978,-0.441098,-0.123713
-0.568828,1.189458,-0.44074,-0.118534
-0.568757,1.166983,-0.440383,-0.116814
-0.568685,1.144623,-0.440026,-0.11808
-0.568614,1.122311,-0.439668,-0.119452
-0.568542,1.100068,-0.439311,-0.120585
-0.568471,1.077174,-0.438953,-0.121063
-0.568399,1.054277,-0.438596,-0.121471
-0.568328,1.032258,-0.438239,-0.121727
-0.568256,1.009801,-0.437881,-0.119285
