UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-4.830907,-0.172898,-4.830907,0
-4.830731,-2.156368,-4.830467,-10.355629
-4.830555,-2.156368,-4.830028,-8.754575
-4.830379,-2.156368,-4.829588,-6.427856
-4.830204,-2.156368,-4.829148,-5.843528
-4.830028,-2.142537,-4.828709,-5.848709
-4.829852,-2.118462,-4.828269,-5.854288
-4.829676,-2.128248,-4.827829,-5.845661
-4.8295,-2.150298,-4.82739,-5.836156
-4.829324,-2.171131,-4.82695,-5.834269
-4.829148,-2.191913,-4.82651,-5.435088
-4.828972,-2.194521,-4.826071,-1.003849
-4.828796,-2.193654,-4.825631,-0.01359
-4.828621,-2.191712,-4.825191,-0.017173
-4.828445,-2.189767,-4.824751,-0.020605
-4.828269,-2.187818,-4.824312,-0.023647
-4.828093,-2.184149,-4.823872,-0.026512
-4.827917,-2.17522,-4.823432,-0.02275
-4.827742,-2.153008,-4.822993,-0.010886
-4.827566,-2.131299,-4.822553,0.000981
-4.82739,-2.109934,-4.822114,0.005394
-4.827214,-2.088558,-4.821674,0.0078
-4.827038,-2.06619,-4.821234,0.007858
-4.826862,-0.680467,-4.820795,-0.004227
-4.826686,-0.00952,-4.820355,-0.016211
-4.82651,-0.035701,-4.819915,-0.017433
-4.826334,-0.062495,-4.819476,-0.008183
-4.826159,-0.088676,-4.819036,0.000634
-4.825983,-0.114864,-4.818596,0.00231
-4.825807,-0.139401,-4.818157,0.003138
-4.825631,-0.159969,-4.817717,0.005055
-4.825455,-0.15939,-4.817277,0.009813
-4.825279,-0.156714,-4.816838,0.013599
-4.825104,-0.154001,-4.816398,0.011397
-4.824928,-0.151282,-4.815958,0.006112
-4.824752,-0.148623,-4.815518,0.00226
-4.824576,-0.145701,-4.815079,0.014404
-4.8244,-0.142213,-4.814639,0.024892
-4.824224,-0.137761,-4.814199,0.028345
-4.824049,-0.133624,-4.81376,0.020842
-4.823873,-0.129411,-4.81332,0.015894
-4.823697,-0.125116,-4.812881,0.018771
-4.823521,-0.120727,-4.812441,0.023938
-4.823345,-0.115112,-4.812001,0.027954
-4.823169,-0.103025,-4.811562,0.027676
-4.822993,-0.087514,-4.811122,0.026389
-4.822817,-0.071732,-4.810682,0.023135
-4.822641,-0.056998,-4.810243,0.016036
-4.822466,-0.041722,-4.809803,0.012395
-4.82229,-0.027128,-4.809363,0.016348
-4.822114,-0.014417,-4.808924,0.027293
-4.821938,-0.015689,-4.808484,0.037931
-4.821762,-0.01695,-4.808044,0.046048
-4.821587,-0.018205,-4.807605,0.053974
-4.821411,-0.019465,-4.807165,0.062982
-4.821235,-0.020731,-4.806726,0.074442
-4.821059,-0.020759,-4.806286,0.081063
-4.820883,-0.019008,-4.805846,0.080468
-4.820707,-0.014934,-4.805406,0.068963
-4.820531,-0.010738,-4.804966,0.057842
-4.820355,-0.0066,-4.804527,0.0475
-4.820179,-0.002514,-4.804087,0.039069
-4.820004,0.00135,-4.803648,0.034263
-4.819828,0.00334,-4.803208,0.038436
-4.819652,0.002521,-4.802768,0.042931
-4.819476,0.000943,-4.802329,0.047769
-4.8193,-0.000642,-4.801889,0.054142
-4.819125,-0.002236,-4.801449,0.061773
-4.818949,-0.003808,-4.80101,0.072456
-4.818773,-0.009956,-4.80057,0.074032
-4.818597,-0.022111,-4.80013,0.067358
-4.818421,-0.041254,-4.799691,0.057032
-4.818245,-0.060137,-4.799251,0.053068
-4.818069,-0.079077,-4.798811,0.057678
-4.817894,-0.098121,-4.798372,0.060316
-4.817718,-0.117282,-4.797932,0.059883
-4.817542,-0.118611,-4.797493,0.056183
-4.817366,-0.106007,-4.797053,0.052521
-4.81719,-0.085501,-4.796613,0.049073
-4.817014,-0.064869,-4.796174,0.047772
-4.816838,-0.044497,-4.795734,0.051233
-4.816662,-0.02399,-4.795294,0.05916
-4.816487,-0.006732,-4.794854,0.060391
-4.816311,0.004561,-4.794415,0.05556
-4.816135,0.005994,-4.793975,0.045882
-4.815959,0.007462,-4.793535,0.044425
-4.815783,0.008922,-4.793096,0.046309
-4.815608,0.010361,-4.792656,0.050977
-4.815432,0.011843,-4.792216,0.057827
-4.815256,0.012024,-4.791777,0.065824
-4.81508,0.011387,-4.791337,0.07176
-4.814904,0.010191,-4.790897,0.076218
-4.814728,0.008982,-4.790458,0.079663
-4.814552,0.007801,-4.790018,0.081479
-4.814376,0.006614,-4.789578,0.082794
-4.8142,0.001948,-4.789139,0.085442
-4.814024,-0.014489,-4.788699,0.090589
-4.813849,-0.035059,-4.78826,0.096695
-4.813673,-0.056121,-4.78782,0.09263
-4.813497,-0.077296,-4.78738,0.083511
-4.813321,-0.098435,-4.786941,0.073641
-4.813145,-0.119182,-4.786501,0.076113
-4.81297,-0.126502,-4.786061,0.080541
-4.812794,-0.124714,-4.785622,0.084581
-4.812618,-0.118746,-4.785182,0.087281
-4.812442,-0.112857,-4.784742,0.08969
-4.812266,-0.107116,-4.784302,0.094097
-4.81209,-0.101463,-4.783863,0.099077
-4.811914,-0.095869,-4.783423,0.101296
-4.811738,-0.095821,-4.782983,0.08494
-4.811563,-0.096964,-4.782544,0.067415
-4.811387,-0.098825,-4.782104,0.053142
-4.811211,-0.100666,-4.781664,0.042628
-4.811035,-0.102503,-4.781225,0.03249
-4.810859,-0.104348,-4.780785,0.033157
-4.810683,-0.106209,-4.780345,0.036188
-4.810507,-0.086597,-4.779906,0.039555
-4.810332,-0.064405,-4.779466,0.043253
-4.810156,-0.04067,-4.779027,0.046938
-4.80998,-0.016612,-4.778587,0.049447
-4.809804,0.007277,-4.778147,0.050935
-4.809628,0.031226,-4.777708,0.052425
-4.809453,0.054639,-4.777268,0.053899
-4.809277,0.065966,-4.776828,0.055235
-4.809101,0.07526,-4.776389,0.054696
-4.808925,0.083632,-4.775949,0.048344
-4.808749,0.091973,-4.775509,0.042717
-4.808573,0.100496,-4.775069,0.047681
-4.808397,0.108962,-4.77463,0.060645
-4.808221,0.114205,-4.77419,0.074412
-4.808045,0.104965,-4.77375,0.09243
-4.807869,0.095025,-4.773311,0.106983
-4.807694,0.084921,-4.772871,0.107465
-4.807518,0.07481,-4.772431,0.078488
-4.807342,0.064686,-4.771992,0.055738
-4.807166,0.054905,-4.771552,0.055666
-4.80699,0.052426,-4.771112,0.067758
-4.806815,0.062081,-4.770673,0.077786
-4.806639,0.07184,-4.770233,0.073413
-4.806463,0.081614,-4.769794,0.069001
-4.806287,0.091371,-4.769354,0.065045
-4.806111,0.101074,-4.768914,0.061942
-4.805935,0.110793,-4.768475,0.059339
-4.805759,0.120617,-4.768035,0.058236
-4.805583,0.130481,-4.767595,0.05794
-4.805408,0.140235,-4.767156,0.057955
-4.805232,0.150161,-4.766716,0.059065
-4.805056,0.15996,-4.766276,0.060611
-4.80488,0.168747,-4.765837,0.062752
-4.804704,0.174035,-4.765397,0.065675
-4.804528,0.156682,-4.764957,0.070408
-4.804352,0.136045,-4.764517,0.078539
-4.804177,0.115317,-4.764078,0.08535
-4.804001,0.094819,-4.763638,0.08714
-4.803825,0.073973,-4.763198,0.076587
-4.803649,0.055607,-4.762759,0.070075
-4.803473,0.04235,-4.762319,0.069293
-4.803298,0.043036,-4.761879,0.073669
-4.803122,0.043723,-4.76144,0.073364
-4.802946,0.0444,-4.761,0.066076
-4.80277,0.045071,-4.760561,0.057998
-4.802594,0.045753,-4.760121,0.051712
-4.802418,0.050665,-4.759681,0.048781
-4.802242,0.070956,-4.759242,0.05099
-4.802066,0.095427,-4.758802,0.058401
-4.80189,0.109398,-4.758362,0.068845
-4.801714,0.123572,-4.757923,0.073756
-4.801539,0.128187,-4.757483,0.072157
-4.801363,0.119252,-4.757043,0.072254
-4.801187,0.095271,-4.756604,0.077285
-4.801011,0.071269,-4.756164,0.090678
-4.800835,0.047234,-4.755724,0.092014
-4.80066,0.022812,-4.755285,0.082181
-4.800484,-0.001348,-4.754845,0.063308
-4.800308,-0.016133,-4.754405,0.061343
-4.800132,-0.018072,-4.753965,0.072953
-4.799956,-0.015951,-4.753526,0.086386
-4.79978,-0.013816,-4.753086,0.094762
-4.799604,-0.011586,-4.752646,0.095167
-4.799428,-0.009448,-4.752207,0.09155
-4.799253,-0.001997,-4.751767,0.084532
-4.799077,0.013376,-4.751328,0.076083
-4.798901,0.039723,-4.750888,0.07843
-4.798725,0.065396,-4.750448,0.088485
-4.798549,0.091037,-4.750009,0.093876
-4.798373,0.116768,-4.749569,0.089883
-4.798198,0.14227,-4.749129,0.076717
-4.798022,0.154984,-4.74869,0.073123
-4.797846,0.157593,-4.74825,0.075573
-4.79767,0.152604,-4.74781,0.081572
-4.797494,0.147653,-4.747371,0.084944
-4.797318,0.142742,-4.746931,0.08673
-4.797143,0.137859,-4.746491,0.088223
-4.796967,0.133406,-4.746052,0.089714
-4.796791,0.131023,-4.745612,0.091236
-4.796615,0.129885,-4.745173,0.093683
-4.796439,0.128987,-4.744733,0.096464
-4.796263,0.128089,-4.744293,0.099219
-4.796087,0.127212,-4.743853,0.101349
-4.795911,0.126341,-4.743413,0.103186
-4.795735,0.115591,-4.742974,0.102287
-4.79556,0.096169,-4.742534,0.099088
-4.795384,0.073943,-4.742095,0.09452
-4.795208,0.050436,-4.741655,0.093284
-4.795032,0.027176,-4.741215,0.09313
-4.794856,0.004396,-4.740776,0.093225
-4.794681,-0.017893,-4.740336,0.092693
-4.794505,-0.00821,-4.739896,0.091839
-4.794329,0.008818,-4.739457,0.091239
-4.794153,0.028673,-4.739017,0.090818
-4.793977,0.048446,-4.738577,0.090588
-4.793801,0.06764,-4.738138,0.093447
-4.793625,0.087362,-4.737698,0.097363
-4.793449,0.10094,-4.737258,0.109278
-4.793273,0.101359,-4.736819,0.133576
-4.793097,0.098831,-4.736379,0.165138
-4.792922,0.096172,-4.73594,0.164626
-4.792746,0.093501,-4.7355,0.146225
-4.79257,0.090763,-4.73506,0.119861
-4.792394,0.086602,-4.73462,0.107171
-4.792218,0.074494,-4.73418,0.099246
-4.792043,0.058938,-4.733741,0.096127
-4.791867,0.043746,-4.733301,0.097211
-4.791691,0.028243,-4.732862,0.100207
-4.791515,0.012788,-4.732422,0.099273
-4.791339,-0.002091,-4.731982,0.096815
-4.791163,-0.015423,-4.731543,0.095129
-4.790987,-0.016109,-4.731103,0.099812
-4.790812,-0.01678,-4.730663,0.105804
-4.790636,-0.017452,-4.730224,0.113207
-4.79046,-0.018132,-4.729784,0.121672
-4.790284,-0.01881,-4.729344,0.130334
-4.790108,-0.014773,-4.728905,0.123328
-4.789932,-0.002875,-4.728465,0.113296
-4.789756,0.016935,-4.728025,0.108536
-4.78958,0.036237,-4.727586,0.121493
-4.789405,0.056273,-4.727146,0.135933
-4.789229,0.076522,-4.726707,0.126473
-4.789053,0.094744,-4.726267,0.101963
-4.788877,0.101198,-4.725827,0.077212
-4.788701,0.084531,-4.725388,0.094242
-4.788526,0.063335,-4.724948,0.112163
-4.78835,0.042103,-4.724508,0.121094
-4.788174,0.020428,-4.724068,0.111638
-4.787998,-0.001689,-4.723629,0.103603
-4.787822,-0.017332,-4.723189,0.10575
-4.787646,-0.023772,-4.722749,0.112499
-4.78747,-0.013276,-4.72231,0.119044
-4.787294,-0.002801,-4.72187,0.123664
-4.787118,0.007346,-4.72143,0.126994
-4.786942,0.017345,-4.720991,0.125459
-4.786767,0.027769,-4.720551,0.117367
-4.786591,0.031943,-4.720111,0.109993
-4.786415,0.029834,-4.719672,0.105154
-4.786239,0.023061,-4.719232,0.101561
-4.786063,0.015992,-4.718792,0.099103
-4.785888,0.009287,-4.718353,0.101059
-4.785712,0.002514,-4.717913,0.104428
-4.785536,-0.001915,-4.717474,0.110633
-4.78536,0.000727,-4.717034,0.119438
-4.785184,0.013157,-4.716594,0.12774
-4.785008,0.026679,-4.716155,0.133533
-4.784832,0.040391,-4.715715,0.136536
-4.784657,0.053817,-4.715275,0.135512
-4.784481,0.067225,-4.714836,0.126847
-4.784305,0.070723,-4.714396,0.119004
-4.784129,0.06445,-4.713956,0.112639
-4.783953,0.048909,-4.713516,0.109252
-4.783777,0.032092,-4.713077,0.112171
-4.783601,0.016147,-4.712637,0.125152
-4.783425,0.000507,-4.712197,0.135449
-4.78325,-0.015417,-4.711758,0.140903
-4.783074,-0.015573,-4.711318,0.140421
-4.782898,-0.008408,-4.710878,0.137193
-4.782722,0.002123,-4.710439,0.13216
-4.782546,0.01283,-4.709999,0.127412
-4.782371,0.023247,-4.709559,0.12556
-4.782195,0.033659,-4.70912,0.127383
-4.782019,0.036862,-4.70868,0.127204
-4.781843,0.027402,-4.708241,0.125103
-4.781667,0.008472,-4.707801,0.121469
-4.781491,-0.010826,-4.707361,0.122205
-4.781315,-0.030289,-4.706922,0.125285
-4.781139,-0.049705,-4.706482,0.129019
-4.780963,-0.06862,-4.706042,0.132071
-4.780787,-0.069922,-4.705603,0.134178
-4.780612,-0.06005,-4.705163,0.135276
-4.780436,-0.043745,-4.704723,0.135685
-4.78026,-0.027439,-4.704284,0.135607
-4.780084,-0.010781,-4.703844,0.13526
-4.779908,0.005995,-4.703404,0.134862
-4.779733,0.021571,-4.702964,0.134467
-4.779557,0.029967,-4.702525,0.136906
-4.779381,0.035372,-4.702085,0.140235
-4.779205,0.040042,-4.701645,0.142092
-4.779029,0.044731,-4.701206,0.138807
-4.778853,0.049538,-4.700766,0.132906
-4.778677,0.054239,-4.700326,0.129144
-4.778502,0.048759,-4.699887,0.127034
-4.778326,0.031502,-4.699447,0.125764
-4.77815,0.008952,-4.699008,0.126489
-4.777974,-0.013082,-4.698568,0.127697
-4.777798,-0.035353,-4.698128,0.130798
-4.777622,-0.057811,-4.697689,0.136939
-4.777446,-0.079793,-4.697249,0.144395
-4.77727,-0.073051,-4.696809,0.149545
