locusId	sysName	desc	setAS2 c1	setAS3 c2
gene_0000	gene_0000	gene_0000	-0.9632149273814988	-1.1937287732213355
gene_0001	gene_0001	gene_0001	-0.798675788659882	-1.1710741533886166
gene_0002	gene_0002	gene_0002	-0.588208637791369	-0.5784520096262479
gene_0003	gene_0003	gene_0003	-1.202621427186455	-1.4087518660159553
gene_0004	gene_0004	gene_0004	-2.0167642561576953	-2.2246934498403266
gene_0005	gene_0005	gene_0005	-0.7061087080880049	-0.8647128950253766
gene_0006	gene_0006	gene_0006	-1.6712640768951934	-1.4768226720105917
gene_0007	gene_0007	gene_0007	-0.5681927519568325	-0.6415681968040832
gene_0008	gene_0008	gene_0008	-1.4663648648248488	-1.920319501444858
gene_0009	gene_0009	gene_0009	-1.487492132441664	-1.78717099948454
gene_0010	gene_0010	gene_0010	-0.18917039959115178	-0.26576025028980854
gene_0011	gene_0011	gene_0011	-0.4253617839855921	-0.5321230202680798
gene_0012	gene_0012	gene_0012	-0.4036564957649442	-0.340094240656455
gene_0013	gene_0013	gene_0013	-0.9609070227246072	-1.0568754664618487
gene_0014	gene_0014	gene_0014	-1.2115831902507017	-1.3801913031881519
gene_0015	gene_0015	gene_0015	-0.8479765155419697	-1.2434724986048213
gene_0016	gene_0016	gene_0016	-0.4613011211224678	-0.5010328477379025
gene_0017	gene_0017	gene_0017	-0.44731237637516735	-0.4529372883228197
gene_0018	gene_0018	gene_0018	-0.4037042960198025	-0.5270187666644851
gene_0019	gene_0019	gene_0019	-1.6774972369997376	-1.9748379185758922
gene_0020	gene_0020	gene_0020	-0.2810586065009408	-0.29253684262469315
gene_0021	gene_0021	gene_0021	-0.06905864764974443	-0.054197608416349144
gene_0022	gene_0022	gene_0022	-0.4052190393213863	-0.609650137915057
gene_0023	gene_0023	gene_0023	-0.7305843645793622	-0.5157502733550269
gene_0024	gene_0024	gene_0024	-1.2887142360176413	-1.4730017013270664
gene_0025	gene_0025	gene_0025	-0.7397392057083513	-0.9411422324990417
gene_0026	gene_0026	gene_0026	-2.016342034788923	-2.365028817225793
gene_0027	gene_0027	gene_0027	0.7180471044097056	1.256745866065693
gene_0028	gene_0028	gene_0028	-0.8852586935167586	-0.7031019904398579
gene_0029	gene_0029	gene_0029	-1.0367859675686015	-0.9405276655035633
gene_0030	gene_0030	gene_0030	-0.5407128457579004	-0.8205192961595184
gene_0031	gene_0031	gene_0031	-0.20076523218800094	-0.15580366727614048
gene_0032	gene_0032	gene_0032	-0.8461877923656194	-0.8987250101584405
gene_0033	gene_0033	gene_0033	-0.7777592156446036	-0.9913187831316166
gene_0034	gene_0034	gene_0034	-2.177498858635547	-2.716094531656521
gene_0035	gene_0035	gene_0035	-0.29983232472234617	-0.361961915509613
gene_0036	gene_0036	gene_0036	-1.9738984695888693	-2.3602293741271443
gene_0037	gene_0037	gene_0037	0.3033466803349878	0.7334528540087719
gene_0038	gene_0038	gene_0038	0.3077997852224808	0.5105543448022185
gene_0039	gene_0039	gene_0039	-1.3261456709534611	-1.8023213310866077
gene_0040	gene_0040	gene_0040	-0.7162231990997706	-0.5993156471457439
gene_0041	gene_0041	gene_0041	-1.3350652929767064	-1.5925014001939677
gene_0042	gene_0042	gene_0042	0.014175231359897634	0.05873843770059113
gene_0043	gene_0043	gene_0043	-0.7430204547661954	-0.9369944452682712
gene_0044	gene_0044	gene_0044	-0.7347801543383568	-0.8676503277713987
gene_0045	gene_0045	gene_0045	-0.3167975788135005	-0.3605024601204601
gene_0046	gene_0046	gene_0046	-0.428555328295165	-0.6565504355921747
gene_0047	gene_0047	gene_0047	-0.46079054325479774	-0.40284521662775763
gene_0048	gene_0048	gene_0048	-0.2798476667409334	-0.3462472386198867
gene_0049	gene_0049	gene_0049	-0.881664588543502	-1.0253815054630706
gene_0050	gene_0050	gene_0050	-1.3633627405160536	-1.531822394962408
gene_0051	gene_0051	gene_0051	-0.6004758551525035	-0.7667655660204392
gene_0052	gene_0052	gene_0052	-0.04738601656579322	-0.05863634401739591
gene_0053	gene_0053	gene_0053	-0.5055982839879857	-0.2478722455705023
gene_0054	gene_0054	gene_0054	0.05451801426521276	0.348034931653781
gene_0055	gene_0055	gene_0055	-2.3589892746780143	-2.661946716869781
gene_0056	gene_0056	gene_0056	-1.488230745952886	-1.6191659854939153
gene_0057	gene_0057	gene_0057	-0.45347477843580863	-0.39540109822520203
gene_0058	gene_0058	gene_0058	-2.240543456467761	-2.392972218207964
gene_0059	gene_0059	gene_0059	0.2901404348106809	0.7001880098726009
gene_0060	gene_0060	gene_0060	-0.8533005002375079	-1.055271942625866
gene_0061	gene_0061	gene_0061	0.18812978403874867	0.33066088700625473
gene_0062	gene_0062	gene_0062	-1.3661500860923226	-1.486541535647728
gene_0063	gene_0063	gene_0063	-0.057585554700815736	-0.003980291224322904
gene_0064	gene_0064	gene_0064	-1.8466436698796704	-2.0375290553658822
gene_0065	gene_0065	gene_0065	-0.7685704355105591	-0.6828203568131359
gene_0066	gene_0066	gene_0066	-0.1529110130589012	0.07241713075432582
gene_0067	gene_0067	gene_0067	-0.08507908864607754	-0.04817687921726765
gene_0068	gene_0068	gene_0068	-1.098195907938326	-1.1597115571338796
gene_0069	gene_0069	gene_0069	0.6133812505715195	0.9558185063242894
gene_0070	gene_0070	gene_0070	-1.7505177015115005	-1.8289427836342735
gene_0071	gene_0071	gene_0071	-0.6820173198234551	-0.9540327719999958
gene_0072	gene_0072	gene_0072	0.05525020826492217	0.34049962078373086
gene_0073	gene_0073	gene_0073	-1.9771067021794793	-2.560679678589047
gene_0074	gene_0074	gene_0074	-1.1307587947824427	-0.856652966291513
gene_0075	gene_0075	gene_0075	-0.340373039536514	-0.44205790949205487
gene_0076	gene_0076	gene_0076	-0.5542865589493389	-0.47737586540406884
gene_0077	gene_0077	gene_0077	0.2533929964512959	0.42505714770017955
gene_0078	gene_0078	gene_0078	-0.8162927658860504	-0.8573389593986659
gene_0079	gene_0079	gene_0079	-0.38529326099036987	-0.49900204223063793
gene_0080	gene_0080	gene_0080	0.16011771770416652	0.2912046943073179
gene_0081	gene_0081	gene_0081	-1.1712391981190509	-1.3881927072474727
gene_0082	gene_0082	gene_0082	-0.5984085304189859	-0.5199796921739768
gene_0083	gene_0083	gene_0083	-1.1456703535238142	-1.3715494200329212
gene_0084	gene_0084	gene_0084	-0.4090381082823907	-0.29392716008610054
gene_0085	gene_0085	gene_0085	-0.46000360504718835	-0.4221479724427977
gene_0086	gene_0086	gene_0086	0.03652457059883551	0.30016129013965803
gene_0087	gene_0087	gene_0087	-0.09071863972528456	-0.07454883964250371
gene_0088	gene_0088	gene_0088	-1.3112614928721555	-1.3058512969094966
gene_0089	gene_0089	gene_0089	-0.670462574390097	-0.7403055150559661
gene_0090	gene_0090	gene_0090	-2.13784982030011	-2.639355978100857
gene_0091	gene_0091	gene_0091	-0.6608816746011846	-0.20181940645429464
gene_0092	gene_0092	gene_0092	-1.0767809975662703	-1.411464433571169
gene_0093	gene_0093	gene_0093	-0.9334999944114538	-0.8468713996206673
gene_0094	gene_0094	gene_0094	-2.9070297217454804	-3.099986517653383
gene_0095	gene_0095	gene_0095	-0.8403787156876495	-1.2883815844855326
gene_0096	gene_0096	gene_0096	-1.9156162574138202	-2.141539303762156
gene_0097	gene_0097	gene_0097	-0.600258045717746	-0.6282195439856098
gene_0098	gene_0098	gene_0098	-0.1263731160411229	0.2247989943491983
gene_0099	gene_0099	gene_0099	-1.6035742114668325	-1.6474659217805
gene_0100	gene_0100	gene_0100	0.05163378849981508	0.0960825247983382
gene_0101	gene_0101	gene_0101	-0.34257660626019115	-0.12103106531540292
gene_0102	gene_0102	gene_0102	0.007256930822193984	0.14022980116777153
gene_0103	gene_0103	gene_0103	-1.8079102919426713	-1.9520759769211127
gene_0104	gene_0104	gene_0104	0.11312900934047702	0.23517028825848668
gene_0105	gene_0105	gene_0105	0.7286733802143128	1.1979716886091656
gene_0106	gene_0106	gene_0106	-1.090224908836447	-1.2938792227006193
gene_0107	gene_0107	gene_0107	-1.1285245669826833	-1.3124427705914525
gene_0108	gene_0108	gene_0108	0.4664459379103629	0.7502828475609449
gene_0109	gene_0109	gene_0109	0.5333427883530392	0.8878620741569196
gene_0110	gene_0110	gene_0110	-0.06810456703337707	-0.02155344749460769
gene_0111	gene_0111	gene_0111	-1.795887192203337	-2.135012617844598
gene_0112	gene_0112	gene_0112	-1.4835426657626452	-1.5348271926732509
gene_0113	gene_0113	gene_0113	-0.017609430235364393	0.2505916738858143
gene_0114	gene_0114	gene_0114	-0.40831777979241485	-0.42037455902642634
gene_0115	gene_0115	gene_0115	-1.1934997275289094	-1.479072355312941
gene_0116	gene_0116	gene_0116	-1.1959481969594206	-1.400675248873986
gene_0117	gene_0117	gene_0117	-2.2611213747893157	-2.317037956185865
gene_0118	gene_0118	gene_0118	-1.5161506392124642	-1.5757377158070565
gene_0119	gene_0119	gene_0119	-0.5096337013406224	-0.34044941251138083
gene_0120	gene_0120	gene_0120	-0.8382516524041125	-1.0271287352598333
gene_0121	gene_0121	gene_0121	-1.2262556510157108	-1.7889563601965026
gene_0122	gene_0122	gene_0122	-0.009781413189201782	0.33699142709760666
gene_0123	gene_0123	gene_0123	-0.31833011610926165	-0.3129396934637577
gene_0124	gene_0124	gene_0124	-1.656437187455193	-2.0595205841094417
gene_0125	gene_0125	gene_0125	0.48199518090213334	0.8891905251648848
gene_0126	gene_0126	gene_0126	-0.6948558956433778	-0.7964348834635102
gene_0127	gene_0127	gene_0127	-0.7772678398249249	-0.6136847980827556
gene_0128	gene_0128	gene_0128	-1.1784317790092722	-1.446926613404328
gene_0129	gene_0129	gene_0129	-0.3158504441835992	-0.3178613159746335
gene_0130	gene_0130	gene_0130	-2.797352144819266	-2.6637571484685028
gene_0131	gene_0131	gene_0131	0.47116398688052297	0.8982674466232341
gene_0132	gene_0132	gene_0132	-0.028936343074177168	0.06320218187959803
gene_0133	gene_0133	gene_0133	-0.4961657655320083	-0.6128124720713157
gene_0134	gene_0134	gene_0134	-0.6579178414404842	-0.9126791761011769
gene_0135	gene_0135	gene_0135	-0.5983624637050035	-0.7722054260147418
gene_0136	gene_0136	gene_0136	-1.5010229260727368	-1.5324199024896419
gene_0137	gene_0137	gene_0137	-1.2535016024520533	-1.849752152269311
gene_0138	gene_0138	gene_0138	-0.532671984699789	-0.7664661131291421
gene_0139	gene_0139	gene_0139	-0.27908931472514986	-0.38810682589901113
gene_0140	gene_0140	gene_0140	0.3509936710476727	0.6871569953141823
gene_0141	gene_0141	gene_0141	-0.5725189460797921	-0.7007094879008542
gene_0142	gene_0142	gene_0142	0.22365665627892883	0.7722756134657469
gene_0143	gene_0143	gene_0143	-0.8284119288292877	-0.8509857912540292
gene_0144	gene_0144	gene_0144	-0.7375183404112482	-0.7255324262632773
gene_0145	gene_0145	gene_0145	-0.8648300544455867	-0.9647984180851223
gene_0146	gene_0146	gene_0146	-0.21223427546729362	-0.03755539658214593
gene_0147	gene_0147	gene_0147	-0.07080276953720055	0.014975743701796856
gene_0148	gene_0148	gene_0148	-1.793889997328723	-1.8302835504415191
gene_0149	gene_0149	gene_0149	0.2725153419994919	0.7273654846748714
gene_0150	gene_0150	gene_0150	-1.2951670316964017	-1.7988620872300969
gene_0151	gene_0151	gene_0151	-0.22919865656957727	-0.24229297708355488
gene_0152	gene_0152	gene_0152	-0.015377137564042525	0.32668631221264843
gene_0153	gene_0153	gene_0153	-2.1877271809052914	-2.597021164141138
gene_0154	gene_0154	gene_0154	-1.260114337438092	-1.2150204902246116
