value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,BW_NUO_ AGFP,BW_NUO_ AGFP,BW_NUO_ AGFP,BW_NUO_ AGFP,BW_NUO_ AGFP,BW_NUO_ AGFP,BW_NUO_ AGFP+aTC,BW_NUO_ AGFP+aTC,BW_NUO_ AGFP+aTC,BW_NUO_ AGFP+aTC,BW_NUO_ AGFP+aTC,BW_NUO_ AGFP+aTC
B,CAfree_NUO_AGFP,CAfree_NUO_AGFP,CAfree_NUO_AGFP,CAfree_NUO_AGFP,CAfree_NUO_AGFP,CAfree_NUO_AGFP,CAfree_NUO_AGFP+aTc,CAfree_NUO_AGFP+aTc,CAfree_NUO_AGFP+aTc,CAfree_NUO_AGFP+aTc,CAfree_NUO_AGFP+aTc,CAfree_NUO_AGFP+aTc
C,CAfree_NUO_Can,CAfree_NUO_Can,CAfree_NUO_Can,CAfree_NUO_Can,CAfree_NUO_Can,CAfree_NUO_Can,CAfree_NUO_Can+aTc,CAfree_NUO_Can+aTc,CAfree_NUO_Can+aTc,CAfree_NUO_Can+aTc,CAfree_NUO_Can+aTc,CAfree_NUO_Can+aTc
D,CAfree_NUO_Sbta,CAfree_NUO_Sbta,CAfree_NUO_Sbta,CAfree_NUO_Sbta,CAfree_NUO_Sbta,CAfree_NUO_Sbta,CAfree_NUO_Sbta+aTc,CAfree_NUO_Sbta+aTc,CAfree_NUO_Sbta+aTc,CAfree_NUO_Sbta+aTc,CAfree_NUO_Sbta+aTc,CAfree_NUO_Sbta+aTc
E,CAfree_NUO_CCM11,CAfree_NUO_CCM11,CAfree_NUO_CCM11,CAfree_NUO_CCM11,CAfree_NUO_CCM11,CAfree_NUO_CCM11,CAfree_NUO_CCM11+aTc,CAfree_NUO_CCM11+aTc,CAfree_NUO_CCM11+aTc,CAfree_NUO_CCM11+aTc,CAfree_NUO_CCM11+aTc,CAfree_NUO_CCM11+aTc
F,CAfree_NUO_Dab2,CAfree_NUO_Dab2,CAfree_NUO_Dab2,CAfree_NUO_Dab2,CAfree_NUO_Dab2,CAfree_NUO_Dab2,CAfree_NUO_Dab2+aTc,CAfree_NUO_Dab2+aTc,CAfree_NUO_Dab2+aTc,CAfree_NUO_Dab2+aTc,CAfree_NUO_Dab2+aTc,CAfree_NUO_Dab2+aTc
G,,,,,,,,,,,,
H,,,,,,,,,,,,
