value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
B,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
C,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
D,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
E,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
F,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
G,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
H,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032
