value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
B,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
C,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
D,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
E,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
F,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
G,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
H,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2+atc,CAF+pFE-DUF+atc,CAF+pFE-NDH+atc,CAF+pFE-HCA2+atc,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2,CAF+pFE-DUF,CAF+pFE-NDH,CAF+pFE-HCA2
