value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019_wt,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032,CAF+pJJD019+dCys1,CAF+pJJD019+dCys2,CAF+pJJD019+dCys_1&2,CAF+pJJD019+dAsp1,CAF+pJJD019+dHis1,CAF+pJJD019+dHis2
B,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019_wt,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032,CAF+pJJD019+dCys1,CAF+pJJD019+dCys2,CAF+pJJD019+dCys_1&2,CAF+pJJD019+dAsp1,CAF+pJJD019+dHis1,CAF+pJJD019+dHis2
C,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019_wt,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032,CAF+pJJD019+dCys1,CAF+pJJD019+dCys2,CAF+pJJD019+dCys_1&2,CAF+pJJD019+dAsp1,CAF+pJJD019+dHis1,CAF+pJJD019+dHis2
D,bw+pFEsfGFP,CAF+pFEsfgfp,CAF+pJJD019_wt,CAF+pJJD020,CAF+pJJD021,CAF+pJJD032,CAF+pJJD019+dCys1,CAF+pJJD019+dCys2,CAF+pJJD019+dCys_1&2,CAF+pJJD019+dAsp1,CAF+pJJD019+dHis1,CAF+pJJD019+dHis2
E,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019_wt+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,CAF+pJJD019+dCys1+atc,CAF+pJJD019+dCys2+atc,CAF+pJJD019+dCys_1&2+atc,CAF+pJJD019+dAsp1+atc,CAF+pJJD019+dHis1+atc,CAF+pJJD019+dHis2+atc
F,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019_wt+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,CAF+pJJD019+dCys1+atc,CAF+pJJD019+dCys2+atc,CAF+pJJD019+dCys_1&2+atc,CAF+pJJD019+dAsp1+atc,CAF+pJJD019+dHis1+atc,CAF+pJJD019+dHis2+atc
G,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019_wt+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,CAF+pJJD019+dCys1+atc,CAF+pJJD019+dCys2+atc,CAF+pJJD019+dCys_1&2+atc,CAF+pJJD019+dAsp1+atc,CAF+pJJD019+dHis1+atc,CAF+pJJD019+dHis2+atc
H,bw+pFEsfGFP+atc,CAF+pFEsfgfp+atc,CAF+pJJD019_wt+atc,CAF+pJJD020+atc,CAF+pJJD021+atc,CAF+pJJD032+atc,CAF+pJJD019+dCys1+atc,CAF+pJJD019+dCys2+atc,CAF+pJJD019+dCys_1&2+atc,CAF+pJJD019+dAsp1+atc,CAF+pJJD019+dHis1+atc,CAF+pJJD019+dHis2+atc
