value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DC351,CAF+pFE-DD353,CAF+pFE-NR122,CAF+pFE-NR182,CAF+pFE-ND185,CAF+pFE-NH242,CAF+pFE-NK310,CAF+pFE-NH339,CAF+pFE-NK347
B,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DC351,CAF+pFE-DD353,CAF+pFE-NR122,CAF+pFE-NR182,CAF+pFE-ND185,CAF+pFE-NH242,CAF+pFE-NK310,CAF+pFE-NH339,CAF+pFE-NK347
C,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DC351,CAF+pFE-DD353,CAF+pFE-NR122,CAF+pFE-NR182,CAF+pFE-ND185,CAF+pFE-NH242,CAF+pFE-NK310,CAF+pFE-NH339,CAF+pFE-NK347
D,bw+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-DAB2_wt,CAF+pFE-DC351,CAF+pFE-DD353,CAF+pFE-NR122,CAF+pFE-NR182,CAF+pFE-ND185,CAF+pFE-NH242,CAF+pFE-NK310,CAF+pFE-NH339,CAF+pFE-NK347
E,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DC351+atc,CAF+pFE-DD353+atc,CAF+pFE-NR122+atc,CAF+pFE-NR182+atc,CAF+pFE-ND185+atc,CAF+pFE-NH242+atc,CAF+pFE-NK310+atc,CAF+pFE-NH339+atc,CAF+pFE-NK347+atc
F,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DC351+atc,CAF+pFE-DD353+atc,CAF+pFE-NR122+atc,CAF+pFE-NR182+atc,CAF+pFE-ND185+atc,CAF+pFE-NH242+atc,CAF+pFE-NK310+atc,CAF+pFE-NH339+atc,CAF+pFE-NK347+atc
G,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DC351+atc,CAF+pFE-DD353+atc,CAF+pFE-NR122+atc,CAF+pFE-NR182+atc,CAF+pFE-ND185+atc,CAF+pFE-NH242+atc,CAF+pFE-NK310+atc,CAF+pFE-NH339+atc,CAF+pFE-NK347+atc
H,bw+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-DAB2_wt+atc,CAF+pFE-DC351+atc,CAF+pFE-DD353+atc,CAF+pFE-NR122+atc,CAF+pFE-NR182+atc,CAF+pFE-ND185+atc,CAF+pFE-NH242+atc,CAF+pFE-NK310+atc,CAF+pFE-NH339+atc,CAF+pFE-NK347+atc
