value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,BW+pFA-sfGFP,BW+pFA-sfGFP,BW+pFA-sfGFP,BW+pFA-sfGFP+atc,BW+pFA-sfGFP+atc,BW+pFA-sfGFP+atc,BW+pFA-sfGFP+atc+EZ25,BW+pFA-sfGFP+atc+EZ25,BW+pFA-sfGFP+atc+EZ25,BW+pFA-sfGFP+atc+EZ50,BW+pFA-sfGFP+atc+EZ50,BW+pFA-sfGFP+atc+EZ50
B,CAF+pFA-sfGFP,CAF+pFA-sfGFP,CAF+pFA-sfGFP,CAF+pFA-sfGFP+atc,CAF+pFA-sfGFP+atc,CAF+pFA-sfGFP+atc,CAF+pFA-sfGFP+atc+EZ25,CAF+pFA-sfGFP+atc+EZ25,CAF+pFA-sfGFP+atc+EZ25,CAF+pFA-sfGFP+atc+EZ50,CAF+pFA-sfGFP+atc+EZ50,CAF+pFA-sfGFP+atc+EZ50
C,CAF+pFA-CAN,CAF+pFA-CAN,CAF+pFA-CAN,CAF+pFA-CAN+atc,CAF+pFA-CAN+atc,CAF+pFA-CAN+atc,CAF+pFA-CAN+atc+EZ25,CAF+pFA-CAN+atc+EZ25,CAF+pFA-CAN+atc+EZ25,CAF+pFA-CAN+atc+EZ50,CAF+pFA-CAN+atc+EZ50,CAF+pFA-CAN+atc+EZ50
D,CAF+pFA-SbtA,CAF+pFA-SbtA,CAF+pFA-SbtA,CAF+pFA-SbtA+atc,CAF+pFA-SbtA+atc,CAF+pFA-SbtA+atc,CAF+pFA-SbtA+atc+EZ25,CAF+pFA-SbtA+atc+EZ25,CAF+pFA-SbtA+atc+EZ25,CAF+pFA-SbtA+atc+EZ50,CAF+pFA-SbtA+atc+EZ50,CAF+pFA-SbtA+atc+EZ50
E,CAF+pFA-DAB2,CAF+pFA-DAB2,CAF+pFA-DAB2,CAF+pFA-DAB2+atc,CAF+pFA-DAB2+atc,CAF+pFA-DAB2+atc,CAF+pFA-DAB2+atc+EZ25,CAF+pFA-DAB2+atc+EZ25,CAF+pFA-DAB2+atc+EZ25,CAF+pFA-DAB2+atc+EZ50,CAF+pFA-DAB2+atc+EZ50,CAF+pFA-DAB2+atc+EZ50
F,CAF+pHNCCM11,CAF+pHNCCM11,CAF+pHNCCM11,CAF+pHNCCM11+atc,CAF+pHNCCM11+atc,CAF+pHNCCM11+atc,CAF+pHNCCM11+atc+EZ25,CAF+pHNCCM11+atc+EZ25,CAF+pHNCCM11+atc+EZ25,CAF+pHNCCM11+atc+EZ50,CAF+pHNCCM11+atc+EZ50,CAF+pHNCCM11+atc+EZ50
G,CAF+pJW-DAB2Nhis,CAF+pJW-DAB2Nhis,CAF+pJW-DAB2Nhis,CAF+pJW-DAB2Nhis,CAF+pJW-DAB2Nhis+EZ25,CAF+pJW-DAB2Nhis+EZ25,CAF+pJW-DAB2Nhis+EZ25,CAF+pJW-DAB2Nhis+EZ25,CAF+pJW-DAB2Nhis+EZ50,CAF+pJW-DAB2Nhis+EZ50,CAF+pJW-DAB2Nhis+EZ50,CAF+pJW-DAB2Nhis+EZ50
H,CAF+pJW-DAB2Chis,CAF+pJW-DAB2Chis,CAF+pJW-DAB2Chis,CAF+pJW-DAB2Chis,CAF+pJW-DAB2Chis+EZ25,CAF+pJW-DAB2Chis+EZ25,CAF+pJW-DAB2Chis+EZ25,CAF+pJW-DAB2Chis+EZ25,CAF+pJW-DAB2Chis+EZ50,CAF+pJW-DAB2Chis+EZ50,CAF+pJW-DAB2Chis+EZ50,CAF+pJW-DAB2Chis+EZ50
