value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,BW+pFE-sfGFP,BW+pFE-sfGFP,BW+pFE-sfGFP,BW+pFE-sfGFP,BW+pFE-sfGFP,BW+pFE-sfGFP,BW+pFE-sfGFP+atc,BW+pFE-sfGFP+atc,BW+pFE-sfGFP+atc,BW+pFE-sfGFP+atc,BW+pFE-sfGFP+atc,BW+pFE-sfGFP+atc
B,CAF+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-sfGFP,CAF+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc,CAF+pFE-sfGFP+atc
C,CAF+pFE-CAN,CAF+pFE-CAN,CAF+pFE-CAN,CAF+pFE-CAN,CAF+pFE-CAN,CAF+pFE-CAN,CAF+pFE-CAN+atc,CAF+pFE-CAN+atc,CAF+pFE-CAN+atc,CAF+pFE-CAN+atc,CAF+pFE-CAN+atc,CAF+pFE-CAN+atc
D,CAF+pFE-DAB2,CAF+pFE-DAB2,CAF+pFE-DAB2,CAF+pFE-DAB2,CAF+pFE-DAB2,CAF+pFE-DAB2,CAF+pFE-DAB2+atc,CAF+pFE-DAB2+atc,CAF+pFE-DAB2+atc,CAF+pFE-DAB2+atc,CAF+pFE-DAB2+atc,CAF+pFE-DAB2+atc
E,CAF+pFE-DAB1,CAF+pFE-DAB1,CAF+pFE-DAB1,CAF+pFE-DAB1,CAF+pFE-DAB1,CAF+pFE-DAB1,CAF+pFE-DAB1+atc,CAF+pFE-DAB1+atc,CAF+pFE-DAB1+atc,CAF+pFE-DAB1+atc,CAF+pFE-DAB1+atc,CAF+pFE-DAB1+atc
F,CAF+pFE-DAB1-NDH,CAF+pFE-DAB1-NDH,CAF+pFE-DAB1-NDH,CAF+pFE-DAB1-NDH,CAF+pFE-DAB1-NDH,CAF+pFE-DAB1-NDH,CAF+pFE-DAB1-NDH+atc,CAF+pFE-DAB1-NDH+atc,CAF+pFE-DAB1-NDH+atc,CAF+pFE-DAB1-NDH+atc,CAF+pFE-DAB1-NDH+atc,CAF+pFE-DAB1-NDH+atc
G,CAF+pFE-DAB1-noP2,CAF+pFE-DAB1-noP2,CAF+pFE-DAB1-noP2,CAF+pFE-DAB1-noP2,CAF+pFE-DAB1-noP2,CAF+pFE-DAB1-noP2,CAF+pFE-DAB1-noP2+atc,CAF+pFE-DAB1-noP2+atc,CAF+pFE-DAB1-noP2+atc,CAF+pFE-DAB1-noP2+atc,CAF+pFE-DAB1-noP2+atc,CAF+pFE-DAB1-noP2+atc
H,,,,,,,,,,,,
