value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,BW+pFA-sfGFP,BW+pFA-sfGFP,BW+pFA-sfGFP,BW+pFA-sfGFP+aTc,BW+pFA-sfGFP+aTc,BW+pFA-sfGFP+aTc,BW+pFA-sfGFP+aTc+250uMEZ,BW+pFA-sfGFP+aTc+250uMEZ,BW+pFA-sfGFP+aTc+250uMEZ,BW+pFA-sfGFP+aTc+500uMEZ,BW+pFA-sfGFP+aTc+500uMEZ,BW+pFA-sfGFP+aTc+500uMEZ
B,CAF+pFA-sfGFP,CAF+pFA-sfGFP,CAF+pFA-sfGFP,CAF+pFA-sfGFP+aTc,CAF+pFA-sfGFP+aTc,CAF+pFA-sfGFP+aTc,CAF+pFA-sfGFP+aTc+250uMEZ,CAF+pFA-sfGFP+aTc+250uMEZ,CAF+pFA-sfGFP+aTc+250uMEZ,CAF+pFA-sfGFP+aTc+500uMEZ,CAF+pFA-sfGFP+aTc+500uMEZ,CAF+pFA-sfGFP+aTc+500uMEZ
C,CAF+pFA-CAN,CAF+pFA-CAN,CAF+pFA-CAN,CAF+pFA-CAN+aTc,CAF+pFA-CAN+aTc,CAF+pFA-CAN+aTc,CAF+pFA-CAN+aTc+250uMEZ,CAF+pFA-CAN+aTc+250uMEZ,CAF+pFA-CAN+aTc+250uMEZ,CAF+pFA-CAN+aTc+500uMEZ,CAF+pFA-CAN+aTc+500uMEZ,CAF+pFA-CAN+aTc+500uMEZ
D,CAF+pFA-HCA2,CAF+pFA-HCA2,CAF+pFA-HCA2,CAF+pFA-HCA2+aTc,CAF+pFA-HCA2+aTc,CAF+pFA-HCA2+aTc,CAF+pFA-HCA2+aTc+250uMEZ,CAF+pFA-HCA2+aTc+250uMEZ,CAF+pFA-HCA2+aTc+250uMEZ,CAF+pFA-HCA2+aTc+500uMEZ,CAF+pFA-HCA2+aTc+500uMEZ,CAF+pFA-HCA2+aTc+500uMEZ
E,CAF+pFA-sbtA,CAF+pFA-sbtA,CAF+pFA-sbtA,CAF+pFA-sbtA+aTc,CAF+pFA-sbtA+aTc,CAF+pFA-sbtA+aTc,CAF+pFA-sbtA+aTc+250uMEZ,CAF+pFA-sbtA+aTc+250uMEZ,CAF+pFA-sbtA+aTc+250uMEZ,CAF+pFA-sbtA+aTc+500uMEZ,CAF+pFA-sbtA+aTc+500uMEZ,CAF+pFA-sbtA+aTc+500uMEZ
F,CAF+pFA-DAB1,CAF+pFA-DAB1,CAF+pFA-DAB1,CAF+pFA-DAB1+aTc,CAF+pFA-DAB1+aTc,CAF+pFA-DAB1+aTc,CAF+pFA-DAB1+aTc+250uMEZ,CAF+pFA-DAB1+aTc+250uMEZ,CAF+pFA-DAB1+aTc+250uMEZ,CAF+pFA-DAB1+aTc+500uMEZ,CAF+pFA-DAB1+aTc+500uMEZ,CAF+pFA-DAB1+aTc+500uMEZ
G,CAF+pFA-DAB2,CAF+pFA-DAB2,CAF+pFA-DAB2,CAF+pFA-DAB2+aTc,CAF+pFA-DAB2+aTc,CAF+pFA-DAB2+aTc,CAF+pFA-DAB2+aTc+250uMEZ,CAF+pFA-DAB2+aTc+250uMEZ,CAF+pFA-DAB2+aTc+250uMEZ,CAF+pFA-DAB2+aTc+500uMEZ,CAF+pFA-DAB2+aTc+500uMEZ,CAF+pFA-DAB2+aTc+500uMEZ
H,CAF+pFA-CCM11,CAF+pFA-CCM11,CAF+pFA-CCM11,CAF+pFA-CCM11+aTc,CAF+pFA-CCM11+aTc,CAF+pFA-CCM11+aTc,CAF+pFA-CCM11+aTc+250uMEZ,CAF+pFA-CCM11+aTc+250uMEZ,CAF+pFA-CCM11+aTc+250uMEZ,CAF+pFA-CCM11+aTc+500uMEZ,CAF+pFA-CCM11+aTc+500uMEZ,CAF+pFA-CCM11+aTc+500uMEZ
