value_type,name,name,name,name,name,name,name,name,name,name,name,name
column,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
A,CAF+pJJD019wt,CAF+pFE-sfGFP,CAF+pJJD019_NK235,CAF+pJJD019_NH260,CAF+pJJD019_NE431,CAF+pJJD019_NH242,CAF+pJJD019_NH339,CAF+pJJD019_NR182,CAF+pJJD019_NK310,CAF+pJJD019_ND185,CAF+pJJD019_NR122,CAF+pJJD019_NK347
B,CAF+pJJD019wt,CAF+pFE-sfGFP,CAF+pJJD019_NK235,CAF+pJJD019_NH260,CAF+pJJD019_NE431,CAF+pJJD019_NH242,CAF+pJJD019_NH339,CAF+pJJD019_NR182,CAF+pJJD019_NK310,CAF+pJJD019_ND185,CAF+pJJD019_NR122,CAF+pJJD019_NK347
C,CAF+pJJD019wt,CAF+pFE-sfGFP,CAF+pJJD019_NK235,CAF+pJJD019_NH260,CAF+pJJD019_NE431,CAF+pJJD019_NH242,CAF+pJJD019_NH339,CAF+pJJD019_NR182,CAF+pJJD019_NK310,CAF+pJJD019_ND185,CAF+pJJD019_NR122,CAF+pJJD019_NK347
D,CAF+pJJD019wt,CAF+pFE-sfGFP,CAF+pJJD019_NK235,CAF+pJJD019_NH260,CAF+pJJD019_NE431,CAF+pJJD019_NH242,CAF+pJJD019_NH339,CAF+pJJD019_NR182,CAF+pJJD019_NK310,CAF+pJJD019_ND185,CAF+pJJD019_NR122,CAF+pJJD019_NK347
E,CAF+pJJD019wt+aTc,CAF+pFE-sfGFP+aTc,CAF+pJJD019_NK235+aTc,CAF+pJJD019_NH260+aTc,CAF+pJJD019_NE431+aTc,CAF+pJJD019_NH242+aTc,CAF+pJJD019_NH339+aTc,CAF+pJJD019_NR182+aTc,CAF+pJJD019_NK310+aTc,CAF+pJJD019_ND185+aTc,CAF+pJJD019_NR122+aTc,CAF+pJJD019_NK347+aTc
F,CAF+pJJD019wt+aTc,CAF+pFE-sfGFP+aTc,CAF+pJJD019_NK235+aTc,CAF+pJJD019_NH260+aTc,CAF+pJJD019_NE431+aTc,CAF+pJJD019_NH242+aTc,CAF+pJJD019_NH339+aTc,CAF+pJJD019_NR182+aTc,CAF+pJJD019_NK310+aTc,CAF+pJJD019_ND185+aTc,CAF+pJJD019_NR122+aTc,CAF+pJJD019_NK347+aTc
G,CAF+pJJD019wt+aTc,CAF+pFE-sfGFP+aTc,CAF+pJJD019_NK235+aTc,CAF+pJJD019_NH260+aTc,CAF+pJJD019_NE431+aTc,CAF+pJJD019_NH242+aTc,CAF+pJJD019_NH339+aTc,CAF+pJJD019_NR182+aTc,CAF+pJJD019_NK310+aTc,CAF+pJJD019_ND185+aTc,CAF+pJJD019_NR122+aTc,CAF+pJJD019_NK347+aTc
H,CAF+pJJD019wt+aTc,CAF+pFE-sfGFP+aTc,CAF+pJJD019_NK235+aTc,CAF+pJJD019_NH260+aTc,CAF+pJJD019_NE431+aTc,CAF+pJJD019_NH242+aTc,CAF+pJJD019_NH339+aTc,CAF+pJJD019_NR182+aTc,CAF+pJJD019_NK310+aTc,CAF+pJJD019_ND185+aTc,CAF+pJJD019_NR122+aTc,CAF+pJJD019_NK347+aTc
