,locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,pvalInitial,pvalCorrected,length,inserts,lg,predictedInsertionRate
0,HNEAP_RS00015,HNEAP_RS00015,1,NC_013422.1,159,1559,+,,chromosomal replication initiator protein DnaA,0.5353,30,4.1246908253787406e-22,1.575287413789536e-29,1400,2,749.42,0.05170333994622953
1,HNEAP_RS00020,HNEAP_RS00020,1,NC_013422.1,1623,2735,+,,DNA polymerase III subunit beta,0.5346,22,3.05118707645653e-17,4.7151988215872104e-23,1112,2,594.4752,0.051635728629281355
2,HNEAP_RS00025,HNEAP_RS00025,1,NC_013422.1,2815,3840,+,,DNA replication and repair protein RecF,0.5536,16,0.999932734665786,0.9444471721798813,1025,66,567.4399999999999,0.05347089294644624
3,HNEAP_RS00030,HNEAP_RS00030,1,NC_013422.1,4029,6482,+,,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,7.192812458363274e-44,3.008701671855828e-59,2453,0,1357.4902,0.053451575427318196
4,HNEAP_RS00035,HNEAP_RS00035,1,NC_013422.1,6658,7233,+,,LemA family protein,0.533,16,0.999964366385369,0.9935365613996312,575,43,306.475,0.051481188476256955
5,HNEAP_RS00040,HNEAP_RS00040,1,NC_013422.1,7248,8171,+,,hypothetical protein,0.539,22,0.9996936716191476,0.9358369249472258,923,58,497.497,0.052060714050098496
6,HNEAP_RS00045,HNEAP_RS00045,1,NC_013422.1,8681,9454,+,,exodeoxyribonuclease III,0.5103,26,0.9878855205942845,0.8166434030662891,773,43,394.46189999999996,0.049288650055223114
7,HNEAP_RS00050,HNEAP_RS00050,1,NC_013422.1,9655,12165,-,,ABC transporter permease,0.5707,48,0.963644949281974,0.03165551988760737,2510,117,1432.4569999999999,0.055122540831894634
8,HNEAP_RS00055,HNEAP_RS00055,1,NC_013422.1,12156,12896,-,,ABC transporter,0.5789,10,0.9999951763055287,0.9852191141488656,740,55,428.38599999999997,0.055914559116144735
9,HNEAP_RS00060,HNEAP_RS00060,1,NC_013422.1,13056,13742,+,,arylesterase,0.5546,16,0.9999999037932874,0.9994936771020387,686,57,380.4556,0.05356748054208651
10,HNEAP_RS00065,HNEAP_RS00065,1,NC_013422.1,14129,14500,-,,DUF559 domain-containing protein,0.5188,9,0.9958756842840486,0.9445361297528934,371,25,192.47480000000002,0.050109644618165305
11,HNEAP_RS00070,HNEAP_RS00070,1,NC_013422.1,14569,15519,-,,IS110 family transposase,0.5741,13,0.9999999999999692,0.9999995439828983,950,90,545.3950000000001,0.05545093865707152
12,HNEAP_RS00075,HNEAP_RS00075,1,NC_013422.1,16642,17178,-,,prepilin-type cleavage/methylation domain-containing protein,0.5047,11,0.20468007453631717,0.03560505293423933,536,17,270.5192,0.04874775951963768
13,HNEAP_RS00080,HNEAP_RS00080,1,NC_013422.1,17753,18331,+,,Tfp pilus assembly protein FimT-like protein,0.5268,23,0.9999998503874171,0.9998762993173732,578,50,304.4904,0.05088234538328736
14,HNEAP_RS00085,HNEAP_RS00085,1,NC_013422.1,18315,18794,+,,type IV pilus modification protein PilV,0.5792,12,0.9305738973833024,0.4090420509077941,479,25,277.4368,0.055943535394836826
15,HNEAP_RS00090,HNEAP_RS00090,1,NC_013422.1,18791,19822,+,,prepilin-type cleavage/methylation domain-containing protein,0.5407,35,0.9999203313540677,0.9583587635964543,1031,66,557.4617,0.05222491296268693
