,locusId,desc,HighCO2_log2AbundanceChange_rep1,LowCO2_log2AbundanceChange_rep1,HighCO2Log_log2AbundanceChange_rep2,LowCO2_log2AbundanceChange_rep2,High CO2 Requiring
0,GFF1190,hypothetical protein,-0.000401791,0.021626971,-0.001931997,0.076392721,FALSE
1,GFF1209,hypothetical protein,0.222629265,-0.117648716,-0.130837392,-0.047010827,FALSE
2,GFF1357,hypothetical protein,-0.612700683,-0.344187306,-0.50475291,-0.315188877,FALSE
3,GFF1439,multidrug efflux protein,-0.277287534,-0.268327261,-0.234943565,-0.290410822,FALSE
4,GFF1496,hypothetical protein,0.676933979,0.320858836,0.515598511,0.189416355,FALSE
5,GFF160,2-isopropylmalate synthase,0.091069403,-0.02548286,0.031737947,-0.042760655,FALSE
6,GFF1606,hypothetical protein,0.173185322,0.106927656,0.014310033,-0.165237452,FALSE
7,GFF1629,hypothetical protein,-0.03365373,0.12933274,0.214595295,0.163596954,FALSE
8,GFF1704,hypothetical protein,0.012879218,0.017033787,0.050336965,0.029074143,FALSE
9,GFF1835,cytochrome C,0.039589211,-0.057992227,-0.039824836,-0.025668865,FALSE
10,GFF2046,hypothetical protein,-0.345332749,-0.035202632,0.002050377,0.129804099,FALSE
11,GFF2212,hypothetical protein,-0.132573891,-0.033196002,0.007385584,0.072943249,FALSE
12,GFF2252,IS66 family transposase,0.001430881,-0.10085332,-0.009399987,-0.030270371,FALSE
13,GFF2279,IS3 family transposase,-0.024918646,-0.043239291,0.070444381,0.191248911,FALSE
14,GFF2280,IS3 family transposase,0.049329632,0.037343492,0.02477517,-0.02020022,FALSE
15,GFF365,IS66 family transposase,-0.163983534,0.019215533,0.033433395,-0.02020022,FALSE
16,GFF366,IS66 family transposase,0.169665223,0.024952029,0.063996746,0.215702768,FALSE
17,GFF371,Killer protein,0.043690098,0.130196826,0.171451273,0.119453234,FALSE
18,GFF455,integrase,0.035863892,-0.03687774,-0.026776995,0.004113223,FALSE
19,GFF511,pilus assembly protein PilG,0.712672082,0.443515699,0.94068702,0.674997043,FALSE
20,GFF559,hypothetical protein,0.211420087,0.066098808,0.074965661,0.156582747,FALSE
21,GFF718,flagellar biosynthesis protein FlhA,0.014599225,-0.066595936,-0.011781018,-0.154143706,FALSE
22,GFF782,hypothetical protein,0.020538041,0.031572709,-0.027114038,-0.02020022,FALSE
23,GFF824,hypothetical protein,-0.122649136,-0.066270708,0.064780601,0.018832267,FALSE
24,GFF879,hypothetical protein,-0.097655781,-0.236143259,-0.039133892,-0.095747803,FALSE
25,GFF880,IS3 family transposase,0.013794299,0.073431461,0.085885407,0.085521784,FALSE
26,GFF881,GNAT family N-acetyltransferase,0.144749393,0.296370456,0.087141185,-0.242004414,FALSE
27,GFF94,hypothetical protein,0.068014455,0.131318137,0.173216097,0.101622303,FALSE
28,GFF951,IS3 family transposase,-0.019858413,0.046100199,-0.077725604,-0.025985099,FALSE
29,HNEAP_RS00025,DNA replication and repair protein RecF,-0.216729782,-0.266269663,-0.303316091,-0.373505354,FALSE
30,HNEAP_RS00035,LemA family protein,-0.295904368,-0.209297847,-0.116785967,0.034290179,FALSE
31,HNEAP_RS00040,hypothetical protein,0.015523739,-0.083012891,-0.013024114,0.041556147,FALSE
32,HNEAP_RS00045,exodeoxyribonuclease III,-0.039378157,-0.074868103,-0.05851923,-0.135996185,FALSE
33,HNEAP_RS00050,ABC transporter permease,-0.140119244,-0.100945841,0.034305312,-0.045147369,FALSE
34,HNEAP_RS00055,ABC transporter,0.015081944,0.00858758,-0.117106715,-0.055576737,FALSE
35,HNEAP_RS00060,arylesterase,-0.206201426,-0.164500523,-0.154393966,-0.150413612,FALSE
36,HNEAP_RS00065,DUF559 domain-containing protein,0.10532316,0.145501607,0.198654899,0.062233569,FALSE
37,HNEAP_RS00070,IS110 family transposase,-0.018963975,0.047808049,0.086910618,0.013681008,FALSE
38,HNEAP_RS00075,prepilin-type cleavage/methylation domain-containing protein,0.526257763,0.141930576,0.732353483,0.359350554,FALSE
39,HNEAP_RS00080,Tfp pilus assembly protein FimT-like protein,0.296868292,0.090812924,0.466916045,0.302046747,FALSE
40,HNEAP_RS00085,type IV pilus modification protein PilV,0.709717882,0.335723659,0.73909754,0.584574545,FALSE
41,HNEAP_RS00090,prepilin-type cleavage/methylation domain-containing protein,0.584362321,0.256035187,0.626724427,0.344732014,FALSE
42,HNEAP_RS00095,hypothetical protein,0.499388173,0.219413655,0.749138773,0.575150558,FALSE
43,HNEAP_RS00100,type 4 fimbrial biogenesis protein PilY1,0.202079844,-0.063040427,0.239896032,0.128192281,FALSE
44,HNEAP_RS00105,PilE protein,0.691887399,0.340329549,0.829619729,0.559474115,FALSE
45,HNEAP_RS00110,pilus assembly protein,0.015651169,0.018583145,-0.03890879,0.022029477,FALSE
46,HNEAP_RS00115,DUF559 domain-containing protein,-0.016912155,0.12137817,-0.026001982,-0.1666891,FALSE
47,HNEAP_RS00120,excinuclease ABC subunit UvrA,-0.098095366,-0.166265129,-0.112764618,-0.046179386,FALSE
48,HNEAP_RS00130,gamma-glutamyltransferase,-0.084651092,-0.008919796,-0.016263772,0.08934518,FALSE
49,HNEAP_RS00135,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,-0.057072342,-0.019582137,-0.07636543,0.028049186,FALSE
50,HNEAP_RS00140,metallophosphoesterase,0.056533272,0.011207537,-0.064986924,-0.101371975,FALSE
51,HNEAP_RS00145,ketohexokinase,-1.504131405,-1.277828351,-1.466302483,-1.132256858,FALSE
52,HNEAP_RS00150,GGDEF domain-containing protein,-0.08278503,-0.157086771,-0.109976886,-0.123830098,FALSE
53,HNEAP_RS00155,BolA family transcriptional regulator,-0.311869968,-0.142315277,-0.213979256,-0.191531145,FALSE
54,HNEAP_RS00160,HDOD domain-containing protein,-0.105290821,-0.111796681,-0.101902348,0.039820945,FALSE
55,HNEAP_RS00165,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,-1.125453366,-0.574603263,-1.240747017,-1.196055699,FALSE
56,HNEAP_RS00170,DNA-directed RNA polymerase subunit omega,-2.463793266,-1.358840067,-1.187292024,-0.603256626,FALSE
57,HNEAP_RS00180,DedA family protein,-0.70664596,-0.511973991,-0.332366417,-0.230546305,FALSE
58,HNEAP_RS00185,glycine zipper 2TM domain-containing protein,-0.210232543,-0.102392359,-0.168237076,-0.075888226,FALSE
59,HNEAP_RS00190,membrane protein,0.285502894,0.115262973,-0.072895932,0.206537565,FALSE
60,HNEAP_RS00195,exodeoxyribonuclease III,0.045823249,0.19194394,0.150402091,0.243014099,FALSE
61,HNEAP_RS00200,hypothetical protein,-0.28709937,-0.352980225,-0.211626722,-0.296171641,FALSE
62,HNEAP_RS00205,hypothetical protein,-0.062933844,-0.100139653,-0.028603829,-0.088328807,FALSE
63,HNEAP_RS00210,TIGR01458 family HAD-type hydrolase,0.156561048,0.050856655,-0.107048043,-0.185758389,FALSE
64,HNEAP_RS00215,competence/damage-inducible protein A,0.008015934,0.043717961,-0.011046841,-0.14557818,FALSE
65,HNEAP_RS00230,hypothetical protein,-0.126614305,-0.003832884,-0.060958911,-0.254693163,FALSE
66,HNEAP_RS00235,hypothetical protein,-0.041684526,-0.09966918,-0.181851236,-0.04809043,FALSE
67,HNEAP_RS00240,5'-deoxynucleotidase,-0.632228219,-0.535859141,-0.502786976,-0.178100547,FALSE
68,HNEAP_RS00245,deoxyguanosinetriphosphate triphosphohydrolase,-0.064655102,0.017278369,-0.14672431,-0.092739619,FALSE
