cells,Treatment,CPMA_mean,CPMA_std
Blank,CCCP,0,941.5720974
Blank,DCCD,0,197.3699492
Blank,DMSO,0,152.6877223
CAN,CCCP,387.75,913.0685572
CAN,DCCD,1812.372222,263.1494826
CAN,DMSO,1401.644444,973.5816564
CCM11,CCCP,855.9222222,723.7316105
CCM11,DCCD,5632.427778,1217.31067
CCM11,DMSO,6608.983333,2327.393409
DAB2,CCCP,1034,926.5487951
DAB2,DCCD,8811.977778,1865.490092
DAB2,DMSO,11270.6,1133.804038
GFP,CCCP,-232.65,773.902676
GFP,DCCD,450.9388889,297.9506613
GFP,DMSO,-89.03888889,256.0952966
SbtA,CCCP,1016.766667,1171.317437
SbtA,DCCD,3334.65,761.9621753
SbtA,DMSO,3308.8,1721.285658
