,locusId,type,scaffoldId,begin,end,length,strand,desc,GC,nTA,pval_raw_rep1,pval_corrected_rep1,n_inserts_rep1,pval_raw_rep2,pval_corrected_rep2,n_inserts_rep2,essentiality
0,HNEAP_RS00015,1,NC_013422.1,159,1559,1400,+,chromosomal replication initiator protein DnaA,0.5353,30,4.12E-22,9.93E-19,2,2.20E-21,5.31E-18,2,essential
1,HNEAP_RS00020,1,NC_013422.1,1623,2735,1112,+,DNA polymerase III subunit beta,0.5346,22,3.05E-17,7.35E-14,2,1.14E-16,2.75E-13,2,essential
2,HNEAP_RS00025,1,NC_013422.1,2815,3840,1025,+,DNA replication and repair protein RecF,0.5536,16,0.999932735,2407.838025,66,0.99991437,2407.793803,64,nonessential
3,HNEAP_RS00030,1,NC_013422.1,4029,6482,2453,+,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,7.19E-44,1.73E-40,0,1.51E-42,3.64E-39,0,essential
4,HNEAP_RS00035,1,NC_013422.1,6658,7233,575,+,LemA family protein,0.533,16,0.999964366,2407.914194,43,0.999700234,2407.278162,39,nonessential
5,HNEAP_RS00040,1,NC_013422.1,7248,8171,923,+,hypothetical protein,0.539,22,0.999693672,2407.262361,58,0.999858008,2407.658084,58,nonessential
6,HNEAP_RS00045,1,NC_013422.1,8681,9454,773,+,exodeoxyribonuclease III,0.5103,26,0.987885521,2378.828334,43,0.988395519,2380.056409,42,nonessential
7,HNEAP_RS00050,1,NC_013422.1,9655,12165,2510,-,ABC transporter permease,0.5707,48,0.963644949,2320.457038,117,0.965556277,2325.059514,114,nonessential
8,HNEAP_RS00055,1,NC_013422.1,12156,12896,740,-,ABC transporter,0.5789,10,0.999995176,2407.988385,55,0.999991605,2407.979785,53,nonessential
9,HNEAP_RS00060,1,NC_013422.1,13056,13742,686,+,arylesterase,0.5546,16,0.999999904,2407.999768,57,0.999999919,2407.999804,56,nonessential
10,HNEAP_RS00065,1,NC_013422.1,14129,14500,371,-,DUF559 domain-containing protein,0.5188,9,0.995875684,2398.068648,25,0.994586813,2394.965046,24,nonessential
