Query ID	Neighbor ID	Neighbor Pfam	SSN Query Cluster #	SSN Query Cluster Color	Query-Neighbor Distance	Query-Neighbor Directions
A0A0Q7I8V6	A0A0Q7I9D6	PF00004	1	#FF0000	13	complement-normal
A0A248K2M4	A0A248K2S2	PF00004	1	#FF0000	17	complement-complement
A0A074JF46	A0A074JBY5	PF00004	1	#FF0000	08	normal-normal
A0A2N6DRE4	A0A2N6DRF5	PF00004	1	#FF0000	09	complement-normal
A0A1Y0NE98	A0A1Y0NDR2	PF00004	1	#FF0000	19	normal-complement
D4GWQ7	D4GSN1	PF00004	1	#FF0000	17	complement-normal
C7RLG2	C7RLH0	PF00004	1	#FF0000	08	normal-normal
C1DDM9	C1DDP9	PF00004	1	#FF0000	20	normal-complement
A0A1G5HPV2	A0A1G5HP54	PF00004-PF01434	1	#FF0000	17	normal-normal
A0A1G5HPV2	A0A1G5HP54	PF00004-PF01434	1	#FF0000	17	normal-normal
I2KA03	I2K9Z4	PF00004-PF01434-PF07724	1	#FF0000	09	complement-normal
I2KA03	I2K9Z4	PF00004-PF01434-PF07724	1	#FF0000	09	complement-normal
I2KA03	I2K9Z4	PF00004-PF01434-PF07724	1	#FF0000	09	complement-normal
A0A258X1J9	A0A258X1H7	PF00004-PF01434-PF07724-PF17862	1	#FF0000	15	normal-normal
A0A258X1J9	A0A258X1H7	PF00004-PF01434-PF07724-PF17862	1	#FF0000	15	normal-normal
A0A258X1J9	A0A258X1H7	PF00004-PF01434-PF07724-PF17862	1	#FF0000	15	normal-normal
A0A258X1J9	A0A258X1H7	PF00004-PF01434-PF07724-PF17862	1	#FF0000	15	normal-normal
A0A2N3YI26	A0A2N3YI24	PF00004-PF01434-PF17862	1	#FF0000	08	complement-complement
A0A2N3YI26	A0A2N3YI24	PF00004-PF01434-PF17862	1	#FF0000	08	complement-complement
A0A2N3YI26	A0A2N3YI24	PF00004-PF01434-PF17862	1	#FF0000	08	complement-complement
A0A074MYW5	A0A074N341	PF00004-PF02190-PF05362	1	#FF0000	11	complement-normal
A0A0P7WDS5	A0A0P7X702	PF00004-PF02190-PF05362	1	#FF0000	10	normal-complement
A0A1A7BL60	A0A1A7BL55	PF00004-PF02190-PF05362	1	#FF0000	05	complement-normal
A0A1D7NL45	A0A1D7NLJ9	PF00004-PF02190-PF05362	1	#FF0000	09	complement-normal
A0A2L0GJU3	A0A2L0GJZ0	PF00004-PF02190-PF05362	1	#FF0000	17	complement-normal
A0A2S0UR62	A0A2S0UKQ8	PF00004-PF02190-PF05362	1	#FF0000	07	normal-normal
A0A1A8Z7M7	A0A1A8Z7L2	PF00004-PF02190-PF05362	1	#FF0000	06	complement-normal
Q60BG5	Q60BE6	PF00004-PF02190-PF05362	1	#FF0000	19	normal-normal
A0A1U7CW37	A0A1U7CVZ9	PF00004-PF02190-PF05362	1	#FF0000	14	normal-complement
A0A142YCW0	A0A142YCW4	PF00004-PF02190-PF05362	1	#FF0000	15	normal-complement
B4U7X3	B4U7Y6	PF00004-PF02190-PF05362	1	#FF0000	13	normal-normal
A0A074MYW5	A0A074N341	PF00004-PF02190-PF05362	1	#FF0000	11	complement-normal
A0A0P7WDS5	A0A0P7X702	PF00004-PF02190-PF05362	1	#FF0000	10	normal-complement
A0A1A7BL60	A0A1A7BL55	PF00004-PF02190-PF05362	1	#FF0000	05	complement-normal
A0A1D7NL45	A0A1D7NLJ9	PF00004-PF02190-PF05362	1	#FF0000	09	complement-normal
A0A2L0GJU3	A0A2L0GJZ0	PF00004-PF02190-PF05362	1	#FF0000	17	complement-normal
A0A2S0UR62	A0A2S0UKQ8	PF00004-PF02190-PF05362	1	#FF0000	07	normal-normal
A0A1A8Z7M7	A0A1A8Z7L2	PF00004-PF02190-PF05362	1	#FF0000	06	complement-normal
Q60BG5	Q60BE6	PF00004-PF02190-PF05362	1	#FF0000	19	normal-normal
A0A1U7CW37	A0A1U7CVZ9	PF00004-PF02190-PF05362	1	#FF0000	14	normal-complement
A0A142YCW0	A0A142YCW4	PF00004-PF02190-PF05362	1	#FF0000	15	normal-complement
B4U7X3	B4U7Y6	PF00004-PF02190-PF05362	1	#FF0000	13	normal-normal
A0A074MYW5	A0A074N341	PF00004-PF02190-PF05362	1	#FF0000	11	complement-normal
A0A0P7WDS5	A0A0P7X702	PF00004-PF02190-PF05362	1	#FF0000	10	normal-complement
A0A1A7BL60	A0A1A7BL55	PF00004-PF02190-PF05362	1	#FF0000	05	complement-normal
A0A1D7NL45	A0A1D7NLJ9	PF00004-PF02190-PF05362	1	#FF0000	09	complement-normal
A0A2L0GJU3	A0A2L0GJZ0	PF00004-PF02190-PF05362	1	#FF0000	17	complement-normal
A0A2S0UR62	A0A2S0UKQ8	PF00004-PF02190-PF05362	1	#FF0000	07	normal-normal
A0A1A8Z7M7	A0A1A8Z7L2	PF00004-PF02190-PF05362	1	#FF0000	06	complement-normal
Q60BG5	Q60BE6	PF00004-PF02190-PF05362	1	#FF0000	19	normal-normal
A0A1U7CW37	A0A1U7CVZ9	PF00004-PF02190-PF05362	1	#FF0000	14	normal-complement
A0A142YCW0	A0A142YCW4	PF00004-PF02190-PF05362	1	#FF0000	15	normal-complement
B4U7X3	B4U7Y6	PF00004-PF02190-PF05362	1	#FF0000	13	normal-normal
M0CM19	M0CPI6	PF00004-PF02359-PF02933-PF17862	1	#FF0000	16	complement-normal
U3A1E8	U3A1F3	PF00004-PF02359-PF02933-PF17862	1	#FF0000	05	normal-normal
M0CM19	M0CPI6	PF00004-PF02359-PF02933-PF17862	1	#FF0000	16	complement-normal
U3A1E8	U3A1F3	PF00004-PF02359-PF02933-PF17862	1	#FF0000	05	normal-normal
M0CM19	M0CPI6	PF00004-PF02359-PF02933-PF17862	1	#FF0000	16	complement-normal
U3A1E8	U3A1F3	PF00004-PF02359-PF02933-PF17862	1	#FF0000	05	normal-normal
M0CM19	M0CPI6	PF00004-PF02359-PF02933-PF17862	1	#FF0000	16	complement-normal
U3A1E8	U3A1F3	PF00004-PF02359-PF02933-PF17862	1	#FF0000	05	normal-normal
A0A1I6LUM0	A0A1I6LV39	PF00004-PF02359-PF17862	1	#FF0000	14	complement-normal
A0A1I6LUM0	A0A1I6LV39	PF00004-PF02359-PF17862	1	#FF0000	14	complement-normal
A0A1I6LUM0	A0A1I6LV39	PF00004-PF02359-PF17862	1	#FF0000	14	complement-normal
A0A1H3WU10	A0A1H3WUW8	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	19	complement-complement
A0A0A1H2H7	A0A0A1H7A6	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	19	normal-complement
A0A0S1S807	A0A0S1S8C4	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	12	normal-complement
I3YZ63	I3YZ70	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	07	complement-normal
A0A0Q2RW67	A0A0Q2RW40	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	11	complement-normal
A0A1X1QYS2	A0A1X1QYU0	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	10	normal-complement
X7Y6F2	X7Y5P3	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	17	normal-complement
F2NMW0	F2NMX7	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	17	normal-normal
A0A172U9X4	A0A172UA77	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	07	normal-complement
A0A1S1XY79	A0A1S1XYE7	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	17	normal-complement
A0A1H3WU10	A0A1H3WUW8	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	19	complement-complement
A0A0A1H2H7	A0A0A1H7A6	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	19	normal-complement
A0A0S1S807	A0A0S1S8C4	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	12	normal-complement
I3YZ63	I3YZ70	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	07	complement-normal
A0A0Q2RW67	A0A0Q2RW40	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	11	complement-normal
A0A1X1QYS2	A0A1X1QYU0	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	10	normal-complement
X7Y6F2	X7Y5P3	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	17	normal-complement
F2NMW0	F2NMX7	PF00004-PF02861-PF07724-PF10431-PF17871	1	#FF0000	17	normal-normal
