,LocusID,Description,Length,nInsertionsRep1,pvalRep1,nInsertionsRep2,pvalRep2,Calls
0,HNEAP_RS00015,chromosomal replication initiator protein DnaA,1400,2,4.1246908253787406e-22,2,2.2044575363058982e-21,Essential
1,HNEAP_RS00020,DNA polymerase III subunit beta,1112,2,3.05118707645653e-17,2,1.1407391721267438e-16,Essential
2,HNEAP_RS00025,DNA replication and repair protein RecF,1025,66,0.9999327346657859,64,0.9999143702163884,Nonessential
3,HNEAP_RS00030,DNA topoisomerase (ATP-hydrolyzing) subunit B,2453,0,7.192812458363273e-44,0,1.5128648102997184e-42,Essential
4,HNEAP_RS00035,LemA family protein,575,43,0.999964366385369,39,0.999700233522154,Nonessential
5,HNEAP_RS00040,hypothetical protein,923,58,0.9996936716191476,58,0.9998580084984332,Nonessential
6,HNEAP_RS00045,exodeoxyribonuclease III,773,43,0.9878855205942844,42,0.9883955186821456,Nonessential
7,HNEAP_RS00050,ABC transporter permease,2510,117,0.9636449492819741,114,0.9655562765345737,Nonessential
8,HNEAP_RS00055,ABC transporter,740,55,0.9999951763055288,53,0.9999916049141884,Nonessential
9,HNEAP_RS00060,arylesterase,686,57,0.9999999037932874,56,0.9999999185293535,Nonessential
10,HNEAP_RS00065,DUF559 domain-containing protein,371,25,0.9958756842840486,24,0.9945868129917154,Nonessential
11,HNEAP_RS00070,IS110 family transposase,950,90,0.9999999999999692,87,0.9999999999999007,Nonessential
12,HNEAP_RS00075,prepilin-type cleavage/methylation domain-containing protein,536,17,0.2046800745363172,16,0.17763783870012384,Nonessential
13,HNEAP_RS00080,Tfp pilus assembly protein FimT-like protein,578,50,0.9999998503874172,44,0.999990760433956,Nonessential
14,HNEAP_RS00085,type IV pilus modification protein PilV,479,25,0.9305738973833024,23,0.88288020778504,Nonessential
15,HNEAP_RS00090,prepilin-type cleavage/methylation domain-containing protein,1031,66,0.9999203313540675,58,0.9979742835529712,Nonessential
16,HNEAP_RS00095,hypothetical protein,818,32,0.5134828656414041,31,0.5119795954938711,Nonessential
17,HNEAP_RS00100,type 4 fimbrial biogenesis protein PilY1,3863,274,1.0,262,1.0,Nonessential
18,HNEAP_RS00105,PilE protein,494,45,0.9999998728114704,45,0.9999999465624202,Nonessential
19,HNEAP_RS00110,pilus assembly protein,584,37,0.9976311034222264,37,0.9985902222029458,Nonessential
20,HNEAP_RS00115,DUF559 domain-containing protein,371,9,0.07516227890141101,8,0.050725100828833775,Nonessential
21,HNEAP_RS00120,excinuclease ABC subunit UvrA,2822,121,0.8208266388500045,113,0.6871325738593408,Nonessential
22,HNEAP_RS00125,single-stranded DNA-binding protein,557,6,4.2819281765450095e-05,5,1.8330557343315853e-05,Ambiguous
23,HNEAP_RS00130,gamma-glutamyltransferase,1799,136,0.9999999999989696,131,0.9999999999957478,Nonessential
24,HNEAP_RS00135,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,938,63,0.9999719688222672,60,0.9999303662443342,Nonessential
25,HNEAP_RS00140,metallophosphoesterase,548,34,0.9954542918208756,35,0.9984296945228398,Nonessential
26,HNEAP_RS00145,ketohexokinase,1262,84,0.9999973525495308,77,0.999956732651864,Nonessential
27,HNEAP_RS00150,GGDEF domain-containing protein,2366,137,0.9999921552069254,133,0.9999899361111558,Nonessential
28,HNEAP_RS00155,BolA family transcriptional regulator,308,15,0.8320705648670255,15,0.8589381732857772,Nonessential
29,HNEAP_RS00160,HDOD domain-containing protein,1037,40,0.4680286334117149,40,0.5470849815897351,Nonessential
30,HNEAP_RS00165,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,2198,30,5.671204438665352e-13,27,1.202172090258374e-13,Essential
31,HNEAP_RS00170,DNA-directed RNA polymerase subunit omega,323,7,0.05579299832696444,7,0.06837665721811485,Nonessential
32,HNEAP_RS00175,guanylate kinase,629,0,8.653969717934253e-12,0,1.8898819733406782e-11,Essential
33,HNEAP_RS00180,DedA family protein,614,30,0.8946705050949242,28,0.8462773971293702,Nonessential
34,HNEAP_RS00185,glycine zipper 2TM domain-containing protein,470,37,0.9999634205545668,37,0.9999808625081664,Nonessential
35,HNEAP_RS00190,membrane protein,749,3,3.6460022719070175e-10,3,8.428772472484246e-10,Essential
36,HNEAP_RS00195,exodeoxyribonuclease III,770,30,0.50691484724787,30,0.574904920627717,Nonessential
37,HNEAP_RS00200,hypothetical protein,1391,59,0.7268667817538201,57,0.7142387112529963,Nonessential
38,HNEAP_RS00205,hypothetical protein,2294,171,0.9999999999999938,170,0.9999999999999992,Nonessential
39,HNEAP_RS00210,TIGR01458 family HAD-type hydrolase,791,56,0.9999834888198309,54,0.9999733082097038,Nonessential
40,HNEAP_RS00215,competence/damage-inducible protein A,788,61,0.9999995634595248,60,0.9999996591185446,Nonessential
41,HNEAP_RS00220,ferrochelatase,1112,6,4.09918463152376e-13,5,1.7876547004628824e-13,Essential
42,HNEAP_RS00225,thioredoxin-disulfide reductase,959,0,1.358972651620654e-17,0,4.470939821940088e-17,Essential
43,HNEAP_RS00230,hypothetical protein,320,19,0.9678675653444476,19,0.9755592832367852,Nonessential
44,HNEAP_RS00235,hypothetical protein,872,68,0.9999999166372724,67,0.999999941868796,Nonessential
45,HNEAP_RS00240,5'-deoxynucleotidase,617,21,0.275506747198851,20,0.2536607907569922,Nonessential
46,HNEAP_RS00245,deoxyguanosinetriphosphate triphosphohydrolase,1430,77,0.996391348982134,75,0.9963816035122246,Nonessential
47,HNEAP_RS00250,NAD(P)-dependent oxidoreductase,857,61,0.9999935132763954,60,0.9999949719877604,Nonessential
