,locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,pvalInitial_r1,pvalCorrected_r1,length_r1,inserts_r1,lg_r1,predictedInsertionRate_r1,pvalInitial_r2,pvalCorrected_r2,length_r2,inserts_r2,lg_r2,predictedInsertionRate_r2
0,HNEAP_RS00015,HNEAP_RS00015,1,NC_013422.1,159,1559,+,,chromosomal replication initiator protein DnaA,0.5353,30,4.1246908253787406e-22,1.575287413789536e-29,1400,2,749.42,0.05170333994622953,2.2044575363058986e-21,1.1236340415337958e-28,1400,2,749.42,0.050333726824233704
1,HNEAP_RS00020,HNEAP_RS00020,1,NC_013422.1,1623,2735,+,,DNA polymerase III subunit beta,0.5346,22,3.05118707645653e-17,4.7151988215872104e-23,1112,2,594.4752,0.051635728629281355,1.1407391721267438e-16,2.2150065103792944e-22,1112,2,594.4752,0.05026790652014822
2,HNEAP_RS00030,HNEAP_RS00030,1,NC_013422.1,4029,6482,+,,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,7.192812458363274e-44,3.008701671855828e-59,2453,0,1357.4902,0.053451575427318196,1.5128648102997184e-42,1.1770275843751467e-57,2453,0,1357.4902,0.052035651829872846
3,HNEAP_RS00125,HNEAP_RS00125,1,NC_013422.1,29824,30381,+,,single-stranded DNA-binding protein,0.5914,11,4.281928176545009e-05,1.4274475288729901e-08,557,6,329.4098,0.05712190406164796,1.8330557343315856e-05,5.2676716186429495e-09,557,5,329.4098,0.055608754051656675
4,HNEAP_RS00165,HNEAP_RS00165,1,NC_013422.1,39572,41770,-,,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,5.671204438665351e-13,1.3039516588991149e-24,2198,30,1272.4222,0.05591455911614474,1.2021720902583739e-13,2.130855298546313e-25,2198,27,1272.4222,0.054433391478701465
5,HNEAP_RS00175,HNEAP_RS00175,1,NC_013422.1,42146,42775,-,,guanylate kinase,0.5794,9,8.653969717934253e-12,1.854102281785201e-16,629,0,364.4426,0.055962852913964876,1.8898819733406782e-11,4.974682426479655e-16,629,0,364.4426,0.05448040598161968
6,HNEAP_RS00190,HNEAP_RS00190,1,NC_013422.1,44187,44936,+,,membrane protein,0.5427,18,3.6460022719070175e-10,3.890372755736011e-14,749,3,406.48229999999995,0.05241808815396744,8.428772472484245e-10,1.0723661291629746e-13,749,3,406.48229999999995,0.05102954146742318
7,HNEAP_RS00220,HNEAP_RS00220,1,NC_013422.1,52193,53305,-,,ferrochelatase,0.5732,27,4.0991846315237596e-13,3.603568111461212e-20,1112,6,637.3984,0.055364009820995284,1.7876547004628826e-13,1.5999461002082883e-20,1112,5,637.3984,0.05389742614543389
8,HNEAP_RS00225,HNEAP_RS00225,1,NC_013422.1,53431,54390,+,,thioredoxin-disulfide reductase,0.5594,13,1.358972651620654e-17,7.343565569623915e-24,959,0,536.4646,0.05403110100115973,4.4709398219400884e-17,3.130317201590324e-23,959,0,536.4646,0.05259982586489135
9,HNEAP_RS00255,HNEAP_RS00255,1,NC_013422.1,58846,60408,+,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,3.3706317186257887e-28,1.1205500082749098e-41,1562,0,947.3530000000001,0.05858037675581584,2.3447521251210183e-27,1.4678964677915489e-40,1562,0,947.3530000000001,0.057028592039786566
10,HNEAP_RS00430,HNEAP_RS00430,1,NC_013422.1,87840,88211,-,,VOC family protein,0.4194,16,2.9846385027129754e-07,2.1737178915454603e-07,371,0,155.5974,0.04050883761152376,4.7312054556039764e-07,3.290781019137115e-07,371,0,155.5974,0.039435765047793045
11,HNEAP_RS00440,HNEAP_RS00440,1,NC_013422.1,89303,89782,-,,N-acetyltransferase,0.5375,14,7.823296108960763e-08,2.211568621225533e-10,479,1,257.4625,0.0519158326566381,1.3759131338064925e-07,4.309268961129914e-10,479,1,257.4625,0.05054059063707382
12,HNEAP_RS00500,HNEAP_RS00500,1,NC_013422.1,99908,102244,+,,Fe(2+) transporter permease subunit FeoB,0.5627,41,1.2697730515568852e-36,8.342758428857078e-52,2336,3,1314.4672,0.054349840066772584,2.1017438205109138e-35,2.6792549558875672e-50,2336,3,1314.4672,0.05291012158415152
13,HNEAP_RS00525,HNEAP_RS00525,1,NC_013422.1,104375,104971,+,,imidazoleglycerol-phosphate dehydratase,0.5695,11,3.293182785868707e-11,2.2674635481610817e-15,596,0,339.422,0.055006635717126336,6.903006277537521e-11,5.679972479857499e-15,596,0,339.422,0.053549518823839154
