,Locus Id,NCBI Accession number,NCBI gi number,Gene description,High CO2 fitness replicate 1,Low CO2 fitness replicate 1,High CO2 fitness replicate 2,Low CO2 fitness replicate 2,High CO2 error replicate 1,Low CO2 error replicate 1,High CO2 error replicate 2,High CO2 error replicate 2,Has HCR phenotype
0,HNEAP_RS00025,WP_041600303.1,753844686.0,DNA replication and repair protein RecF,-0.21672978164935802,-0.266269662841689,-0.303316091397026,-0.37350535412738706,0.0994702895415698,0.0961622313234863,0.0927928665905881,0.0955410796413551,False
1,HNEAP_RS00035,WP_012822908.1,502585113.0,LemA family protein,-0.295904368416597,-0.209297846802948,-0.11678596704004199,0.0342901793610962,0.0871186046262609,0.0831167654320862,0.0823994485899789,0.0804719650246608,False
2,HNEAP_RS00040,WP_012822909.1,502585114.0,hypothetical protein,0.0155237386714291,-0.0830128909444713,-0.0130241142902207,0.0415561467377899,0.0652789566681265,0.0640706619788308,0.0616270069415127,0.0625664832370404,False
3,HNEAP_RS00045,WP_012822910.1,502585115.0,exodeoxyribonuclease III,-0.0393781567932424,-0.0748681028759362,-0.0585192295139493,-0.135996185249107,0.112926020363283,0.109979556089039,0.10976872605790303,0.11277246307644802,False
4,HNEAP_RS00050,WP_012822911.1,502585116.0,ABC transporter permease,-0.14011924352517902,-0.100945841302865,0.0343053117914318,-0.0451473687507426,0.0491041080632805,0.0471319194649369,0.0454120301985617,0.0465483657588778,False
5,HNEAP_RS00055,WP_049772428.1,908628395.0,ABC transporter,0.0150819439384599,0.00858757992625994,-0.11710671487039599,-0.0555767372727962,0.0680775410372829,0.0657629315397156,0.0649127537328902,0.0646035902250388,False
6,HNEAP_RS00060,WP_012822913.1,502585118.0,arylesterase,-0.20620142559101298,-0.16450052300979198,-0.154393966194669,-0.150413611997227,0.0868708567216929,0.0833305935460599,0.0807983101881679,0.0817579736373563,False
7,HNEAP_RS00065,WP_012822914.1,502585119.0,DUF559 domain-containing protein,0.10532316001115899,0.145501606907162,0.19865489874078698,0.0622335693789988,0.110065603364967,0.10606943632658901,0.10030965096448802,0.104320342929339,False
8,HNEAP_RS00070,WP_012822915.1,502585120.0,IS110 family transposase,-0.0189639746430306,0.047808048617806,0.0869106178598756,0.0136810081660695,0.0576856960538118,0.0553701264351519,0.0527326333315035,0.0540877101816293,False
9,HNEAP_RS00075,WP_012822917.1,502585122.0,prepilin-type cleavage/methylation domain-containing protein,0.526257762726546,0.14193057557279,0.732353483249815,0.35935055370677293,0.0935954516747312,0.0957473937909743,0.09430774019980198,0.100266933604932,False
10,HNEAP_RS00080,WP_012822918.1,502585123.0,Tfp pilus assembly protein FimT-like protein,0.296868291528174,0.0908129236236282,0.466916044652336,0.302046746694243,0.0543763032730133,0.0552253273075759,0.0526525840318498,0.0546652797817726,False
11,HNEAP_RS00085,WP_012822919.1,502585124.0,type IV pilus modification protein PilV,0.709717881828746,0.3357236586481369,0.7390975404169141,0.584574544835202,0.0524892215772747,0.0537741699194843,0.0526845627116413,0.0552105407196724,False
12,HNEAP_RS00090,WP_012822920.1,502585125.0,prepilin-type cleavage/methylation domain-containing protein,0.584362320579054,0.256035187351433,0.6267244267936121,0.34473201399043,0.0477492872631208,0.048801323118570994,0.0472334304625323,0.050053811507856,False
13,HNEAP_RS00095,WP_081441062.1,1174219881.0,hypothetical protein,0.49938817320290296,0.219413655422911,0.7491387727566441,0.57515055765998,0.054384920118060995,0.0556320549402982,0.05389802500554099,0.0564974656710915,False
14,HNEAP_RS00100,WP_012822922.1,502585127.0,type 4 fimbrial biogenesis protein PilY1,0.202079843600726,-0.0630404268604835,0.23989603165054102,0.12819228096861698,0.0189358131928325,0.019343760675024,0.0187470799779145,0.0194525471136859,False
15,HNEAP_RS00105,WP_012822923.1,502585128.0,PilE protein,0.6918873994159379,0.34032954890456796,0.829619728519039,0.5594741145462659,0.0513429076653485,0.0523430444501558,0.0511718274063661,0.05358468913986799,False
16,HNEAP_RS00110,WP_012822924.1,502585130.0,pilus assembly protein,0.015651169191933,0.0185831453120782,-0.0389087896454258,0.022029476718121003,0.0920640484186731,0.0889682508875859,0.0845637199341144,0.0853430330556941,False
17,HNEAP_RS00115,WP_012822925.1,502585131.0,DUF559 domain-containing protein,-0.016912154956418003,0.12137816951995802,-0.0260019815644335,-0.16668909968412302,0.174480201373405,0.162840162535643,0.168964191409232,0.164293391870881,False
18,HNEAP_RS00120,WP_012822927.1,502585133.0,excinuclease ABC subunit UvrA,-0.0980953658531949,-0.166265128933516,-0.11276461793595402,-0.0461793863696136,0.06005960459462901,0.0588652731780594,0.0560849717506604,0.0562115675747979,False
19,HNEAP_RS00130,WP_012822929.1,502585135.0,gamma-glutamyltransferase,-0.0846510924355614,-0.00891979594753911,-0.0162637722158195,0.089345180399996,0.0449670239722819,0.0426083464173995,0.0418848093886739,0.0415425064318739,False
20,HNEAP_RS00135,WP_012822930.1,502585136.0,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,-0.0570723423575556,-0.0195821370607003,-0.0763654296857791,0.0280491862679887,0.0606776461847101,0.0586739138557563,0.057074674843878,0.057266049406688,False
21,HNEAP_RS00140,WP_012822931.1,502585137.0,metallophosphoesterase,0.0565332715104678,0.011207537044769,-0.0649869242555335,-0.101371974646482,0.10598499156832902,0.10462441302379699,0.09672456016803399,0.0995069917820596,False
22,HNEAP_RS00145,WP_012822932.1,502585138.0,ketohexokinase,-1.50413140497714,-1.2778283508955701,-1.46630248270271,-1.13225685828969,0.22148551774135397,0.20061357665005602,0.19537641964007998,0.178838506178195,False
23,HNEAP_RS00150,WP_012822933.1,502585139.0,GGDEF domain-containing protein,-0.0827850304162618,-0.157086771275597,-0.10997688615905801,-0.123830098291298,0.0476915048978723,0.0465143797963144,0.0449764005852156,0.0456811544761427,False
24,HNEAP_RS00155,WP_012822934.1,502585140.0,BolA family transcriptional regulator,-0.311869968366617,-0.142315277380057,-0.213979255998454,-0.19153114514162697,0.17059093296650102,0.159295611571573,0.15727997649985098,0.15638921835772798,False
25,HNEAP_RS00160,WP_012822935.1,502585141.0,HDOD domain-containing protein,-0.10529082100244198,-0.11179668062619999,-0.10190234835477302,0.0398209454528521,0.0788911772329167,0.0764207806452869,0.0755602212580615,0.0754727520442917,False
26,HNEAP_RS00165,WP_012822936.1,502585142.0,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,-1.1254533662108002,-0.5746032629965789,-1.2407470167915302,-1.19605569927586,0.39873984479459396,0.343069177040777,0.33880769308240993,0.33880769308240993,False
27,HNEAP_RS00170,WP_012822937.1,502585143.0,DNA-directed RNA polymerase subunit omega,-2.46379326626369,-1.3588400673904197,-1.1872920237388798,-0.6032566256300721,0.586166418246807,0.441499554871031,0.409488243093632,0.35847163207318894,False
28,HNEAP_RS00180,WP_012822939.1,502585145.0,DedA family protein,-0.7066459599134269,-0.511973990872133,-0.332366417053098,-0.230546305202647,0.12152315396986199,0.112974102253756,0.109131090506336,0.107963797098718,False
29,HNEAP_RS00185,WP_012822940.1,502585146.0,glycine zipper 2TM domain-containing protein,-0.21023254288884197,-0.10239235882452,-0.16823707648330902,-0.075888226082725,0.0882521339424963,0.0842479060802582,0.0799673585590258,0.0802281973076116,False
30,HNEAP_RS00190,WP_012822941.1,502585147.0,membrane protein,0.285502893582476,0.11526297257363399,-0.0728959323869889,0.206537564882368,0.204068707142977,0.203542396925603,0.19984631476681103,0.19108962630347098,False
31,HNEAP_RS00195,WP_012822942.1,502585148.0,exodeoxyribonuclease III,0.0458232493566496,0.191943940159071,0.150402091187504,0.243014099232468,0.10684785532175699,0.0999960174943929,0.0995692460575857,0.0993261946532629,False
32,HNEAP_RS00200,WP_041600478.1,753844861.0,hypothetical protein,-0.287099369986726,-0.35298022545937896,-0.211626721838568,-0.296171640836842,0.0996315287496568,0.0964513728707754,0.0930062797024327,0.0966753626216359,False
33,HNEAP_RS00205,WP_081441063.1,1174219882.0,hypothetical protein,-0.0629338444939634,-0.100139653489767,-0.0286038292900325,-0.0883288068653705,0.0421478824298883,0.0411138126645055,0.0396023798954382,0.0406708717904069,False
34,HNEAP_RS00210,WP_012822946.1,502585152.0,TIGR01458 family HAD-type hydrolase,0.15656104843579902,0.050856654730496,-0.107048043458396,-0.18575838915755802,0.0744094150637262,0.0725785491940574,0.0712733863913355,0.073416550132454,False
35,HNEAP_RS00215,WP_012822947.1,502585153.0,competence/damage-inducible protein A,0.008015934022405859,0.0437179609897098,-0.0110468408357226,-0.14557817965389003,0.0721757523887163,0.0688240437685724,0.0654146199238961,0.0686260706730202,False
36,HNEAP_RS00230,WP_012822950.1,502585156.0,hypothetical protein,-0.126614305048813,-0.0038328842298932,-0.0609589113426257,-0.254693162939454,0.12200339279183998,0.11370249074703499,0.105904690262887,0.10753744458852699,False
37,HNEAP_RS00235,WP_012822951.1,502585157.0,hypothetical protein,-0.0416845261266721,-0.0996691802410161,-0.181851236482953,-0.0480904304507877,0.0671048362232338,0.0651069422424146,0.0635835416480964,0.0628814491413659,False
38,HNEAP_RS00240,WP_012822952.1,502585158.0,5'-deoxynucleotidase,-0.6322282188608199,-0.535859140950599,-0.502786976290018,-0.17810054725424,0.213500154210975,0.19976046130711803,0.200635591857436,0.19293874416797602,False
39,HNEAP_RS00245,WP_012822953.1,502585159.0,deoxyguanosinetriphosphate triphosphohydrolase,-0.0646551022418869,0.0172783689129063,-0.146724310216971,-0.0927396185925761,0.0634571853948973,0.060851480569504006,0.0591152292735798,0.0594482220601394,False
40,HNEAP_RS00250,WP_012822954.1,502585160.0,NAD(P)-dependent oxidoreductase,-0.0235435644253494,-0.0301046263102607,-0.0289752869051829,-0.0298344538900788,0.0618819748690295,0.059878049834315994,0.0602814070899185,0.0609789917316442,False
41,HNEAP_RS00260,WP_012822956.1,502585162.0,DNA recombination protein RmuC,-0.178453633716507,-0.201271117022851,-0.0958240292169876,-0.174369682691034,0.0590356854084437,0.0576216306001463,0.0539719089179547,0.0558922195629539,False
