locusId	sysName	desc	setAS2 c1	setAS3 c2
gene_0000	gene_0000	gene_0000	-0.8568482346260665	-0.9793785105447113
gene_0001	gene_0001	gene_0001	-0.17376640759774833	0.0938466663784239
gene_0002	gene_0002	gene_0002	-0.7672363365574559	-1.1617760961310395
gene_0003	gene_0003	gene_0003	-0.6362516832521193	-0.7642792187269652
gene_0004	gene_0004	gene_0004	-1.7187284928692426	-2.004763004914913
gene_0005	gene_0005	gene_0005	-1.3388869268799783	-1.8091446635748196
gene_0006	gene_0006	gene_0006	-1.3206483627721988	-1.3884513863071892
gene_0007	gene_0007	gene_0007	-1.2052591090513038	-1.4452209945020416
gene_0008	gene_0008	gene_0008	-1.4483876154794242	-1.523756198717665
gene_0009	gene_0009	gene_0009	0.06687900432323059	0.6049136027233623
gene_0010	gene_0010	gene_0010	-1.134287508944125	-1.3704440438832515
gene_0011	gene_0011	gene_0011	-1.5818246789481591	-1.8337247368592156
gene_0012	gene_0012	gene_0012	-0.3512645843901493	-0.27151060958485074
gene_0013	gene_0013	gene_0013	-0.48918068875777604	-0.6375577298751434
gene_0014	gene_0014	gene_0014	-1.4658504159959982	-1.8218587988787218
gene_0015	gene_0015	gene_0015	-0.14243502920337053	-0.0673173517871182
gene_0016	gene_0016	gene_0016	-0.03451810691492936	0.007875992792569814
gene_0017	gene_0017	gene_0017	-2.2965553833432883	-2.5092816077879134
gene_0018	gene_0018	gene_0018	-0.008361406359056642	0.2781246221617486
gene_0019	gene_0019	gene_0019	0.3839243672686609	0.604891361306109
gene_0020	gene_0020	gene_0020	-0.6961339974056316	-0.601095110554224
gene_0021	gene_0021	gene_0021	-0.6606464107986716	-0.44722916087751685
gene_0022	gene_0022	gene_0022	-0.9707993243478468	-1.0396886993498264
gene_0023	gene_0023	gene_0023	-1.3133896653608375	-1.503500943665253
gene_0024	gene_0024	gene_0024	-0.07239397144314044	-0.04193564484622449
gene_0025	gene_0025	gene_0025	-0.6932732690373615	-0.954909059763839
gene_0026	gene_0026	gene_0026	-1.2097961632226903	-1.078834103999557
gene_0027	gene_0027	gene_0027	0.23676357734435693	0.4986122552171774
gene_0028	gene_0028	gene_0028	-1.4996926017938423	-1.6410071547711849
gene_0029	gene_0029	gene_0029	-1.351013418684941	-1.308115012734547
gene_0030	gene_0030	gene_0030	-0.23159362309500936	-0.12151673970763112
gene_0031	gene_0031	gene_0031	-1.284066277490273	-1.0716129177097766
gene_0032	gene_0032	gene_0032	0.03750465870706024	0.35590533190139306
gene_0033	gene_0033	gene_0033	-0.30600779206420736	-0.2540864611167606
gene_0034	gene_0034	gene_0034	-0.24758274515189754	-0.27741488151656807
gene_0035	gene_0035	gene_0035	-0.03636135072534594	0.19080584471976703
gene_0036	gene_0036	gene_0036	-0.06613102223861013	0.08869670264377381
gene_0037	gene_0037	gene_0037	-1.3841662214835888	-1.4083253572848025
gene_0038	gene_0038	gene_0038	-0.2830322895805582	-0.06972130277012561
gene_0039	gene_0039	gene_0039	-0.11198719836289651	-0.1240833953506675
gene_0040	gene_0040	gene_0040	0.2058217418795904	0.4696806579221468
gene_0041	gene_0041	gene_0041	-1.627727327099062	-1.9636811496913231
gene_0042	gene_0042	gene_0042	-0.5478628287719846	-0.6902273588724006
gene_0043	gene_0043	gene_0043	-0.07238409624165498	0.06603386132469316
gene_0044	gene_0044	gene_0044	-2.0257403829204454	-2.236033793802651
gene_0045	gene_0045	gene_0045	-0.4528033990197116	-0.6590649988853684
gene_0046	gene_0046	gene_0046	-0.8821136747039866	-0.8897556116346614
gene_0047	gene_0047	gene_0047	-1.250218026595532	-1.9267858383468606
