,locusId,old_locus_tag,gene,product,protein_id,giNum
0,HNEAP_RS00015,['Hneap_0001'],['dnaA'],['chromosomal replication initiator protein DnaA'],WP_041600463.1,753844846
1,HNEAP_RS00020,['Hneap_0002'],,['DNA polymerase III subunit beta'],WP_012822905.1,502585110
2,HNEAP_RS00025,['Hneap_0003'],,['DNA replication and repair protein RecF'],WP_041600303.1,753844686
3,HNEAP_RS00030,['Hneap_0004'],,['DNA topoisomerase (ATP-hydrolyzing) subunit B'],WP_012822907.1,502585112
4,HNEAP_RS00035,['Hneap_0005'],,['LemA family protein'],WP_012822908.1,502585113
5,HNEAP_RS00040,['Hneap_0006'],,['hypothetical protein'],WP_012822909.1,502585114
6,HNEAP_RS00045,['Hneap_0007'],,['exodeoxyribonuclease III'],WP_012822910.1,502585115
7,HNEAP_RS00050,['Hneap_0008'],,['ABC transporter permease'],WP_012822911.1,502585116
8,HNEAP_RS00055,['Hneap_0009'],,['ABC transporter'],WP_049772428.1,908628395
9,HNEAP_RS00060,['Hneap_0010'],,['arylesterase'],WP_012822913.1,502585118
10,HNEAP_RS00065,['Hneap_0011'],,['DUF559 domain-containing protein'],WP_012822914.1,502585119
11,HNEAP_RS00070,['Hneap_0012'],,['IS110 family transposase'],WP_012822915.1,502585120
12,HNEAP_RS00075,['Hneap_0014'],,['prepilin-type cleavage/methylation domain-containing protein'],WP_012822917.1,502585122
13,HNEAP_RS00080,['Hneap_0015'],,['prepilin-type N-terminal cleavage/methylation domain-containing protein'],WP_012822918.1,502585123
14,HNEAP_RS00085,['Hneap_0016'],,['type IV pilus modification protein PilV'],WP_012822919.1,502585124
15,HNEAP_RS00090,['Hneap_0017'],,['prepilin-type cleavage/methylation domain-containing protein'],WP_012822920.1,502585125
16,HNEAP_RS00095,['Hneap_0018'],,['hypothetical protein'],WP_081441062.1,1174219881
17,HNEAP_RS00100,['Hneap_0019'],,['type 4 fimbrial biogenesis protein PilY1'],WP_012822922.1,502585127
18,HNEAP_RS00105,['Hneap_0020'],,['prepilin-type N-terminal cleavage/methylation domain-containing protein'],WP_012822923.1,502585128
19,HNEAP_RS00110,['Hneap_0021'],,['pilus assembly protein'],WP_012822924.1,502585130
20,HNEAP_RS00115,['Hneap_0022'],,['DUF559 domain-containing protein'],WP_012822925.1,502585131
21,HNEAP_RS00120,['Hneap_0024'],,['excinuclease ABC subunit UvrA'],WP_012822927.1,502585133
22,HNEAP_RS00125,['Hneap_0025'],,['single-stranded DNA-binding protein'],WP_012822928.1,502585134
23,HNEAP_RS00130,['Hneap_0026'],,['gamma-glutamyltransferase'],WP_012822929.1,502585135
24,HNEAP_RS00135,['Hneap_0027'],,['23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ'],WP_012822930.1,502585136
25,HNEAP_RS00140,['Hneap_0028'],,['metallophosphoesterase'],WP_012822931.1,502585137
26,HNEAP_RS00145,,,['ketohexokinase'],WP_012822932.1,502585138
27,HNEAP_RS00150,,,['GGDEF domain-containing protein'],WP_012822933.1,502585139
28,HNEAP_RS00155,['Hneap_0031'],,['BolA family transcriptional regulator'],WP_012822934.1,502585140
29,HNEAP_RS00160,,,['HDOD domain-containing protein'],WP_012822935.1,502585141
30,HNEAP_RS00165,['Hneap_0033'],,"[""guanosine-3',5'-bis(diphosphate) 3'-diphosphatase""]",WP_012822936.1,502585142
31,HNEAP_RS00170,['Hneap_0034'],,['DNA-directed RNA polymerase subunit omega'],WP_012822937.1,502585143
32,HNEAP_RS00175,['Hneap_0035'],,['guanylate kinase'],WP_012822938.1,502585144
33,HNEAP_RS00180,['Hneap_0036'],,['DedA family protein'],WP_012822939.1,502585145
34,HNEAP_RS00185,['Hneap_0037'],,['glycine zipper 2TM domain-containing protein'],WP_012822940.1,502585146
35,HNEAP_RS00190,['Hneap_0038'],,['TerC family protein'],WP_012822941.1,502585147
36,HNEAP_RS00195,['Hneap_0039'],,['exodeoxyribonuclease III'],WP_012822942.1,502585148
37,HNEAP_RS00200,['Hneap_0040'],,['DegQ family serine endoprotease'],WP_041600478.1,753844861
38,HNEAP_RS00205,['Hneap_0042'],,['hypothetical protein'],WP_081441063.1,1174219882
39,HNEAP_RS00210,['Hneap_0043'],,['TIGR01458 family HAD-type hydrolase'],WP_012822946.1,502585152
40,HNEAP_RS00215,['Hneap_0044'],,['competence/damage-inducible protein A'],WP_012822947.1,502585153
41,HNEAP_RS00220,['Hneap_0045'],,['ferrochelatase'],WP_012822948.1,502585154
42,HNEAP_RS00225,['Hneap_0046'],,['thioredoxin-disulfide reductase'],WP_012822949.1,502585155
43,HNEAP_RS00230,['Hneap_0047'],,['hypothetical protein'],WP_012822950.1,502585156
44,HNEAP_RS00235,['Hneap_0048'],,['hypothetical protein'],WP_012822951.1,502585157
45,HNEAP_RS00240,['Hneap_0049'],,"[""5'-deoxynucleotidase""]",WP_012822952.1,502585158
46,HNEAP_RS00245,['Hneap_0050'],,['HD domain-containing protein'],WP_012822953.1,502585159
47,HNEAP_RS00250,['Hneap_0051'],,['NAD(P)-dependent oxidoreductase'],WP_012822954.1,502585160
48,HNEAP_RS00255,['Hneap_0052'],,['bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH'],WP_012822955.1,502585161
49,HNEAP_RS00260,['Hneap_0053'],,['DNA recombination protein RmuC'],WP_012822956.1,502585162
50,HNEAP_RS00265,['Hneap_0054'],,['hypothetical protein'],WP_012822957.1,502585163
51,HNEAP_RS00270,['Hneap_0055'],,['metallophosphoesterase'],WP_012822958.1,502585164
52,HNEAP_RS00275,['Hneap_0056'],,['hypothetical protein'],WP_012822959.1,502585165
53,HNEAP_RS00280,['Hneap_0057'],,['hypothetical protein'],WP_012822960.1,502585166
54,HNEAP_RS00285,['Hneap_0058'],,['bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase'],WP_081441064.1,1174219883
55,HNEAP_RS00290,['Hneap_0059'],,['YaiI/YqxD family protein'],WP_012822962.1,502585168
56,HNEAP_RS00295,['Hneap_0060'],,['molecular chaperone Skp'],WP_012822963.1,502585169
57,HNEAP_RS00300,['Hneap_0061'],,['phosphopantetheine-binding protein'],WP_012822964.1,502585170
58,HNEAP_RS00305,['Hneap_0062'],,['beta-ketoacyl-[acyl-carrier-protein] synthase family protein'],WP_012822965.1,502585171
59,HNEAP_RS00310,['Hneap_0063'],,['acyl carrier protein'],WP_012822966.1,502585172
60,HNEAP_RS12050,['Hneap_0064'],,['membrane protein-like protein'],WP_012822967.1,502585173
