locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,length,nBegin,nEnd,nStrains,insertionIndex,normalizedGCInsertions,normalizedGCStrains,gammaLikelyRatio,ones
HNEAP_RS00015,HNEAP_RS00015,1,NC_013422.1,159,1559,+,,chromosomal replication initiator protein DnaA,0.5353,30,1400,299,1419,0,0,0,0,13.366775,1
HNEAP_RS00020,HNEAP_RS00020,1,NC_013422.1,1623,2735,+,,DNA polymerase III subunit beta,0.5346,22,1112,1734.2,2623.8,0,0,0,0,13.366775,1
HNEAP_RS00025,HNEAP_RS00025,1,NC_013422.1,2815,3840,+,,DNA replication and repair protein RecF,0.5536,16,1025,2917.5,3737.5,59,0.07195122,1.860781056,1.860781056,-11.18676532,1
HNEAP_RS00030,HNEAP_RS00030,1,NC_013422.1,4029,6482,+,,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,2453,4274.3,6236.7,0,0,0,0,13.366775,1
HNEAP_RS00035,HNEAP_RS00035,1,NC_013422.1,6658,7233,+,,LemA family protein,0.533,16,575,6715.5,7175.5,37,0.080434783,2.152935161,2.152935161,-12.03164113,1
HNEAP_RS00040,HNEAP_RS00040,1,NC_013422.1,7248,8171,+,,hypothetical protein,0.539,22,923,7340.3,8078.7,51,0.069068256,1.830053526,1.830053526,-11.09290868,1
HNEAP_RS00045,HNEAP_RS00045,1,NC_013422.1,8681,9454,+,,exodeoxyribonuclease III,0.5103,26,773,8758.3,9376.7,29,0.046895213,1.305523332,1.305523332,-9.306315749,1
HNEAP_RS00050,HNEAP_RS00050,1,NC_013422.1,9655,12165,-,,ABC transporter permease,0.5707,48,2510,9906,11914,100,0.049800797,1.252790511,1.252790511,-9.009082989,1
HNEAP_RS00055,HNEAP_RS00055,1,NC_013422.1,12156,12896,-,,ABC transporter,0.5789,10,740,12230,12822,50,0.084459459,2.097223566,2.097223566,-11.87672866,1
HNEAP_RS00060,HNEAP_RS00060,1,NC_013422.1,13056,13742,+,,arylesterase,0.5546,16,686,13124.6,13673.4,35,0.06377551,1.646642058,1.646642058,-10.51014062,1
HNEAP_RS00065,HNEAP_RS00065,1,NC_013422.1,14129,14500,-,,DUF559 domain-containing protein,0.5188,9,371,14166.1,14462.9,19,0.064016173,1.755801844,1.755801844,-10.86176545,1
HNEAP_RS00070,HNEAP_RS00070,1,NC_013422.1,14569,15519,-,,IS110 family transposase,0.5741,13,950,14664,15424,75,0.098684211,2.469107555,2.469107555,-12.86299124,1
HNEAP_RS00075,HNEAP_RS00075,1,NC_013422.1,16642,17178,-,,prepilin-type cleavage/methylation domain-containing protein,0.5047,11,536,16695.6,17124.4,15,0.034981343,0.983577746,0.983577746,-7.032522893,1
HNEAP_RS00080,HNEAP_RS00080,1,NC_013422.1,17753,18331,+,,Tfp pilus assembly protein FimT-like protein,0.5268,23,578,17810.8,18273.2,38,0.082179931,2.223047122,2.223047122,-12.22280073,1
HNEAP_RS00085,HNEAP_RS00085,1,NC_013422.1,18315,18794,+,,type IV pilus modification protein PilV,0.5792,12,479,18362.9,18746.1,19,0.049582463,1.230606958,1.230606958,-8.857577872,1
HNEAP_RS00090,HNEAP_RS00090,1,NC_013422.1,18791,19822,+,,prepilin-type cleavage/methylation domain-containing protein,0.5407,35,1031,18894.1,19718.9,42,0.050921435,1.345385823,1.345385823,-9.456200697,1
HNEAP_RS00095,HNEAP_RS00095,1,NC_013422.1,19825,20643,+,,hypothetical protein,0.5495,15,818,19906.8,20561.2,30,0.045843521,1.193619611,1.193619611,-8.601042509,1
HNEAP_RS00100,HNEAP_RS00100,1,NC_013422.1,20656,24519,+,,type 4 fimbrial biogenesis protein PilY1,0.5005,173,3863,21042.3,24132.7,229,0.07410044,2.099222398,2.099222398,-11.88233422,1
HNEAP_RS00105,HNEAP_RS00105,1,NC_013422.1,24658,25152,+,,PilE protein,0.5394,19,494,24707.4,25102.6,37,0.093623482,2.479009679,2.479009679,-12.88782653,1
HNEAP_RS00110,HNEAP_RS00110,1,NC_013422.1,25490,26074,+,,pilus assembly protein,0.5556,9,584,25548.4,26015.6,28,0.059931507,1.544862281,1.544862281,-10.16859662,1
HNEAP_RS00115,HNEAP_RS00115,1,NC_013422.1,26258,26629,+,,DUF559 domain-containing protein,0.4946,11,371,26295.1,26591.9,7,0.023584906,0.675306395,0.675306395,-4.205066868,1
HNEAP_RS00120,HNEAP_RS00120,1,NC_013422.1,26886,29708,-,,excinuclease ABC subunit UvrA,0.5912,48,2822,27168.2,29425.8,107,0.047395464,1.154515815,1.154515815,-8.32414137,1
HNEAP_RS00125,HNEAP_RS00125,1,NC_013422.1,29824,30381,+,,single-stranded DNA-binding protein,0.5914,11,557,29879.7,30325.3,2,0.00448833,0.109298381,0.109298381,7.254684152,1
HNEAP_RS00130,HNEAP_RS00130,1,NC_013422.1,30592,32391,-,,gamma-glutamyltransferase,0.5767,34,1799,30771.9,32211.1,123,0.085464147,2.129550345,2.129550345,-11.96694951,1
HNEAP_RS00135,HNEAP_RS00135,1,NC_013422.1,32408,33346,-,,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.5634,27,938,32501.8,33252.2,56,0.074626866,1.899441621,1.899441621,-11.30341407,1
HNEAP_RS00140,HNEAP_RS00140,1,NC_013422.1,33737,34285,+,,metallophosphoesterase,0.5974,8,548,33791.8,34230.2,33,0.075273723,1.816208931,1.816208931,-11.0502823,1
