locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,length,nBegin,nEnd,nStrains,insertionIndex,normalizedGCInsertions,normalizedGCStrains,gammaLikelyRatio
HNEAP_RS00015,HNEAP_RS00015,1,NC_013422.1,159,1559,+,,chromosomal replication initiator protein DnaA,0.5353,30,1400,299.0,1419.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00020,HNEAP_RS00020,1,NC_013422.1,1623,2735,+,,DNA polymerase III subunit beta,0.5346,22,1112,1734.2,2623.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00030,HNEAP_RS00030,1,NC_013422.1,4029,6482,+,,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,2453,4274.3,6236.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00125,HNEAP_RS00125,1,NC_013422.1,29824,30381,+,,single-stranded DNA-binding protein,0.5914,11,557,29879.7,30325.3,2,0.004488330341113106,0.10929838122992705,0.10929838122992705,7.254684151964662
HNEAP_RS00165,HNEAP_RS00165,1,NC_013422.1,39572,41770,-,,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,2198,39791.8,41550.2,18,0.010236578707916288,0.2541857862001435,0.2541857862001435,2.3211009219471577
HNEAP_RS00175,HNEAP_RS00175,1,NC_013422.1,42146,42775,-,,guanylate kinase,0.5794,9,629,42208.9,42712.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00190,HNEAP_RS00190,1,NC_013422.1,44187,44936,+,,membrane protein,0.5427,18,749,44261.9,44861.1,3,0.00500667556742323,0.13183854810335222,0.13183854810335222,6.21616597427086
HNEAP_RS00220,HNEAP_RS00220,1,NC_013422.1,52193,53305,-,,ferrochelatase,0.5732,27,1112,52304.2,53193.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00225,HNEAP_RS00225,1,NC_013422.1,53431,54390,+,,thioredoxin-disulfide reductase,0.5594,13,959,53526.9,54294.1,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00255,HNEAP_RS00255,1,NC_013422.1,58846,60408,+,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,1562,59002.2,60251.8,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00425,HNEAP_RS00425,1,NC_013422.1,87553,87843,-,,DUF1330 domain-containing protein,0.3746,13,290,87582.0,87814.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00430,HNEAP_RS00430,1,NC_013422.1,87840,88211,-,,VOC family protein,0.4194,16,371,87877.1,88173.9,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00440,HNEAP_RS00440,1,NC_013422.1,89303,89782,-,,N-acetyltransferase,0.5375,14,479,89350.9,89734.1,1,0.002609603340292275,0.06931960301618316,0.06931960301618316,9.619386874935989
HNEAP_RS00495,HNEAP_RS00495,1,NC_013422.1,99584,99838,+,,ferrous iron transport protein A,0.5725,3,254,99609.4,99812.6,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00500,HNEAP_RS00500,1,NC_013422.1,99908,102244,+,,Fe(2+) transporter permease subunit FeoB,0.5627,41,2336,100141.6,102010.4,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00520,HNEAP_RS00520,5,NC_013422.1,104152,104227,-,,tRNA-Phe,0.5526,2,75,104159.5,104219.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00525,HNEAP_RS00525,1,NC_013422.1,104375,104971,+,,imidazoleglycerol-phosphate dehydratase,0.5695,11,596,104434.6,104911.4,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00530,HNEAP_RS00530,1,NC_013422.1,104974,105624,+,,imidazole glycerol phosphate synthase subunit HisH,0.5822,14,650,105039.0,105559.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00535,HNEAP_RS00535,1,NC_013422.1,105661,106416,+,,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,0.5913,12,755,105736.5,106340.5,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00540,HNEAP_RS00540,1,NC_013422.1,106496,107269,+,,imidazole glycerol phosphate synthase subunit HisF,0.615,7,773,106573.3,107191.7,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00545,HNEAP_RS00545,1,NC_013422.1,107266,107676,+,,phosphoribosyl-AMP cyclohydrolase,0.5693,7,410,107307.0,107635.0,0,0.0,0.0,0.0,13.36677499962062
HNEAP_RS00550,HNEAP_RS00550,1,NC_013422.1,107663,108037,+,,phosphoribosyl-ATP diphosphatase,0.5733,6,374,107700.4,107999.6,1,0.0033422459893048127,0.08373027268492593,0.08373027268492593,8.667178964520263
HNEAP_RS00555,HNEAP_RS00555,1,NC_013422.1,108062,108343,+,,twin-arginine translocase subunit TatA,0.5355,3,281,108090.1,108314.9,0,0.0,0.0,0.0,13.36677499962062
