,Locus Id,NCBI Accession number,NCBI gi number,First base pair in the CDS,Last base pair in the CDS,Gene length,Direction of CDS,Gene description,Fraction GC,Number of TA pairs,Uncorrected replicate 1 p value,Bonferroni corrected replicate 1 p value,Number of transposon insertions seen in replicate 1,Uncorrected replicate 2 p value,Bonferroni corrected replicate 2 p value,Number of transposon insertions seen in replicate 2,Is the gene essential?
0,HNEAP_RS00015,WP_041600463.1,753844846.0,159,1559,1400.0,+,chromosomal replication initiator protein DnaA,0.5353,30,4.1246908253787406e-22,9.932255507512008e-19,2.0,2.2044575363058986e-21,5.308333747424604e-18,2.0,essential
1,HNEAP_RS00020,WP_012822905.1,502585110.0,1623,2735,1112.0,+,DNA polymerase III subunit beta,0.5346,22,3.05118707645653e-17,7.347258480107325e-14,2.0,1.1407391721267438e-16,2.746899926481199e-13,2.0,essential
2,HNEAP_RS00025,WP_041600303.1,753844686.0,2815,3840,1025.0,+,DNA replication and repair protein RecF,0.5536,16,0.999932734665786,2407.838025075213,66.0,0.9999143702163883,2407.793803481063,64.0,nonessential
3,HNEAP_RS00030,WP_012822907.1,502585112.0,4029,6482,2453.0,+,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,7.192812458363274e-44,1.7320292399738763e-40,0.0,1.5128648102997184e-42,3.6429784632017216e-39,0.0,essential
4,HNEAP_RS00035,WP_012822908.1,502585113.0,6658,7233,575.0,+,LemA family protein,0.533,16,0.999964366385369,2407.9141942559686,43.0,0.9997002335221541,2407.278162321347,39.0,nonessential
5,HNEAP_RS00040,WP_012822909.1,502585114.0,7248,8171,923.0,+,hypothetical protein,0.539,22,0.9996936716191476,2407.2623612589073,58.0,0.9998580084984331,2407.6580844642267,58.0,nonessential
6,HNEAP_RS00045,WP_012822910.1,502585115.0,8681,9454,773.0,+,exodeoxyribonuclease III,0.5103,26,0.9878855205942845,2378.828333591037,43.0,0.9883955186821456,2380.0564089866066,42.0,nonessential
7,HNEAP_RS00050,WP_012822911.1,502585116.0,9655,12165,2510.0,-,ABC transporter permease,0.5707,48,0.963644949281974,2320.457037870993,117.0,0.9655562765345737,2325.0595138952535,114.0,nonessential
8,HNEAP_RS00055,WP_049772428.1,908628395.0,12156,12896,740.0,-,ABC transporter,0.5789,10,0.9999951763055287,2407.988384543713,55.0,0.9999916049141883,2407.9797846333654,53.0,nonessential
9,HNEAP_RS00060,WP_012822913.1,502585118.0,13056,13742,686.0,+,arylesterase,0.5546,16,0.9999999037932874,2407.9997683342363,57.0,0.9999999185293535,2407.999803818683,56.0,nonessential
10,HNEAP_RS00065,WP_012822914.1,502585119.0,14129,14500,371.0,-,DUF559 domain-containing protein,0.5188,9,0.9958756842840486,2398.068647755989,25.0,0.9945868129917154,2394.9650456840504,24.0,nonessential
11,HNEAP_RS00070,WP_012822915.1,502585120.0,14569,15519,950.0,-,IS110 family transposase,0.5741,13,0.9999999999999692,2407.999999999926,90.0,0.9999999999999009,2407.9999999997613,87.0,nonessential
12,HNEAP_RS00075,WP_012822917.1,502585122.0,16642,17178,536.0,-,prepilin-type cleavage/methylation domain-containing protein,0.5047,11,0.20468007453631717,492.86961948345174,17.0,0.17763783870012384,427.7519155898982,16.0,nonessential
13,HNEAP_RS00080,WP_012822918.1,502585123.0,17753,18331,578.0,+,Tfp pilus assembly protein FimT-like protein,0.5268,23,0.9999998503874171,2407.9996397329005,50.0,0.9999907604339561,2407.9777511249663,44.0,nonessential
14,HNEAP_RS00085,WP_012822919.1,502585124.0,18315,18794,479.0,+,type IV pilus modification protein PilV,0.5792,12,0.9305738973833024,2240.821944898992,25.0,0.88288020778504,2125.9755403463764,23.0,nonessential
15,HNEAP_RS00090,WP_012822920.1,502585125.0,18791,19822,1031.0,+,prepilin-type cleavage/methylation domain-containing protein,0.5407,35,0.9999203313540677,2407.808157900595,66.0,0.9979742835529712,2403.122074795555,58.0,nonessential
16,HNEAP_RS00095,WP_081441062.1,1174219881.0,19825,20643,818.0,+,hypothetical protein,0.5495,15,0.5134828656414041,1236.466740464501,32.0,0.5119795954938711,1232.8468659492414,31.0,nonessential
17,HNEAP_RS00100,WP_012822922.1,502585127.0,20656,24519,3863.0,+,type 4 fimbrial biogenesis protein PilY1,0.5005,173,0.9999999999999999,2407.9999999999995,274.0,0.9999999999999999,2407.9999999999995,262.0,nonessential
18,HNEAP_RS00105,WP_012822923.1,502585128.0,24658,25152,494.0,+,PilE protein,0.5394,19,0.9999998728114703,2407.9996937300207,45.0,0.9999999465624202,2407.9998713223076,45.0,nonessential
19,HNEAP_RS00110,WP_012822924.1,502585130.0,25490,26074,584.0,+,pilus assembly protein,0.5556,9,0.9976311034222265,2402.2956970407213,37.0,0.9985902222029458,2404.6052550646937,37.0,nonessential
20,HNEAP_RS00115,WP_012822925.1,502585131.0,26258,26629,371.0,+,DUF559 domain-containing protein,0.4946,11,0.07516227890141101,180.9907675945977,9.0,0.050725100828833775,122.14604279583173,8.0,nonessential
21,HNEAP_RS00120,WP_012822927.1,502585133.0,26886,29708,2822.0,-,excinuclease ABC subunit UvrA,0.5912,48,0.8208266388500045,1976.550546350811,121.0,0.6871325738593408,1654.6152378532927,113.0,nonessential
