Query ID	Neighbor ID	Neighbor Pfam	SSN Query Cluster #	SSN Query Cluster Color	Query-Neighbor Distance	Query-Neighbor Directions
A0A0Q6RAM1	A0A0Q6RMA6	PF00361	1	#FF0000	01	normal-normal
A0A0U5B7A7	A0A0U5BBV8	PF00361	1	#FF0000	01	normal-normal
A0A0R0LHR2	A0A0R0LH82	PF00361	1	#FF0000	01	normal-normal
A0A149VTP0	A0A149VUJ7	PF00361	1	#FF0000	01	normal-normal
A0A0W1SUY6	A0A0W1SUX4	PF00361	1	#FF0000	01	normal-normal
A0A241R5F6	A0A241R6M8	PF00361	1	#FF0000	01	complement-complement
A0A2S0III6	A0A2S0III1	PF00361	1	#FF0000	01	normal-normal
A3WMF2	A3WMF1	PF00361	1	#FF0000	01	normal-normal
A0A0F3K8W1	A0A0F3K915	PF00361	1	#FF0000	01	normal-normal
G2J578	G2J577	PF00361	1	#FF0000	01	normal-normal
A0A254VHN1	A0A254VFP5	PF00361	1	#FF0000	01	normal-normal
A0A071LRI5	A0A071LQ71	PF00361	1	#FF0000	01	normal-normal
A0A1G8DJ41	A0A1G8DJ62	PF00361	1	#FF0000	01	complement-complement
A0A1R4B6A0	A0A1R4B6A7	PF00361	1	#FF0000	01	complement-complement
A0A0F5AM96	A0A0F5ALQ0	PF00361	1	#FF0000	01	complement-complement
A0A285IMU4	A0A285IMV8	PF00361	1	#FF0000	01	normal-normal
A0A2D4TYR4	A0A2E6Z4G2	PF00361	1	#FF0000	01	complement-complement
A0A0M2VKD0	A0A0M2VEW7	PF00361	1	#FF0000	01	normal-normal
I1E2W5	I1E2W4	PF00361	1	#FF0000	01	normal-normal
A0A0P8BIT3	A0A0P8CXF7	PF00361	1	#FF0000	01	normal-normal
A0A137S417	A0A137S408	PF00361	1	#FF0000	01	normal-normal
A0A212T1N9	A0A212T179	PF00361	1	#FF0000	01	normal-normal
A0A2A2I3L8	A0A2A2I5B2	PF00361	1	#FF0000	01	complement-complement
A0A1I6H6M9	A0A1I6H6P8	PF00361	1	#FF0000	01	complement-complement
A0A0N8KK67	A0A0P7ZDQ2	PF00361	1	#FF0000	01	normal-normal
B8KVC5	B8KVC6	PF00361	1	#FF0000	01	complement-complement
A0A2G2Q037	A0A2G2Q1E0	PF00361	1	#FF0000	01	normal-normal
M5DXE0	M5DXL0	PF00361	1	#FF0000	01	complement-complement
A0A086D5B6	A0A086D5B5	PF00361	1	#FF0000	01	normal-normal
A0A1A8TG28	A0A1A8TI35	PF00361	1	#FF0000	01	complement-complement
