,locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,pval_raw_rep1,pval_corr_rep1,length_rep1,n_inserts_rep1,pval_raw_rep2,pval_corr_rep2,length_rep2,n_inserts_rep2,essentiality
0,HNEAP_RS00015,HNEAP_RS00015,1,NC_013422.1,159,1559,+,,chromosomal replication initiator protein DnaA,0.5353,30,4.1246908253787406e-22,9.932255507512008e-19,1400.0,2.0,2.2044575363058986e-21,5.308333747424604e-18,1400.0,2.0,essential
1,HNEAP_RS00020,HNEAP_RS00020,1,NC_013422.1,1623,2735,+,,DNA polymerase III subunit beta,0.5346,22,3.05118707645653e-17,7.347258480107325e-14,1112.0,2.0,1.1407391721267438e-16,2.746899926481199e-13,1112.0,2.0,essential
2,HNEAP_RS00025,HNEAP_RS00025,1,NC_013422.1,2815,3840,+,,DNA replication and repair protein RecF,0.5536,16,0.999932734665786,2407.838025075213,1025.0,66.0,0.9999143702163883,2407.793803481063,1025.0,64.0,nonessential
3,HNEAP_RS00030,HNEAP_RS00030,1,NC_013422.1,4029,6482,+,,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,7.192812458363274e-44,1.7320292399738763e-40,2453.0,0.0,1.5128648102997184e-42,3.6429784632017216e-39,2453.0,0.0,essential
4,HNEAP_RS00035,HNEAP_RS00035,1,NC_013422.1,6658,7233,+,,LemA family protein,0.533,16,0.999964366385369,2407.9141942559686,575.0,43.0,0.9997002335221541,2407.278162321347,575.0,39.0,nonessential
5,HNEAP_RS00040,HNEAP_RS00040,1,NC_013422.1,7248,8171,+,,hypothetical protein,0.539,22,0.9996936716191476,2407.2623612589073,923.0,58.0,0.9998580084984331,2407.6580844642267,923.0,58.0,nonessential
6,HNEAP_RS00045,HNEAP_RS00045,1,NC_013422.1,8681,9454,+,,exodeoxyribonuclease III,0.5103,26,0.9878855205942845,2378.828333591037,773.0,43.0,0.9883955186821456,2380.0564089866066,773.0,42.0,nonessential
7,HNEAP_RS00050,HNEAP_RS00050,1,NC_013422.1,9655,12165,-,,ABC transporter permease,0.5707,48,0.963644949281974,2320.457037870993,2510.0,117.0,0.9655562765345737,2325.0595138952535,2510.0,114.0,nonessential
8,HNEAP_RS00055,HNEAP_RS00055,1,NC_013422.1,12156,12896,-,,ABC transporter,0.5789,10,0.9999951763055287,2407.988384543713,740.0,55.0,0.9999916049141883,2407.9797846333654,740.0,53.0,nonessential
9,HNEAP_RS00060,HNEAP_RS00060,1,NC_013422.1,13056,13742,+,,arylesterase,0.5546,16,0.9999999037932874,2407.9997683342363,686.0,57.0,0.9999999185293535,2407.999803818683,686.0,56.0,nonessential
10,HNEAP_RS00065,HNEAP_RS00065,1,NC_013422.1,14129,14500,-,,DUF559 domain-containing protein,0.5188,9,0.9958756842840486,2398.068647755989,371.0,25.0,0.9945868129917154,2394.9650456840504,371.0,24.0,nonessential
11,HNEAP_RS00070,HNEAP_RS00070,1,NC_013422.1,14569,15519,-,,IS110 family transposase,0.5741,13,0.9999999999999692,2407.999999999926,950.0,90.0,0.9999999999999009,2407.9999999997613,950.0,87.0,nonessential
12,HNEAP_RS00075,HNEAP_RS00075,1,NC_013422.1,16642,17178,-,,prepilin-type cleavage/methylation domain-containing protein,0.5047,11,0.20468007453631717,492.86961948345174,536.0,17.0,0.17763783870012384,427.7519155898982,536.0,16.0,nonessential
13,HNEAP_RS00080,HNEAP_RS00080,1,NC_013422.1,17753,18331,+,,Tfp pilus assembly protein FimT-like protein,0.5268,23,0.9999998503874171,2407.9996397329005,578.0,50.0,0.9999907604339561,2407.9777511249663,578.0,44.0,nonessential
14,HNEAP_RS00085,HNEAP_RS00085,1,NC_013422.1,18315,18794,+,,type IV pilus modification protein PilV,0.5792,12,0.9305738973833024,2240.821944898992,479.0,25.0,0.88288020778504,2125.9755403463764,479.0,23.0,nonessential
15,HNEAP_RS00090,HNEAP_RS00090,1,NC_013422.1,18791,19822,+,,prepilin-type cleavage/methylation domain-containing protein,0.5407,35,0.9999203313540677,2407.808157900595,1031.0,66.0,0.9979742835529712,2403.122074795555,1031.0,58.0,nonessential
16,HNEAP_RS00095,HNEAP_RS00095,1,NC_013422.1,19825,20643,+,,hypothetical protein,0.5495,15,0.5134828656414041,1236.466740464501,818.0,32.0,0.5119795954938711,1232.8468659492414,818.0,31.0,nonessential
17,HNEAP_RS00100,HNEAP_RS00100,1,NC_013422.1,20656,24519,+,,type 4 fimbrial biogenesis protein PilY1,0.5005,173,0.9999999999999999,2407.9999999999995,3863.0,274.0,0.9999999999999999,2407.9999999999995,3863.0,262.0,nonessential
18,HNEAP_RS00105,HNEAP_RS00105,1,NC_013422.1,24658,25152,+,,PilE protein,0.5394,19,0.9999998728114703,2407.9996937300207,494.0,45.0,0.9999999465624202,2407.9998713223076,494.0,45.0,nonessential
19,HNEAP_RS00110,HNEAP_RS00110,1,NC_013422.1,25490,26074,+,,pilus assembly protein,0.5556,9,0.9976311034222265,2402.2956970407213,584.0,37.0,0.9985902222029458,2404.6052550646937,584.0,37.0,nonessential
20,HNEAP_RS00115,HNEAP_RS00115,1,NC_013422.1,26258,26629,+,,DUF559 domain-containing protein,0.4946,11,0.07516227890141101,180.9907675945977,371.0,9.0,0.050725100828833775,122.14604279583173,371.0,8.0,nonessential
21,HNEAP_RS00120,HNEAP_RS00120,1,NC_013422.1,26886,29708,-,,excinuclease ABC subunit UvrA,0.5912,48,0.8208266388500045,1976.550546350811,2822.0,121.0,0.6871325738593408,1654.6152378532927,2822.0,113.0,nonessential
22,HNEAP_RS00125,HNEAP_RS00125,1,NC_013422.1,29824,30381,+,,single-stranded DNA-binding protein,0.5914,11,4.281928176545009e-05,0.10310883049120381,557.0,6.0,1.8330557343315856e-05,0.04413998208270458,557.0,5.0,nonessential
23,HNEAP_RS00130,HNEAP_RS00130,1,NC_013422.1,30592,32391,-,,gamma-glutamyltransferase,0.5767,34,0.9999999999989695,2407.9999999975184,1799.0,136.0,0.9999999999957478,2407.999999989761,1799.0,131.0,nonessential
24,HNEAP_RS00135,HNEAP_RS00135,1,NC_013422.1,32408,33346,-,,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.5634,27,0.9999719688222672,2407.9325009240197,938.0,63.0,0.9999303662443342,2407.8323219163567,938.0,60.0,nonessential
25,HNEAP_RS00140,HNEAP_RS00140,1,NC_013422.1,33737,34285,+,,metallophosphoesterase,0.5974,8,0.9954542918208757,2397.053934704669,548.0,34.0,0.9984296945228398,2404.2187044109983,548.0,35.0,nonessential
26,HNEAP_RS00145,HNEAP_RS00145,1,NC_013422.1,34356,35618,+,,ketohexokinase,0.5764,22,0.999997352549531,2407.993624939271,1262.0,84.0,0.9999567326518641,2407.895812225689,1262.0,77.0,nonessential
27,HNEAP_RS00150,HNEAP_RS00150,1,NC_013422.1,35755,38121,+,,GGDEF domain-containing protein,0.5758,27,0.9999921552069254,2407.9811097382762,2366.0,137.0,0.9999899361111558,2407.975766155663,2366.0,133.0,nonessential
28,HNEAP_RS00155,HNEAP_RS00155,1,NC_013422.1,38154,38462,+,,BolA family transcriptional regulator,0.5793,4,0.8320705648670255,2003.6259201997973,308.0,15.0,0.8589381732857772,2068.323121272151,308.0,15.0,nonessential
29,HNEAP_RS00160,HNEAP_RS00160,1,NC_013422.1,38491,39528,+,,HDOD domain-containing protein,0.5694,17,0.4680286334117149,1127.0129492554095,1037.0,40.0,0.5470849815897351,1317.380635668082,1037.0,40.0,nonessential
30,HNEAP_RS00165,HNEAP_RS00165,1,NC_013422.1,39572,41770,-,,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,5.671204438665351e-13,1.3656260288306165e-09,2198.0,30.0,1.2021720902583739e-13,2.894830393342164e-10,2198.0,27.0,essential
31,HNEAP_RS00170,HNEAP_RS00170,1,NC_013422.1,41772,42095,-,,DNA-directed RNA polymerase subunit omega,0.5772,3,0.05579299832696444,134.34953997133036,323.0,7.0,0.06837665721811485,164.65099058122055,323.0,7.0,nonessential
32,HNEAP_RS00175,HNEAP_RS00175,1,NC_013422.1,42146,42775,-,,guanylate kinase,0.5794,9,8.653969717934253e-12,2.083875908078568e-08,629.0,0.0,1.8898819733406782e-11,4.550835791804353e-08,629.0,0.0,essential
33,HNEAP_RS00180,HNEAP_RS00180,1,NC_013422.1,42782,43396,-,,DedA family protein,0.5707,11,0.8946705050949242,2154.3665762685773,614.0,30.0,0.8462773971293702,2037.8359722875234,614.0,28.0,nonessential
34,HNEAP_RS00185,HNEAP_RS00185,1,NC_013422.1,43484,43954,-,,glycine zipper 2TM domain-containing protein,0.6178,11,0.9999634205545669,2407.911916695397,470.0,37.0,0.9999808625081664,2407.9539169196646,470.0,37.0,nonessential
35,HNEAP_RS00190,HNEAP_RS00190,1,NC_013422.1,44187,44936,+,,membrane protein,0.5427,18,3.6460022719070175e-10,8.779573470752098e-07,749.0,3.0,8.428772472484245e-10,2.029648411374206e-06,749.0,3.0,essential
36,HNEAP_RS00195,HNEAP_RS00195,1,NC_013422.1,44946,45716,-,,exodeoxyribonuclease III,0.5551,17,0.50691484724787,1220.6509521728708,770.0,30.0,0.574904920627717,1384.3710488715426,770.0,30.0,nonessential
37,HNEAP_RS00200,HNEAP_RS00200,1,NC_013422.1,46091,47482,-,,hypothetical protein,0.5338,27,0.7268667817538201,1750.2952104631988,1391.0,59.0,0.7142387112529963,1719.8868166972152,1391.0,57.0,nonessential
38,HNEAP_RS00205,HNEAP_RS00205,1,NC_013422.1,48094,50388,+,,hypothetical protein,0.5712,60,0.9999999999999938,2407.999999999985,2294.0,171.0,0.9999999999999991,2407.9999999999977,2294.0,170.0,nonessential
39,HNEAP_RS00210,HNEAP_RS00210,1,NC_013422.1,50405,51196,-,,TIGR01458 family HAD-type hydrolase,0.5934,13,0.999983488819831,2407.960241078153,791.0,56.0,0.9999733082097038,2407.9357261689665,791.0,54.0,nonessential
40,HNEAP_RS00215,HNEAP_RS00215,1,NC_013422.1,51408,52196,-,,competence/damage-inducible protein A,0.5805,10,0.9999995634595247,2407.9989488105352,788.0,61.0,0.9999996591185446,2407.9991791574553,788.0,60.0,nonessential
41,HNEAP_RS00220,HNEAP_RS00220,1,NC_013422.1,52193,53305,-,,ferrochelatase,0.5732,27,4.0991846315237596e-13,9.870836592709214e-10,1112.0,6.0,1.7876547004628826e-13,4.3046725187146213e-10,1112.0,5.0,essential
42,HNEAP_RS00225,HNEAP_RS00225,1,NC_013422.1,53431,54390,+,,thioredoxin-disulfide reductase,0.5594,13,1.358972651620654e-17,3.2724061451025346e-14,959.0,0.0,4.4709398219400884e-17,1.0766023091231732e-13,959.0,0.0,essential
43,HNEAP_RS00230,HNEAP_RS00230,1,NC_013422.1,54484,54804,+,,hypothetical protein,0.6012,4,0.9678675653444477,2330.6250973494302,320.0,19.0,0.9755592832367852,2349.1467540341787,320.0,19.0,nonessential
44,HNEAP_RS00235,HNEAP_RS00235,1,NC_013422.1,54801,55673,+,,hypothetical protein,0.6174,14,0.9999999166372723,2407.9997992625517,872.0,68.0,0.9999999418687959,2407.9998600200606,872.0,67.0,nonessential
45,HNEAP_RS00240,HNEAP_RS00240,1,NC_013422.1,55687,56304,-,,5'-deoxynucleotidase,0.5485,12,0.275506747198851,663.4202472548332,617.0,21.0,0.2536607907569922,610.8151841428372,617.0,20.0,nonessential
46,HNEAP_RS00245,HNEAP_RS00245,1,NC_013422.1,56333,57763,-,,deoxyguanosinetriphosphate triphosphohydrolase,0.5947,16,0.9963913489821341,2399.310368348979,1430.0,77.0,0.9963816035122246,2399.286901257437,1430.0,75.0,nonessential
47,HNEAP_RS00250,HNEAP_RS00250,1,NC_013422.1,57863,58720,+,,NAD(P)-dependent oxidoreductase,0.6131,5,0.9999935132763954,2407.98437996956,857.0,61.0,0.9999949719877603,2407.987892546527,857.0,60.0,nonessential
48,HNEAP_RS00255,HNEAP_RS00255,1,NC_013422.1,58846,60408,+,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,3.3706317186257887e-28,8.1164811784508995e-25,1562.0,0.0,2.3447521251210183e-27,5.646163117291412e-24,1562.0,0.0,essential
49,HNEAP_RS00260,HNEAP_RS00260,1,NC_013422.1,60466,62061,+,,DNA recombination protein RmuC,0.5977,18,0.9954622918678522,2397.073198817788,1595.0,84.0,0.9970254065301537,2400.8371789246103,1595.0,83.0,nonessential
50,HNEAP_RS00265,HNEAP_RS00265,1,NC_013422.1,62045,62242,-,,hypothetical protein,0.5101,0,0.2028471830892292,488.4560168788639,197.0,5.0,0.2270390937117781,546.7101376579617,197.0,5.0,nonessential
51,HNEAP_RS00270,HNEAP_RS00270,1,NC_013422.1,62254,63108,-,,metallophosphoesterase,0.5333,22,0.6202606225414429,1493.5875790797945,854.0,35.0,0.7456344992133018,1795.487874105631,854.0,36.0,nonessential
52,HNEAP_RS00275,HNEAP_RS00275,1,NC_013422.1,63522,63998,+,,hypothetical protein,0.499,14,0.3843991797292737,925.6332247880911,476.0,17.0,0.531383177584035,1279.5706916223562,476.0,18.0,nonessential
53,HNEAP_RS00280,HNEAP_RS00280,1,NC_013422.1,64169,64549,+,,hypothetical protein,0.5249,9,0.5595692886020251,1347.4428469536765,380.0,15.0,0.6068790100803254,1461.3646562734236,380.0,15.0,nonessential
54,HNEAP_RS00285,HNEAP_RS00285,1,NC_013422.1,64607,67444,+,,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,0.5648,41,0.6854531902671444,1650.5712821632835,2837.0,117.0,0.5558796206541846,1338.5581265352766,2837.0,110.0,nonessential
55,HNEAP_RS00290,HNEAP_RS00290,1,NC_013422.1,67499,67957,+,,hypothetical protein,0.5882,6,0.994247819808227,2394.1487500982107,458.0,29.0,0.9879548330681669,2378.995238028146,458.0,27.0,nonessential
56,HNEAP_RS00295,HNEAP_RS00295,1,NC_013422.1,68056,68586,+,,molecular chaperone Skp,0.5593,10,0.9999999904500528,2407.999977003727,530.0,50.0,0.9999999903749393,2407.9999768228536,530.0,49.0,nonessential
57,HNEAP_RS00300,HNEAP_RS00300,1,NC_013422.1,68944,69192,+,,phosphopantetheine-binding protein,0.5141,4,0.34645554788066857,834.2649592966499,248.0,8.0,0.38235284551251864,920.7056519941449,248.0,8.0,nonessential
58,HNEAP_RS00305,HNEAP_RS00305,1,NC_013422.1,69189,70436,+,,3-oxoacyl-ACP synthase,0.625,16,0.9999999999999967,2407.999999999992,1247.0,111.0,0.9999999999999973,2407.9999999999936,1247.0,109.0,nonessential
59,HNEAP_RS00310,HNEAP_RS00310,1,NC_013422.1,70516,70800,+,,acyl carrier protein,0.5123,3,0.6603289142992348,1590.0720256325574,284.0,12.0,0.6983558831137529,1681.640966537917,284.0,12.0,nonessential
60,HNEAP_RS12050,HNEAP_RS12050,1,NC_013422.1,70809,71507,+,,membrane protein-like protein,0.5851,15,0.990721182325493,2385.656607039787,698.0,40.0,0.9942735003450649,2394.210588830916,698.0,40.0,nonessential
61,HNEAP_RS00320,HNEAP_RS00320,1,NC_013422.1,71516,73297,+,,AMP-dependent synthetase and ligase,0.5881,30,0.9999995484354304,2407.9989126325163,1781.0,114.0,0.9999998214707404,2407.9995701015428,1781.0,113.0,nonessential
62,HNEAP_RS00325,HNEAP_RS00325,1,NC_013422.1,73294,74238,+,,acyl-CoA synthetase,0.5831,15,0.963003295327953,2318.911935149711,944.0,48.0,0.9664026604708236,2327.097606413743,944.0,47.0,nonessential
63,HNEAP_RS00330,HNEAP_RS00330,1,NC_013422.1,74238,74837,+,,outer membrane lipoprotein carrier protein LolA,0.5767,9,0.9999894503513542,2407.974596446061,599.0,46.0,0.99997778481039,2407.946505823419,599.0,44.0,nonessential
64,HNEAP_RS00335,HNEAP_RS00335,1,NC_013422.1,74834,77248,+,,MMPL domain-containing protein,0.5925,39,0.9952058832088277,2396.4557667668573,2414.0,121.0,0.9921896451017566,2389.19266540503,2414.0,116.0,nonessential
65,HNEAP_RS00340,HNEAP_RS00340,1,NC_013422.1,77245,77697,+,,hypothetical protein,0.6004,5,0.9993009315213002,2406.316643103291,452.0,32.0,0.9995826914672766,2406.995121053202,452.0,32.0,nonessential
66,HNEAP_RS00345,HNEAP_RS00345,1,NC_013422.1,78057,79043,+,,2-hydroxyacid dehydrogenase,0.5755,20,0.9744663958331857,2346.515081166311,986.0,51.0,0.9843844846160512,2370.3978389554513,986.0,51.0,nonessential
67,HNEAP_RS00350,HNEAP_RS00350,1,NC_013422.1,79194,79484,+,,PilZ domain-containing protein,0.6254,2,0.9573297725595713,2305.250092323448,290.0,17.0,0.981909078295393,2364.4370605353065,290.0,18.0,nonessential
68,HNEAP_RS00355,HNEAP_RS00355,1,NC_013422.1,79586,80446,-,,glutamate racemase,0.5877,17,0.7806527364073809,1879.8117892689731,860.0,38.0,0.8312968162746901,2001.7627335894538,860.0,38.0,nonessential
69,HNEAP_RS00360,HNEAP_RS00360,1,NC_013422.1,80598,80861,-,,Txe/YoeB family addiction module toxin,0.4848,7,0.17787763460762213,428.3293441351541,263.0,7.0,0.20392754126508178,491.0575193663169,263.0,7.0,nonessential
70,HNEAP_RS00365,HNEAP_RS00365,1,NC_013422.1,80858,81100,-,,prevent-host-death family protein,0.4691,7,0.15177425499807334,365.4724060353606,242.0,6.0,0.17420971045019795,419.4969827640767,242.0,6.0,nonessential
71,HNEAP_RS00370,HNEAP_RS00370,1,NC_013422.1,81093,81296,+,,hypothetical protein,0.4755,11,0.9925160391497837,2389.9786222726793,203.0,15.0,0.9943362298133998,2394.3616413906666,203.0,15.0,nonessential
72,HNEAP_RS00375,HNEAP_RS00375,1,NC_013422.1,81463,81732,-,,hypothetical protein,0.5296,4,0.15999440653029162,385.26653092494223,269.0,7.0,0.10467526240971751,252.05803188259978,269.0,6.0,nonessential
73,HNEAP_RS00380,HNEAP_RS00380,1,NC_013422.1,82067,82297,-,,hypothetical protein,0.5022,6,0.9890334211633658,2381.592478161385,230.0,16.0,0.9917099168504269,2388.0374797758277,230.0,16.0,nonessential
74,HNEAP_RS00385,HNEAP_RS00385,1,NC_013422.1,82401,82835,-,,hypothetical protein,0.4483,17,0.9843693033435497,2370.3612824512675,434.0,26.0,0.9684077522627816,2331.9258674487783,434.0,24.0,nonessential
75,HNEAP_RS00390,HNEAP_RS00390,1,NC_013422.1,82918,83169,-,,hypothetical protein,0.4841,11,0.3326149101348987,800.936703604836,251.0,8.0,0.3681685410038038,886.5498467371596,251.0,8.0,nonessential
76,HNEAP_RS00395,HNEAP_RS00395,1,NC_013422.1,83469,83678,-,,hypothetical protein,0.5571,3,0.16026734250727015,385.9237607575065,209.0,5.0,0.18174147172690586,437.6334639183893,209.0,5.0,nonessential
77,HNEAP_RS00400,HNEAP_RS00400,1,NC_013422.1,83787,83966,+,,hypothetical protein,0.5833,1,0.5828867856408165,1403.5913798230863,179.0,7.0,0.6153431204402358,1481.7462340200877,179.0,7.0,nonessential
78,HNEAP_RS00405,HNEAP_RS00405,1,NC_013422.1,84404,84736,-,,hypothetical protein,0.3664,16,0.008569966664109521,20.636479727175725,332.0,5.0,0.011202755178093977,26.976234468850297,332.0,5.0,nonessential
79,HNEAP_RS00410,HNEAP_RS00410,1,NC_013422.1,84810,85118,-,,hypothetical protein,0.5372,10,0.43343720101339905,1043.716780040265,308.0,11.0,0.3585217057655346,863.3202674834073,308.0,10.0,nonessential
80,HNEAP_RS00415,HNEAP_RS00415,1,NC_013422.1,85475,86020,-,,yfeABCD locus regulator,0.4505,16,0.669344579005153,1611.7817462444084,545.0,23.0,0.7205689914718383,1735.1301314641867,545.0,23.0,nonessential
81,HNEAP_RS00420,HNEAP_RS00420,1,NC_013422.1,86050,86634,-,,ATPase,0.5504,16,0.9349248443935692,2251.2990252997147,584.0,30.0,0.9525438858008904,2293.725677008544,584.0,30.0,nonessential
